GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV2001
"G0500370","1890","Arkansas","050","Cross","0370","Cross",4802
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas",6026
"G0500410","1890","Arkansas","050","Desha","0410","Desha",2119
"G0500430","1890","Arkansas","050","Drew","0430","Drew",7487
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner",14994
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin",19256
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton",10898
"G0500510","1890","Arkansas","050","Garland","0510","Garland",12547
"G0500530","1890","Arkansas","050","Grant","0530","Grant",6750
"G0500550","1890","Arkansas","050","Greene","0550","Greene",12747
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead",11819
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring",10354
"G0500610","1890","Arkansas","050","Howard","0610","Howard",10734
"G0500630","1890","Arkansas","050","Independence","0630","Independence",20381
"G0500650","1890","Arkansas","050","Izard","0650","Izard",12776
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson",10849
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson",10951
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson",16125
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette",3157
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence",12151
"G0500770","1890","Arkansas","050","Lee","0770","Lee",4691
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln",3784
"G0500810","1890","Arkansas","050","Little River","0810","Little River",4902
"G0500830","1890","Arkansas","050","Logan","0830","Logan",19646
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke",11278
"G0500870","1890","Arkansas","050","Madison","0870","Madison",17344
"G0500890","1890","Arkansas","050","Marion","0890","Marion",10358
"G0500910","1890","Arkansas","050","Miller","0910","Miller",8147
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi",5735
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe",6124
"G0500970","1890","Arkansas","050","Montgomery","0970","Montgomery",7621
"G0500990","1890","Arkansas","050","Nevada","0990","Nevada",10526
"G0501010","1890","Arkansas","050","Newton","1010","Newton",9943
"G0501030","1890","Arkansas","050","Ouachita","1030","Ouachita",8076
"G0501050","1890","Arkansas","050","Perry","1050","Perry",4597
"G0501070","1890","Arkansas","050","Phillips","1070","Phillips",5695
"G0501090","1890","Arkansas","050","Pike","1090","Pike",8053
"G0501110","1890","Arkansas","050","Poinsett","1110","Poinsett",3726
"G0501130","1890","Arkansas","050","Polk","1130","Polk",9237
"G0501150","1890","Arkansas","050","Pope","1150","Pope",17837
"G0501170","1890","Arkansas","050","Prairie","1170","Prairie",7011
"G0501190","1890","Arkansas","050","Pulaski","1190","Pulaski",25329
"G0501210","1890","Arkansas","050","Randolph","1210","Randolph",13890
"G0501230","1890","Arkansas","050","St Francis","1230","St Francis",5541
"G0501250","1890","Arkansas","050","Saline","1250","Saline",9827
"G0501270","1890","Arkansas","050","Scott","1270","Scott",12601
"G0501290","1890","Arkansas","050","Searcy","1290","Searcy",9630
"G0501310","1890","Arkansas","050","Sebastian","1310","Sebastian",29398
"G0501330","1890","Arkansas","050","Sevier","1330","Sevier",8616
"G0501350","1890","Arkansas","050","Sharp","1350","Sharp",10240
"G0501370","1890","Arkansas","050","Stone","1370","Stone",6930
"G0501390","1890","Arkansas","050","Union","1390","Union",8605
"G0501410","1890","Arkansas","050","Van Buren","1410","Van Buren",8405
"G0501430","1890","Arkansas","050","Washington","1430","Washington",31014
"G0501450","1890","Arkansas","050","White","1450","White",20379
"G0501470","1890","Arkansas","050","Woodruff","1470","Woodruff",6452
"G0501490","1890","Arkansas","050","Yell","1490","Yell",16652
"G0600010","1890","California","060","Alameda","0010","Alameda",89559
"G0600030","1890","California","060","Alpine","0030","Alpine",435
"G0600050","1890","California","060","Amador","0050","Amador",9909
"G0600070","1890","California","060","Butte","0070","Butte",15864
"G0600090","1890","California","060","Calaveras","0090","Calaveras",8399
"G0600110","1890","California","060","Colusa","0110","Colusa",13295
"G0600130","1890","California","060","Contra Costa","0130","Contra Costa",12982
"G0600150","1890","California","060","Del Norte","0150","Del Norte",2202
"G0600170","1890","California","060","El Dorado","0170","El Dorado",8393
"G0600190","1890","California","060","Fresno","0190","Fresno",28474
"G0600230","1890","California","060","Humboldt","0230","Humboldt",22022
"G0600270","1890","California","060","Inyo","0270","Inyo",2593
"G0600290","1890","California","060","Kern","0290","Kern",8214
"G0600315","1890","California","060","Klamath","0315","Klamath",
"G0600330","1890","California","060","Lake","0330","Lake",6294
"G0600350","1890","California","060","Lassen","0350","Lassen",3857
"G0600370","1890","California","060","Los Angeles","0370","Los Angeles",95033
"G0600410","1890","California","060","Marin","0410","Marin",11938
"G0600430","1890","California","060","Mariposa","0430","Mariposa",3385
"G0600450","1890","California","060","Mendocino","0450","Mendocino",16636
"G0600470","1890","California","060","Merced","0470","Merced",7262
"G0600490","1890","California","060","Modoc","0490","Modoc",4453
"G0600510","1890","California","060","Mono","0510","Mono",1485
"G0600530","1890","California","060","Monterey","0530","Monterey",16821
"G0600550","1890","California","060","Napa","0550","Napa",15426
"G0600570","1890","California","060","Nevada","0570","Nevada",16042
"G0600590","1890","California","060","Orange","0590","Orange",13407
"G0600610","1890","California","060","Placer","0610","Placer",13557
"G0600630","1890","California","060","Plumas","0630","Plumas",4245
"G0600670","1890","California","060","Sacramento","0670","Sacramento",35364
"G0600690","1890","California","060","San Benito","0690","San Benito",6223
"G0600710","1890","California","060","San Bernardino","0710","San Bernardino",24101
"G0600730","1890","California","060","San Diego","0730","San Diego",33211
"G0600750","1890","California","060","San Francisco","0750","San Francisco",270696
"G0600770","1890","California","060","San Joaquin","0770","San Joaquin",26588
"G0600790","1890","California","060","San Luis Obispo","0790","San Luis Obispo",15180
"G0600810","1890","California","060","San Mateo","0810","San Mateo",9572
"G0600830","1890","California","060","Santa Barbara","0830","Santa Barbara",15069
"G0600850","1890","California","060","Santa Clara","0850","Santa Clara",44247
"G0600870","1890","California","060","Santa Cruz","0870","Santa Cruz",18394
"G0600890","1890","California","060","Shasta","0890","Shasta",10875
"G0600910","1890","California","060","Sierra","0910","Sierra",4541
"G0600930","1890","California","060","Siskiyou","0930","Siskiyou",10185
"G0600950","1890","California","060","Solano","0950","Solano",19290
"G0600970","1890","California","060","Sonoma","0970","Sonoma",31160
"G0600990","1890","California","060","Stanislaus","0990","Stanislaus",9546
"G0601010","1890","California","060","Sutter","1010","Sutter",5094
"G0601030","1890","California","060","Tehama","1030","Tehama",8671
"G0601050","1890","California","060","Trinity","1050","Trinity",2945
"G0601070","1890","California","060","Tulare","1070","Tulare",23233
"G0601090","1890","California","060","Tuolumne","1090","Tuolumne",5559
"G0601110","1890","California","060","Ventura","1110","Ventura",9418
"G0601130","1890","California","060","Yolo","1130","Yolo",11912
"G0601150","1890","California","060","Yuba","1150","Yuba",8416
"G0800050","1890","Colorado","080","Arapahoe","0050","Arapahoe",127845
"G0800070","1890","Colorado","080","Archuleta","0070","Archuleta",823
"G0800090","1890","Colorado","080","Baca","0090","Baca",1479
"G0800110","1890","Colorado","080","Bent","0110","Bent",1298
"G0800130","1890","Colorado","080","Boulder","0130","Boulder",14001
"G0800150","1890","Colorado","080","Chaffee","0150","Chaffee",6532
"G0800170","1890","Colorado","080","Cheyenne","0170","Cheyenne",532
"G0800190","1890","Colorado","080","Clear Creek","0190","Clear Creek",7091
"G0800210","1890","Colorado","080","Conejos","0210","Conejos",7153
"G0800230","1890","Colorado","080","Costilla","0230","Costilla",3483
"G0800270","1890","Colorado","080","Custer","0270","Custer",2964
"G0800290","1890","Colorado","080","Delta","0290","Delta",2532
"G0800330","1890","Colorado","080","Dolores","0330","Dolores",1483
"G0800350","1890","Colorado","080","Douglas","0350","Douglas",2985
"G0800370","1890","Colorado","080","Eagle","0370","Eagle",3723
"G0800390","1890","Colorado","080","Elbert","0390","Elbert",1832
"G0800410","1890","Colorado","080","El Paso","0410","El Paso",20597
"G0800430","1890","Colorado","080","Fremont","0430","Fremont",9062
"G0800450","1890","Colorado","080","Garfield","0450","Garfield",4430
"G0800470","1890","Colorado","080","Gilpin","0470","Gilpin",5763
"G0800490","1890","Colorado","080","Grand","0490","Grand",602
"G0800495","1890","Colorado","080","Greenwood","0495","Greenwood",
"G0800510","1890","Colorado","080","Gunnison","0510","Gunnison",4307
"G0800530","1890","Colorado","080","Hinsdale","0530","Hinsdale",853
"G0800550","1890","Colorado","080","Huerfano","0550","Huerfano",6835
"G0800590","1890","Colorado","080","Jefferson","0590","Jefferson",8422
"G0800610","1890","Colorado","080","Kiowa","0610","Kiowa",1228
"G0800630","1890","Colorado","080","Kit Carson","0630","Kit Carson",2472
