GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B5U001
"G0100010","1960","Alabama","010","Autauga","0010","Autauga",10839
"G0100030","1960","Alabama","010","Baldwin","0030","Baldwin",38759
"G0100050","1960","Alabama","010","Barbour","0050","Barbour",11850
"G0100070","1960","Alabama","010","Bibb","0070","Bibb",9940
"G0100090","1960","Alabama","010","Blount","0090","Blount",24613
"G0100110","1960","Alabama","010","Bullock","0110","Bullock",3781
"G0100130","1960","Alabama","010","Butler","0130","Butler",13575
"G0100150","1960","Alabama","010","Calhoun","0150","Calhoun",77805
"G0100170","1960","Alabama","010","Chambers","0170","Chambers",23959
"G0100190","1960","Alabama","010","Cherokee","0190","Cherokee",14610
"G0100210","1960","Alabama","010","Chilton","0210","Chilton",21615
"G0100230","1960","Alabama","010","Choctaw","0230","Choctaw",9012
"G0100250","1960","Alabama","010","Clarke","0250","Clarke",12987
"G0100270","1960","Alabama","010","Clay","0270","Clay",10372
"G0100290","1960","Alabama","010","Cleburne","0290","Cleburne",10212
"G0100310","1960","Alabama","010","Coffee","0310","Coffee",24220
"G0100330","1960","Alabama","010","Colbert","0330","Colbert",37524
"G0100350","1960","Alabama","010","Conecuh","0350","Conecuh",9674
"G0100370","1960","Alabama","010","Coosa","0370","Coosa",6847
"G0100390","1960","Alabama","010","Covington","0390","Covington",29880
"G0100410","1960","Alabama","010","Crenshaw","0410","Crenshaw",10266
"G0100430","1960","Alabama","010","Cullman","0430","Cullman",45051
"G0100450","1960","Alabama","010","Dale","0450","Dale",25459
"G0100470","1960","Alabama","010","Dallas","0470","Dallas",23952
"G0100490","1960","Alabama","010","DeKalb","0490","Dekalb",40596
"G0100510","1960","Alabama","010","Elmore","0510","Elmore",20221
"G0100530","1960","Alabama","010","Escambia","0530","Escambia",22052
"G0100550","1960","Alabama","010","Etowah","0550","Etowah",81982
"G0100570","1960","Alabama","010","Fayette","0570","Fayette",13574
"G0100590","1960","Alabama","010","Franklin","0590","Franklin",20756
"G0100610","1960","Alabama","010","Geneva","0610","Geneva",18945
"G0100630","1960","Alabama","010","Greene","0630","Greene",2546
"G0100650","1960","Alabama","010","Hale","0650","Hale",5726
"G0100670","1960","Alabama","010","Henry","0670","Henry",8321
"G0100690","1960","Alabama","010","Houston","0690","Houston",36832
"G0100710","1960","Alabama","010","Jackson","0710","Jackson",34443
"G0100730","1960","Alabama","010","Jefferson","0730","Jefferson",415035
"G0100750","1960","Alabama","010","Lamar","0750","Lamar",12168
"G0100770","1960","Alabama","010","Lauderdale","0770","Lauderdale",54355
"G0100790","1960","Alabama","010","Lawrence","0790","Lawrence",19033
"G0100810","1960","Alabama","010","Lee","0810","Lee",31458
"G0100830","1960","Alabama","010","Limestone","0830","Limestone",28884
"G0100850","1960","Alabama","010","Lowndes","0850","Lowndes",2978
"G0100870","1960","Alabama","010","Macon","0870","Macon",4405
"G0100890","1960","Alabama","010","Madison","0890","Madison",95283
"G0100910","1960","Alabama","010","Marengo","0910","Marengo",10264
"G0100930","1960","Alabama","010","Marion","0930","Marion",21104
"G0100950","1960","Alabama","010","Marshall","0950","Marshall",46894
"G0100970","1960","Alabama","010","Mobile","0970","Mobile",212873
"G0100990","1960","Alabama","010","Monroe","0990","Monroe",11030
"G0101010","1960","Alabama","010","Montgomery","1010","Montgomery",104485
"G0101030","1960","Alabama","010","Morgan","1030","Morgan",52807
"G0101050","1960","Alabama","010","Perry","1050","Perry",5943
"G0101070","1960","Alabama","010","Pickens","1070","Pickens",12098
"G0101090","1960","Alabama","010","Pike","1090","Pike",15242
"G0101110","1960","Alabama","010","Randolph","1110","Randolph",14501
"G0101130","1960","Alabama","010","Russell","1130","Russell",23365
"G0101150","1960","Alabama","010","St Clair","1150","St Clair",21116
"G0101170","1960","Alabama","010","Shelby","1170","Shelby",26049
"G0101190","1960","Alabama","010","Sumter","1190","Sumter",4743
"G0101210","1960","Alabama","010","Talladega","1210","Talladega",44525
"G0101230","1960","Alabama","010","Tallapoosa","1230","Tallapoosa",24888
"G0101250","1960","Alabama","010","Tuscaloosa","1250","Tuscaloosa",77719
"G0101270","1960","Alabama","010","Walker","1270","Walker",48584
"G0101290","1960","Alabama","010","Washington","1290","Washington",10066
"G0101310","1960","Alabama","010","Wilcox","1310","Wilcox",4141
"G0101330","1960","Alabama","010","Winston","1330","Winston",14777
"G0200105","1960","Alaska","020","Aleutian Islands - Elec District 14","0105","Aleutian Islands - Elec District 14",3690
"G0200205","1960","Alaska","020","Anchorage - Elec District 10","0205","Anchorage - Elec District 10",76575
"G0200405","1960","Alaska","020","Barrow - Elec District 21","0405","Barrow - Elec District 21",508
"G0200505","1960","Alaska","020","Bethel - Elec District 16","0505","Bethel - Elec District 16",508
"G0200605","1960","Alaska","020","Bristol Bay - Elec District 15","0605","Bristol Bay - Elec District 15",1423
"G0200805","1960","Alaska","020","Cordova-McCarthy - Elec District 07","0805","Cordova-Mc Carthy - Elec District 07",1419
"G0200905","1960","Alaska","020","Fairbanks Northstar - Elec District 19","0905","Fairbanks Northstar - Elec District 19",39345
"G0201105","1960","Alaska","020","Juneau - Elec District 05","1105","Juneau - Elec District 05",8243
"G0201205","1960","Alaska","020","Kenai-Cook Inlet - Elec District 12","1205","Kenai-Cook Inlet - Elec District 12",5202
"G0201305","1960","Alaska","020","Ketchikan - Elec District 02","1305","Ketchikan - Elec District 02",7742
"G0201405","1960","Alaska","020","Kobuk - Elec District 22","1405","Kobuk - Elec District 22",324
"G0201505","1960","Alaska","020","Kodiak - Elec District 13","1505","Kodiak - Elec District 13",5822
"G0201605","1960","Alaska","020","Kuskokwim - Elec District 17","1605","Kuskokwim - Elec District 17",587
"G0201645","1960","Alaska","020","Lynn Canal-Icy Straits - Elec District 06","1645","Lynn Canal-Icy Straits - Elec District 06",1791
"G0201805","1960","Alaska","020","Nome - Elec District 23","1805","Nome - Elec District 23",1457
"G0201905","1960","Alaska","020","Palmer-Wasilla-Talkeetna - Elec District 09","1905","Palmer-Wasilla-Talkeetna - Elec District 09",4945
"G0202005","1960","Alaska","020","Prince Of Wales - Elec District 01","2005","Prince Of Wales - Elec District 01",1070
"G0202015","1960","Alaska","020","Seward - Elec District 11","2015","Seward - Elec District 11",2620
"G0202205","1960","Alaska","020","Sitka - Elec District 04","2205","Sitka - Elec District 04",3739
"G0202505","1960","Alaska","020","Upper Yukon - Elec District 20","2505","Upper Yukon - Elec District 20",415
"G0202605","1960","Alaska","020","Valdez-Chitina-Whittier - Elec District 08","2605","Valdez-Chitina-Whittier - Elec District 08",2150
"G0202705","1960","Alaska","020","Wade Hapton - Elec District 24","2705","Wade Hapton - Elec District 24",173
"G0202805","1960","Alaska","020","Wrangell-Petersburg - Elec District 03","2805","Wrangell-Petersburg - Elec District 03",2769
"G0202905","1960","Alaska","020","Yukon-Koyukuk - Elec District 18","2905","Yukon-Koyukuk - Elec District 18",2029
"G0400010","1960","Arizona","040","Apache","0010","Apache",6835
"G0400030","1960","Arizona","040","Cochise","0030","Cochise",53065
"G0400050","1960","Arizona","040","Coconino","0050","Coconino",28888
"G0400070","1960","Arizona","040","Gila","0070","Gila",22089
"G0400090","1960","Arizona","040","Graham","0090","Graham",12387
"G0400110","1960","Arizona","040","Greenlee","0110","Greenlee",11272
"G0400130","1960","Arizona","040","Maricopa","0130","Maricopa",627080
"G0400150","1960","Arizona","040","Mohave","0150","Mohave",6973
"G0400170","1960","Arizona","040","Navajo","0170","Navajo",17818
"G0400190","1960","Arizona","040","Pima","0190","Pima",249053
"G0400210","1960","Arizona","040","Pinal","0210","Pinal",53042
"G0400230","1960","Arizona","040","Santa Cruz","0230","Santa Cruz",10663
"G0400250","1960","Arizona","040","Yavapai","0250","Yavapai",27957
"G0400270","1960","Arizona","040","Yuma","0270","Yuma",42395
"G0500010","1960","Arkansas","050","Arkansas","0010","Arkansas",17584
"G0500030","1960","Arkansas","050","Ashley","0030","Ashley",15337
"G0500050","1960","Arkansas","050","Baxter","0050","Baxter",9939
"G0500070","1960","Arkansas","050","Benton","0070","Benton",36153
"G0500090","1960","Arkansas","050","Boone","0090","Boone",16110
"G0500110","1960","Arkansas","050","Bradley","0110","Bradley",9109
"G0500130","1960","Arkansas","050","Calhoun","0130","Calhoun",3882
"G0500150","1960","Arkansas","050","Carroll","0150","Carroll",11274
"G0500170","1960","Arkansas","050","Chicot","0170","Chicot",8179
"G0500190","1960","Arkansas","050","Clark","0190","Clark",15528
"G0500210","1960","Arkansas","050","Clay","0210","Clay",21254
"G0500230","1960","Arkansas","050","Cleburne","0230","Cleburne",9058
"G0500250","1960","Arkansas","050","Cleveland","0250","Cleveland",5239
"G0500270","1960","Arkansas","050","Columbia","0270","Columbia",16887
"G0500290","1960","Arkansas","050","Conway","0290","Conway",12003
"G0500310","1960","Arkansas","050","Craighead","0310","Craighead",45691
"G0500330","1960","Arkansas","050","Crawford","0330","Crawford",20766
"G0500350","1960","Arkansas","050","Crittenden","0350","Crittenden",19461
"G0500370","1960","Arkansas","050","Cross","0370","Cross",13640
"G0500390","1960","Arkansas","050","Dallas","0390","Dallas",6332
"G0500410","1960","Arkansas","050","Desha","0410","Desha",10784
"G0500430","1960","Arkansas","050","Drew","0430","Drew",10052
"G0500450","1960","Arkansas","050","Faulkner","0450","Faulkner",21699
"G0500470","1960","Arkansas","050","Franklin","0470","Franklin",10091
"G0500490","1960","Arkansas","050","Fulton","0490","Fulton",6653
"G0500510","1960","Arkansas","050","Garland","0510","Garland",41691
"G0500530","1960","Arkansas","050","Grant","0530","Grant",7724
"G0500550","1960","Arkansas","050","Greene","0550","Greene",25181
"G0500570","1960","Arkansas","050","Hempstead","0570","Hempstead",12330
"G0500590","1960","Arkansas","050","Hot Spring","0590","Hot Spring",18693
"G0500610","1960","Arkansas","050","Howard","0610","Howard",8610
"G0500630","1960","Arkansas","050","Independence","0630","Independence",19517
"G0500650","1960","Arkansas","050","Izard","0650","Izard",6710
"G0500670","1960","Arkansas","050","Jackson","0670","Jackson",19373
"G0500690","1960","Arkansas","050","Jefferson","0690","Jefferson",45915
"G0500710","1960","Arkansas","050","Johnson","0710","Johnson",12157
"G0500730","1960","Arkansas","050","Lafayette","0730","Lafayette",6051
"G0500750","1960","Arkansas","050","Lawrence","0750","Lawrence",17112
"G0500770","1960","Arkansas","050","Lee","0770","Lee",8167
"G0500790","1960","Arkansas","050","Lincoln","0790","Lincoln",7430
"G0500810","1960","Arkansas","050","Little River","0810","Little River",6326
"G0500830","1960","Arkansas","050","Logan","0830","Logan",15615
"G0500850","1960","Arkansas","050","Lonoke","0850","Lonoke",18690
"G0500870","1960","Arkansas","050","Madison","0870","Madison",9060
"G0500890","1960","Arkansas","050","Marion","0890","Marion",6038
"G0500910","1960","Arkansas","050","Miller","0910","Miller",23541
"G0500930","1960","Arkansas","050","Mississippi","0930","Mississippi",49343
"G0500950","1960","Arkansas","050","Monroe","0950","Monroe",8888
"G0500970","1960","Arkansas","050","Montgomery","0970","Montgomery",5347
"G0500990","1960","Arkansas","050","Nevada","0990","Nevada",6843
"G0501010","1960","Arkansas","050","Newton","1010","Newton",5955
"G0501030","1960","Arkansas","050","Ouachita","1030","Ouachita",19450
"G0501050","1960","Arkansas","050","Perry","1050","Perry",4767
"G0501070","1960","Arkansas","050","Phillips","1070","Phillips",18552
"G0501090","1960","Arkansas","050","Pike","1090","Pike",7525
"G0501110","1960","Arkansas","050","Poinsett","1110","Poinsett",27585
"G0501130","1960","Arkansas","050","Polk","1130","Polk",11968
"G0501150","1960","Arkansas","050","Pope","1150","Pope",20494
"G0501170","1960","Arkansas","050","Prairie","1170","Prairie",8571
"G0501190","1960","Arkansas","050","Pulaski","1190","Pulaski",190777
"G0501210","1960","Arkansas","050","Randolph","1210","Randolph",12349
"G0501230","1960","Arkansas","050","St Francis","1230","St Francis",14324
"G0501250","1960","Arkansas","050","Saline","1250","Saline",27095
"G0501270","1960","Arkansas","050","Scott","1270","Scott",7290
"G0501290","1960","Arkansas","050","Searcy","1290","Searcy",8123
"G0501310","1960","Arkansas","050","Sebastian","1310","Sebastian",62029
"G0501330","1960","Arkansas","050","Sevier","1330","Sevier",9194
"G0501350","1960","Arkansas","050","Sharp","1350","Sharp",6318
"G0501370","1960","Arkansas","050","Stone","1370","Stone",6293
"G0501390","1960","Arkansas","050","Union","1390","Union",34447
"G0501410","1960","Arkansas","050","Van Buren","1410","Van Buren",7133
"G0501430","1960","Arkansas","050","Washington","1430","Washington",55228
"G0501450","1960","Arkansas","050","White","1450","White",31467
"G0501470","1960","Arkansas","050","Woodruff","1470","Woodruff",8202
"G0501490","1960","Arkansas","050","Yell","1490","Yell",11510
"G0600010","1960","California","060","Alameda","0010","Alameda",768996
"G0600030","1960","California","060","Alpine","0030","Alpine",209
"G0600050","1960","California","060","Amador","0050","Amador",9662
"G0600070","1960","California","060","Butte","0070","Butte",80333
"G0600090","1960","California","060","Calaveras","0090","Calaveras",10048
"G0600110","1960","California","060","Colusa","0110","Colusa",11687
"G0600130","1960","California","060","Contra Costa","0130","Contra Costa",378888
"G0600150","1960","California","060","Del Norte","0150","Del Norte",17012
"G0600170","1960","California","060","El Dorado","0170","El Dorado",29175
"G0600190","1960","California","060","Fresno","0190","Fresno",338380
"G0600210","1960","California","060","Glenn","0210","Glenn",17048
"G0600230","1960","California","060","Humboldt","0230","Humboldt",101861
"G0600250","1960","California","060","Imperial","0250","Imperial",66375
"G0600270","1960","California","060","Inyo","0270","Inyo",10620
"G0600290","1960","California","060","Kern","0290","Kern",271577
"G0600310","1960","California","060","Kings","0310","Kings",46699
"G0600330","1960","California","060","Lake","0330","Lake",13307
"G0600350","1960","California","060","Lassen","0350","Lassen",12848
"G0600370","1960","California","060","Los Angeles","0370","Los Angeles",5453866
"G0600390","1960","California","060","Madera","0390","Madera",36776
"G0600410","1960","California","060","Marin","0410","Marin",141302
"G0600430","1960","California","060","Mariposa","0430","Mariposa",4921
"G0600450","1960","California","060","Mendocino","0450","Mendocino",49318
"G0600470","1960","California","060","Merced","0470","Merced",83696
"G0600490","1960","California","060","Modoc","0490","Modoc",7983
"G0600510","1960","California","060","Mono","0510","Mono",2084
"G0600530","1960","California","060","Monterey","0530","Monterey",180567
"G0600550","1960","California","060","Napa","0550","Napa",64615
"G0600570","1960","California","060","Nevada","0570","Nevada",20760
"G0600590","1960","California","060","Orange","0590","Orange",694354
"G0600610","1960","California","060","Placer","0610","Placer",54865
"G0600630","1960","California","060","Plumas","0630","Plumas",11122
"G0600650","1960","California","060","Riverside","0650","Riverside",289372
"G0600670","1960","California","060","Sacramento","0670","Sacramento",464826
"G0600690","1960","California","060","San Benito","0690","San Benito",14837
"G0600710","1960","California","060","San Bernardino","0710","San Bernardino",482195
"G0600730","1960","California","060","San Diego","0730","San Diego",976071
"G0600750","1960","California","060","San Francisco","0750","San Francisco",604403
"G0600770","1960","California","060","San Joaquin","0770","San Joaquin",225242
"G0600790","1960","California","060","San Luis Obispo","0790","San Luis Obispo",78031
"G0600810","1960","California","060","San Mateo","0810","San Mateo",425213
"G0600830","1960","California","060","Santa Barbara","0830","Santa Barbara",162787
"G0600850","1960","California","060","Santa Clara","0850","Santa Clara",621625
"G0600870","1960","California","060","Santa Cruz","0870","Santa Cruz",80986
"G0600890","1960","California","060","Shasta","0890","Shasta",58169
"G0600910","1960","California","060","Sierra","0910","Sierra",2168
"G0600930","1960","California","060","Siskiyou","0930","Siskiyou",31488
"G0600950","1960","California","060","Solano","0950","Solano",117863
"G0600970","1960","California","060","Sonoma","0970","Sonoma",144110
"G0600990","1960","California","060","Stanislaus","0990","Stanislaus",155040
"G0601010","1960","California","060","Sutter","1010","Sutter",31715
"G0601030","1960","California","060","Tehama","1030","Tehama",25020
"G0601050","1960","California","060","Trinity","1050","Trinity",9502
"G0601070","1960","California","060","Tulare","1070","Tulare",161531
"G0601090","1960","California","060","Tuolumne","1090","Tuolumne",14150
"G0601110","1960","California","060","Ventura","1110","Ventura",192564
"G0601130","1960","California","060","Yolo","1130","Yolo",63330
"G0601150","1960","California","060","Yuba","1150","Yuba",32038
"G0800010","1960","Colorado","080","Adams","0010","Adams",118301
"G0800030","1960","Colorado","080","Alamosa","0030","Alamosa",9835
"G0800050","1960","Colorado","080","Arapahoe","0050","Arapahoe",112597
"G0800070","1960","Colorado","080","Archuleta","0070","Archuleta",2603
"G0800090","1960","Colorado","080","Baca","0090","Baca",6255
"G0800110","1960","Colorado","080","Bent","0110","Bent",7348
"G0800130","1960","Colorado","080","Boulder","0130","Boulder",73684
"G0800150","1960","Colorado","080","Chaffee","0150","Chaffee",8259
"G0800170","1960","Colorado","080","Cheyenne","0170","Cheyenne",2787
"G0800190","1960","Colorado","080","Clear Creek","0190","Clear Creek",2789
"G0800210","1960","Colorado","080","Conejos","0210","Conejos",8396
"G0800230","1960","Colorado","080","Costilla","0230","Costilla",4135
"G0800250","1960","Colorado","080","Crowley","0250","Crowley",3938
"G0800270","1960","Colorado","080","Custer","0270","Custer",1305
"G0800290","1960","Colorado","080","Delta","0290","Delta",15561
"G0800310","1960","Colorado","080","Denver","0310","Denver",458626
"G0800330","1960","Colorado","080","Dolores","0330","Dolores",2059
"G0800350","1960","Colorado","080","Douglas","0350","Douglas",4808
"G0800370","1960","Colorado","080","Eagle","0370","Eagle",4648
"G0800390","1960","Colorado","080","Elbert","0390","Elbert",3692
"G0800410","1960","Colorado","080","El Paso","0410","El Paso",137707
"G0800430","1960","Colorado","080","Fremont","0430","Fremont",19982
"G0800450","1960","Colorado","080","Garfield","0450","Garfield",11995
"G0800470","1960","Colorado","080","Gilpin","0470","Gilpin",683
"G0800490","1960","Colorado","080","Grand","0490","Grand",3549
"G0800510","1960","Colorado","080","Gunnison","0510","Gunnison",5441
"G0800530","1960","Colorado","080","Hinsdale","0530","Hinsdale",208
"G0800550","1960","Colorado","080","Huerfano","0550","Huerfano",7810
"G0800570","1960","Colorado","080","Jackson","0570","Jackson",1753
"G0800590","1960","Colorado","080","Jefferson","0590","Jefferson",127020
"G0800610","1960","Colorado","080","Kiowa","0610","Kiowa",2412
"G0800630","1960","Colorado","080","Kit Carson","0630","Kit Carson",6951
"G0800650","1960","Colorado","080","Lake","0650","Lake",7053
"G0800670","1960","Colorado","080","La Plata","0670","La Plata",18512
"G0800690","1960","Colorado","080","Larimer","0690","Larimer",53040
"G0800710","1960","Colorado","080","Las Animas","0710","Las Animas",19886
"G0800730","1960","Colorado","080","Lincoln","0730","Lincoln",5307
"G0800750","1960","Colorado","080","Logan","0750","Logan",20233
"G0800770","1960","Colorado","080","Mesa","0770","Mesa",50484
"G0800790","1960","Colorado","080","Mineral","0790","Mineral",423
"G0800810","1960","Colorado","080","Moffat","0810","Moffat",7052
"G0800830","1960","Colorado","080","Montezuma","0830","Montezuma",13221
"G0800850","1960","Colorado","080","Montrose","0850","Montrose",18148
"G0800870","1960","Colorado","080","Morgan","0870","Morgan",21120
"G0800890","1960","Colorado","080","Otero","0890","Otero",23833
"G0800910","1960","Colorado","080","Ouray","0910","Ouray",1593
"G0800930","1960","Colorado","080","Park","0930","Park",1821
"G0800950","1960","Colorado","080","Phillips","0950","Phillips",4437
"G0800970","1960","Colorado","080","Pitkin","0970","Pitkin",2364
"G0800990","1960","Colorado","080","Prowers","0990","Prowers",13246
"G0801010","1960","Colorado","080","Pueblo","1010","Pueblo",116085
"G0801030","1960","Colorado","080","Rio Blanco","1030","Rio Blanco",5130
"G0801050","1960","Colorado","080","Rio Grande","1050","Rio Grande",11124
"G0801070","1960","Colorado","080","Routt","1070","Routt",5873
"G0801090","1960","Colorado","080","Saguache","1090","Saguache",4467
"G0801110","1960","Colorado","080","San Juan","1110","San Juan",848
"G0801130","1960","Colorado","080","San Miguel","1130","San Miguel",2590
"G0801150","1960","Colorado","080","Sedgwick","1150","Sedgwick",4140
"G0801170","1960","Colorado","080","Summit","1170","Summit",2068
"G0801190","1960","Colorado","080","Teller","1190","Teller",2495
"G0801210","1960","Colorado","080","Washington","1210","Washington",6617
"G0801230","1960","Colorado","080","Weld","1230","Weld",71448
"G0801250","1960","Colorado","080","Yuma","1250","Yuma",8905
"G0900010","1960","Connecticut","090","Fairfield","0010","Fairfield",619127
"G0900030","1960","Connecticut","090","Hartford","0030","Hartford",657038
"G0900050","1960","Connecticut","090","Litchfield","0050","Litchfield",118910
"G0900070","1960","Connecticut","090","Middlesex","0070","Middlesex",86924
"G0900090","1960","Connecticut","090","New Haven","0090","New Haven",625121
"G0900110","1960","Connecticut","090","New London","0110","New London",180304
"G0900130","1960","Connecticut","090","Tolland","0130","Tolland",68222
"G0900150","1960","Connecticut","090","Windham","0150","Windham",68170
"G1000010","1960","Delaware","100","Kent","0010","Kent",55647
"G1000030","1960","Delaware","100","New Castle","0030","New Castle",271025
"G1000050","1960","Delaware","100","Sussex","0050","Sussex",57655
"G1100010","1960","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",345263
"G1200010","1960","Florida","120","Alachua","0010","Alachua",54466
"G1200030","1960","Florida","120","Baker","0030","Baker",5763
"G1200050","1960","Florida","120","Bay","0050","Bay",57080
"G1200070","1960","Florida","120","Bradford","0070","Bradford",9569
"G1200090","1960","Florida","120","Brevard","0090","Brevard",98909
"G1200110","1960","Florida","120","Broward","0110","Broward",278624
"G1200130","1960","Florida","120","Calhoun","0130","Calhoun",6232
"G1200150","1960","Florida","120","Charlotte","0150","Charlotte",11869
"G1200170","1960","Florida","120","Citrus","0170","Citrus",7614
"G1200190","1960","Florida","120","Clay","0190","Clay",16837
"G1200210","1960","Florida","120","Collier","0210","Collier",13295
"G1200230","1960","Florida","120","Columbia","0230","Columbia",13993
"G1200250","1960","Florida","120","Dade","0250","Dade",796054
"G1200270","1960","Florida","120","De Soto","0270","De Soto",9141
"G1200290","1960","Florida","120","Dixie","0290","Dixie",3829
"G1200310","1960","Florida","120","Duval","0310","Duval",349033
"G1200330","1960","Florida","120","Escambia","0330","Escambia",137425
"G1200350","1960","Florida","120","Flagler","0350","Flagler",2826
"G1200370","1960","Florida","120","Franklin","0370","Franklin",5180
"G1200390","1960","Florida","120","Gadsden","0390","Gadsden",17038
"G1200410","1960","Florida","120","Gilchrist","0410","Gilchrist",2534
"G1200430","1960","Florida","120","Glades","0430","Glades",1727
"G1200450","1960","Florida","120","Gulf","0450","Gulf",7550
"G1200470","1960","Florida","120","Hamilton","0470","Hamilton",4275
"G1200490","1960","Florida","120","Hardee","0490","Hardee",11206
"G1200510","1960","Florida","120","Hendry","0510","Hendry",5921
"G1200530","1960","Florida","120","Hernando","0530","Hernando",8850
"G1200550","1960","Florida","120","Highlands","0550","Highlands",16820
"G1200570","1960","Florida","120","Hillsborough","0570","Hillsborough",341952
"G1200590","1960","Florida","120","Holmes","0590","Holmes",10390
"G1200610","1960","Florida","120","Indian River","0610","Indian River",19920
"G1200630","1960","Florida","120","Jackson","0630","Jackson",24966
"G1200650","1960","Florida","120","Jefferson","0650","Jefferson",3901
"G1200670","1960","Florida","120","Lafayette","0670","Lafayette",2545
"G1200690","1960","Florida","120","Lake","0690","Lake",46209
"G1200710","1960","Florida","120","Lee","0710","Lee",45964
"G1200730","1960","Florida","120","Leon","0730","Leon",49816
"G1200750","1960","Florida","120","Levy","0750","Levy",7231
"G1200770","1960","Florida","120","Liberty","0770","Liberty",2660
"G1200790","1960","Florida","120","Madison","0790","Madison",7430
"G1200810","1960","Florida","120","Manatee","0810","Manatee",58642
"G1200830","1960","Florida","120","Marion","0830","Marion",33586
"G1200850","1960","Florida","120","Martin","0850","Martin",13513
"G1200870","1960","Florida","120","Monroe","0870","Monroe",42952
"G1200890","1960","Florida","120","Nassau","0890","Nassau",12875
"G1200910","1960","Florida","120","Okaloosa","0910","Okaloosa",56979
"G1200930","1960","Florida","120","Okeechobee","0930","Okeechobee",5356
"G1200950","1960","Florida","120","Orange","0950","Orange",224105
"G1200970","1960","Florida","120","Osceola","0970","Osceola",17021
"G1200990","1960","Florida","120","Palm Beach","0990","Palm Beach",175931
"G1201010","1960","Florida","120","Pasco","1010","Pasco",32699
"G1201030","1960","Florida","120","Pinellas","1030","Pinellas",341361
"G1201050","1960","Florida","120","Polk","1050","Polk",159007
"G1201070","1960","Florida","120","Putnam","1070","Putnam",22180
"G1201090","1960","Florida","120","St Johns","1090","St Johns",21804
"G1201110","1960","Florida","120","St Lucie","1110","St Lucie",26523
"G1201130","1960","Florida","120","Santa Rosa","1130","Santa Rosa",27384
"G1201150","1960","Florida","120","Sarasota","1150","Sarasota",69428
"G1201170","1960","Florida","120","Seminole","1170","Seminole",41373
"G1201190","1960","Florida","120","Sumter","1190","Sumter",8809
"G1201210","1960","Florida","120","Suwannee","1210","Suwannee",10888
"G1201230","1960","Florida","120","Taylor","1230","Taylor",9931
"G1201250","1960","Florida","120","Union","1250","Union",4426
"G1201270","1960","Florida","120","Volusia","1270","Volusia",104177
"G1201290","1960","Florida","120","Wakulla","1290","Wakulla",3755
"G1201310","1960","Florida","120","Walton","1310","Walton",13461
"G1201330","1960","Florida","120","Washington","1330","Washington",9071
"G1300010","1960","Georgia","130","Appling","0010","Appling",10198
"G1300030","1960","Georgia","130","Atkinson","0030","Atkinson",4411
"G1300050","1960","Georgia","130","Bacon","0050","Bacon",7272
"G1300070","1960","Georgia","130","Baker","0070","Baker",1867
"G1300090","1960","Georgia","130","Baldwin","0090","Baldwin",20568
"G1300110","1960","Georgia","130","Banks","0110","Banks",6071
"G1300130","1960","Georgia","130","Barrow","0130","Barrow",11923
"G1300150","1960","Georgia","130","Bartow","0150","Bartow",23983
"G1300170","1960","Georgia","130","Ben Hill","0170","Ben Hill",9081
"G1300190","1960","Georgia","130","Berrien","0190","Berrien",10195
"G1300210","1960","Georgia","130","Bibb","0210","Bibb",94076
"G1300230","1960","Georgia","130","Bleckley","0230","Bleckley",6891
"G1300250","1960","Georgia","130","Brantley","0250","Brantley",5118
"G1300270","1960","Georgia","130","Brooks","0270","Brooks",7833
"G1300290","1960","Georgia","130","Bryan","0290","Bryan",3927
"G1300310","1960","Georgia","130","Bulloch","0310","Bulloch",15308
"G1300330","1960","Georgia","130","Burke","0330","Burke",6911
"G1300350","1960","Georgia","130","Butts","0350","Butts",4793
"G1300370","1960","Georgia","130","Calhoun","0370","Calhoun",2562
"G1300390","1960","Georgia","130","Camden","0390","Camden",5951
"G1300430","1960","Georgia","130","Candler","0430","Candler",4301
"G1300450","1960","Georgia","130","Carroll","0450","Carroll",29457
"G1300470","1960","Georgia","130","Catoosa","0470","Catoosa",20789
"G1300490","1960","Georgia","130","Charlton","0490","Charlton",3611
"G1300510","1960","Georgia","130","Chatham","0510","Chatham",124116
"G1300530","1960","Georgia","130","Chattahoochee","0530","Chattahoochee",10594
"G1300550","1960","Georgia","130","Chattooga","0550","Chattooga",18102
"G1300570","1960","Georgia","130","Cherokee","0570","Cherokee",22090
"G1300590","1960","Georgia","130","Clarke","0590","Clarke",33748
"G1300610","1960","Georgia","130","Clay","0610","Clay",1714
"G1300630","1960","Georgia","130","Clayton","0630","Clayton",41595
"G1300650","1960","Georgia","130","Clinch","0650","Clinch",4059
"G1300670","1960","Georgia","130","Cobb","0670","Cobb",106096
"G1300690","1960","Georgia","130","Coffee","0690","Coffee",15965
"G1300710","1960","Georgia","130","Colquitt","0710","Colquitt",25825
"G1300730","1960","Georgia","130","Columbia","0730","Columbia",8637
"G1300750","1960","Georgia","130","Cook","0750","Cook",8336
"G1300770","1960","Georgia","130","Coweta","0770","Coweta",18423
"G1300790","1960","Georgia","130","Crawford","0790","Crawford",2452
"G1300810","1960","Georgia","130","Crisp","0810","Crisp",10147
"G1300830","1960","Georgia","130","Dade","0830","Dade",8531
"G1300850","1960","Georgia","130","Dawson","0850","Dawson",3589
