GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",53155,42031,9508,168,348,0,324,776,65,711,"Autauga County, Alabama",0,185,116,80,107,119,146,191,65,175
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",175791,151453,16613,1090,1149,6,3084,2396,245,2151,"Baldwin County, Alabama",0,831,416,257,198,10,804,544,150,523
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",27699,13759,12911,87,46,3,526,367,62,305,"Barbour County, Alabama",0,205,142,65,54,5,207,154,73,132
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22610,19038,3450,40,36,0,0,46,0,46,"Bibb County, Alabama",0,670,666,49,37,119,119,39,119,39
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56692,53938,716,255,246,9,923,605,24,581,"Blount County, Alabama",0,376,194,156,219,15,392,190,34,187
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10923,2589,8110,24,47,64,0,89,0,89,"Bullock County, Alabama",0,181,246,37,65,104,119,83,119,83
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20895,11493,8969,28,176,0,0,229,46,183,"Butler County, Alabama",0,74,224,32,159,119,119,164,68,149
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117149,88451,23928,513,815,85,1811,1546,32,1514,"Calhoun County, Alabama",0,380,300,139,126,99,396,313,44,305
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34579,20425,13527,17,145,0,57,408,60,348,"Chambers County, Alabama",0,161,79,26,38,119,50,159,64,158
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25700,23842,1202,198,69,32,121,236,34,202,"Cherokee County, Alabama",0,76,136,69,62,51,94,113,47,106
"G0100210","2006-2010",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43121,37736,4052,242,85,0,414,592,35,557,"Chilton County, Alabama",0,261,246,155,37,119,216,211,53,231
"G0100230","2006-2010",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",14111,7823,6064,0,39,0,10,175,52,123,"Choctaw County, Alabama",0,20,161,119,46,119,29,168,55,157
"G0100250","2006-2010",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26255,14451,10990,483,108,0,30,193,0,193,"Clarke County, Alabama",0,222,586,561,119,119,41,99,119,99
"G0100270","2006-2010",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",14040,11562,2160,59,0,0,65,194,0,194,"Clay County, Alabama",0,58,55,48,119,119,45,69,119,69
"G0100290","2006-2010",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14823,13983,606,32,2,0,23,177,10,167,"Cleburne County, Alabama",0,199,204,32,5,119,31,70,17,68
"G0100310","2006-2010",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",48349,37460,8377,417,536,44,314,1201,93,1108,"Coffee County, Alabama",0,223,147,132,127,50,135,226,74,193
"G0100330","2006-2010",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54446,44325,8745,337,262,0,153,624,153,471,"Colbert County, Alabama",0,193,190,82,119,119,92,219,150,192
"G0100350","2006-2010",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13382,6972,6189,122,0,0,0,99,0,99,"Conecuh County, Alabama",0,56,222,159,119,119,119,163,119,163
"G0100370","2006-2010",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",11470,7517,3874,0,0,0,14,65,0,65,"Coosa County, Alabama",0,119,56,119,119,119,23,51,119,51
"G0100390","2006-2010",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37608,31901,4837,81,188,51,307,243,0,243,"Covington County, Alabama",0,168,184,49,124,56,178,122,119,122
"G0100410","2006-2010",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13928,10196,2901,116,531,0,0,184,0,184,"Crenshaw County, Alabama",0,10,232,49,220,119,119,129,119,129
"G0100430","2006-2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",79941,76819,729,544,355,20,465,1009,126,883,"Cullman County, Alabama",0,325,161,132,48,30,267,284,89,288
"G0100450","2006-2010",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",49730,37298,9888,121,623,56,387,1357,47,1310,"Dale County, Alabama",0,284,309,47,66,39,209,267,40,262
"G0100470","2006-2010",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",44066,13226,30322,37,167,0,181,133,0,133,"Dallas County, Alabama",0,66,114,39,24,119,110,99,119,99
"G0100490","2006-2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",70038,64779,1120,1089,212,7,1561,1270,115,1155,"DeKalb County, Alabama",0,933,188,286,43,14,928,296,135,244
"G0100510","2006-2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",77650,59044,15611,294,481,0,1249,971,38,933,"Elmore County, Alabama",0,219,191,73,93,119,251,209,31,210
"G0100530","2006-2010",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37996,24065,11936,1384,147,14,106,344,22,322,"Escambia County, Alabama",0,148,116,76,25,24,152,149,29,141
"G0100550","2006-2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",104066,85437,15658,426,616,40,408,1481,36,1445,"Etowah County, Alabama",0,312,381,219,51,47,228,401,52,402
"G0100570","2006-2010",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17472,15128,1954,30,31,0,0,329,66,263,"Fayette County, Alabama",0,53,94,33,51,119,119,106,53,85
"G0100590","2006-2010",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",31383,27392,1329,291,62,130,1842,337,73,264,"Franklin County, Alabama",0,500,144,192,64,204,428,167,100,133
"G0100610","2006-2010",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",26541,23154,2711,50,31,0,141,454,87,367,"Geneva County, Alabama",0,159,71,51,35,119,133,128,95,76
"G0100630","2006-2010",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9255,1663,7444,31,9,0,97,11,0,11,"Greene County, Alabama",0,119,153,35,15,119,153,19,119,19
"G0100650","2006-2010",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",16168,6457,9570,45,37,0,0,59,0,59,"Hale County, Alabama",0,75,85,25,36,119,119,32,119,32
"G0100670","2006-2010",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",17148,11673,5021,0,320,0,114,20,0,20,"Henry County, Alabama",0,91,232,119,227,119,91,24,119,24
"G0100690","2006-2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",99029,69839,25150,451,801,18,1285,1485,86,1399,"Houston County, Alabama",0,236,225,73,71,15,236,273,53,253
"G0100710","2006-2010",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",53386,49167,1786,656,108,3,177,1489,19,1470,"Jackson County, Alabama",0,140,148,194,71,5,129,270,21,274
"G0100730","2006-2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",656912,358121,274357,1147,8980,214,8888,5205,484,4721,"Jefferson County, Alabama",0,1283,570,232,341,34,1301,667,213,657
"G0100750","2006-2010",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14743,12824,1804,36,0,0,10,69,0,69,"Lamar County, Alabama",0,24,56,41,119,119,17,44,119,44
"G0100770","2006-2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",91762,80106,9395,401,612,0,395,853,17,836,"Lauderdale County, Alabama",0,299,282,139,77,119,200,226,20,224
"G0100790","2006-2010",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",34235,26727,3842,1794,70,0,179,1623,47,1576,"Lawrence County, Alabama",0,163,186,319,45,119,148,404,52,400
"G0100810","2006-2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",135010,98194,30775,502,3417,156,494,1472,30,1442,"Lee County, Alabama",0,372,367,195,89,210,253,300,38,297
"G0100830","2006-2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",78614,65164,10043,480,797,3,1111,1016,29,987,"Limestone County, Alabama",0,440,261,128,68,6,428,305,32,306
"G0100850","2006-2010",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",11731,3020,8566,31,3,0,43,68,0,68,"Lowndes County, Alabama",0,90,126,31,6,119,43,48,119,48
"G0100870","2006-2010",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",21699,3269,18038,45,2,0,16,329,0,329,"Macon County, Alabama",0,23,114,41,12,119,26,127,119,127
"G0100890","2006-2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",323080,225860,76057,1894,7867,320,2810,8272,728,7544,"Madison County, Alabama",0,744,671,298,234,88,616,782,266,756
"G0100910","2006-2010",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",21296,9762,11309,32,0,0,34,159,0,159,"Marengo County, Alabama",0,22,84,33,119,119,42,69,119,69
"G0100930","2006-2010",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",30792,28844,892,58,258,0,317,423,0,423,"Marion County, Alabama",0,196,174,41,232,119,196,119,119,119
"G0100950","2006-2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",90867,85322,1471,705,469,58,1609,1233,184,1049,"Marshall County, Alabama",0,590,180,218,47,64,532,305,125,265
"G0100970","2006-2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",408620,250336,140847,3033,7393,99,2071,4841,245,4596,"Mobile County, Alabama",0,524,643,425,267,128,457,717,117,696
"G0100990","2006-2010",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",23329,12981,9474,293,101,0,116,364,45,319,"Monroe County, Alabama",0,104,161,52,20,119,129,200,62,180
"G0101010","2006-2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",228018,95733,122759,767,4321,78,1751,2609,205,2404,"Montgomery County, Alabama",0,672,483,318,200,69,583,511,102,506
"G0101030","2006-2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",117632,97135,13893,1077,762,54,2788,1923,218,1705,"Morgan County, Alabama",0,718,312,293,72,56,693,446,175,389
"G0101050","2006-2010",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",10684,3176,7368,24,0,0,0,116,0,116,"Perry County, Alabama",0,32,168,38,119,119,119,143,119,143
"G0101070","2006-2010",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",19917,11332,8400,14,4,0,24,143,0,143,"Pickens County, Alabama",0,49,91,14,7,119,30,102,119,102
"G0101090","2006-2010",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",32147,18967,11663,269,606,0,159,483,126,357,"Pike County, Alabama",0,168,138,55,37,119,84,210,143,161
"G0101110","2006-2010",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",22817,17609,4781,76,0,0,68,283,0,283,"Randolph County, Alabama",0,152,193,62,119,119,101,161,119,161
"G0101130","2006-2010",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",51663,28082,21484,106,186,20,442,1343,139,1204,"Russell County, Alabama",0,225,294,82,52,25,199,301,133,256
"G0101150","2006-2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",80658,72052,6906,315,386,7,156,836,30,806,"St. Clair County, Alabama",0,146,139,130,117,13,119,259,34,251
"G0101170","2006-2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",187880,158707,19271,551,3567,0,3960,1824,166,1658,"Shelby County, Alabama",0,754,262,156,125,119,782,287,150,254
"G0101190","2006-2010",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",13871,3381,10197,0,0,0,195,98,15,83,"Sumter County, Alabama",0,28,230,119,119,119,211,99,31,91
"G0101210","2006-2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",82347,54116,26278,216,349,0,675,713,61,652,"Talladega County, Alabama",0,227,188,118,68,119,264,191,50,177
"G0101230","2006-2010",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",41534,29573,11095,34,22,0,225,585,65,520,"Tallapoosa County, Alabama",0,210,177,30,26,119,210,196,99,158
"G0101250","2006-2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",188331,126696,56014,514,1971,94,1333,1709,151,1558,"Tuscaloosa County, Alabama",0,552,233,214,238,149,473,359,88,351
"G0101270","2006-2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",67612,62143,4082,198,159,28,67,935,32,903,"Walker County, Alabama",0,228,229,119,141,45,55,172,35,184
"G0101290","2006-2010",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",17556,11466,4468,1374,61,56,0,131,0,131,"Washington County, Alabama",0,48,96,85,30,77,119,93,119,93
"G0101310","2006-2010",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",12012,3229,8763,0,0,0,0,20,0,20,"Wilcox County, Alabama",0,39,45,119,119,119,119,24,119,24
"G0101330","2006-2010",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",24687,23904,75,70,28,0,112,498,0,498,"Winston County, Alabama",0,138,82,47,41,119,74,82,119,82
"G0200130","2006-2010",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",3703,579,406,456,1934,22,155,151,0,151,"Aleutians East Borough, Alaska",765,298,156,118,510,26,79,74,109,74
"G0200160","2006-2010",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",6259,1880,676,464,2144,185,673,237,59,178,"Aleutians West Census Area, Alaska",1006,423,445,127,420,131,321,91,55,75
"G0200200","2006-2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",284267,192878,15228,18360,20873,5042,5492,26394,1351,25043,"Anchorage Municipality, Alaska",0,746,637,1179,840,266,667,1541,373,1445
"G0200500","2006-2010",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",16838,2031,44,13598,133,0,0,1032,0,1032,"Bethel Census Area, Alaska",0,81,40,339,80,109,109,317,109,317
"G0200600","2006-2010",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",1049,498,0,339,0,3,0,209,0,209,"Bristol Bay Borough, Alaska",134,95,109,100,109,10,109,78,109,78
"G0200680","2006-2010",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",1144,1004,19,43,9,0,11,58,0,58,"Denali Borough, Alaska",304,284,14,27,11,109,14,53,109,53
"G0200700","2006-2010",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",4817,915,11,3285,33,22,39,512,17,495,"Dillingham Census Area, Alaska",0,6,10,147,25,30,25,141,15,139
"G0200900","2006-2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",94439,73329,4189,6784,2470,391,1327,5949,337,5612,"Fairbanks North Star Borough, Alaska",0,399,306,556,187,78,356,662,172,673
"G0201000","2006-2010",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",1658,1356,3,117,23,0,6,153,20,133,"Haines Borough, Alaska",492,425,5,71,28,109,10,93,30,84
"G0201050","2006-2010",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",2029,911,4,840,8,14,20,232,8,224,"Hoonah-Angoon Census Area, Alaska",196,145,5,91,8,14,18,67,11,66
"G0201100","2006-2010",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",30975,21784,234,3294,1830,194,520,3119,146,2973,"Juneau City and Borough, Alaska",0,259,97,404,170,68,197,427,108,414
"G0201220","2006-2010",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",53917,45900,302,4071,758,49,273,2564,113,2451,"Kenai Peninsula Borough, Alaska",0,183,76,373,99,48,139,365,59,361
"G0201300","2006-2010",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13396,9230,51,1781,803,0,181,1350,50,1300,"Ketchikan Gateway Borough, Alaska",0,147,53,226,103,109,127,280,54,269
"G0201500","2006-2010",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13349,7552,125,2271,2714,14,385,288,55,233,"Kodiak Island Borough, Alaska",0,244,96,145,152,23,255,135,72,115
"G0201640","2006-2010",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1626,322,16,1099,24,0,0,165,0,165,"Lake and Peninsula Borough, Alaska",153,97,14,147,33,109,109,72,109,72
"G0201700","2006-2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",84147,72089,867,3642,965,112,371,6101,264,5837,"Matanuska-Susitna Borough, Alaska",0,233,111,348,160,65,130,421,118,410
"G0201800","2006-2010",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9315,1577,105,6877,28,32,38,658,0,658,"Nome Census Area, Alaska",0,84,109,271,31,39,43,228,109,228
"G0201850","2006-2010",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",8852,994,37,6685,233,94,33,776,168,608,"North Slope Borough, Alaska",0,267,30,438,189,96,30,222,98,224
"G0201880","2006-2010",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7477,888,17,6036,41,14,6,475,0,475,"Northwest Arctic Borough, Alaska",0,109,19,122,36,16,9,115,109,115
"G0201950","2006-2010",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",3841,2802,0,504,84,0,14,437,0,437,"Petersburg Census Area, Alaska",0,155,109,120,42,109,18,143,109,143
"G0201980","2006-2010",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",5507,2779,9,2158,76,18,25,442,8,434,"Prince of Wales-Hyder Census Area, Alaska",0,28,13,89,8,25,22,83,11,81
"G0202200","2006-2010",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8894,5887,22,1661,408,0,189,727,25,702,"Sitka City and Borough, Alaska",0,75,31,212,217,109,129,296,41,291
"G0202300","2006-2010",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1140,1015,24,22,11,0,0,68,0,68,"Skagway Municipality, Alaska",196,122,40,17,12,109,109,49,109,49
"G0202400","2006-2010",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",6935,5648,156,642,25,12,8,444,10,434,"Southeast Fairbanks Census Area, Alaska",0,33,28,85,23,18,15,84,16,84
"G0202610","2006-2010",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9606,6994,76,1636,353,52,45,450,0,450,"Valdez-Cordova Census Area, Alaska",0,52,35,132,71,54,55,147,109,147
"G0202700","2006-2010",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",7398,246,9,6802,14,19,0,308,3,305,"Wade Hampton Census Area, Alaska",0,109,12,99,4,26,109,89,5,87
"G0202750","2006-2010",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2338,1613,21,429,4,6,11,254,17,237,"Wrangell City and Borough, Alaska",0,147,31,176,7,11,22,120,34,118
"G0202820","2006-2010",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",638,201,0,339,11,4,6,77,0,77,"Yakutat City and Borough, Alaska",113,66,109,102,12,6,7,37,109,37
"G0202900","2006-2010",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5635,1248,4,3885,12,18,5,463,22,441,"Yukon-Koyukuk Census Area, Alaska",0,11,6,90,12,26,7,87,19,86
"G0400010","2006-2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",70312,16895,179,51339,226,61,821,791,69,722,"Apache County, Arizona",0,323,98,309,35,40,247,253,32,248
"G0400030","2006-2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",129268,107638,4939,1381,2486,365,7173,5286,1715,3571,"Cochise County, Arizona",0,1183,326,182,270,86,1045,632,416,399
"G0400050","2006-2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",131824,81677,1417,35894,1978,220,7055,3583,736,2847,"Coconino County, Arizona",0,976,200,406,142,124,984,545,283,484
"G0400070","2006-2010",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",53272,41791,136,7821,70,85,2130,1239,343,896,"Gila County, Arizona",0,518,80,296,61,99,449,426,209,382
"G0400090","2006-2010",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",36030,25172,813,5373,193,52,3664,763,323,440,"Graham County, Arizona",0,541,52,204,47,63,601,244,162,192
"G0400110","2006-2010",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",8318,6866,24,214,69,14,868,263,124,139,"Greenlee County, Arizona",0,286,31,96,50,24,279,142,96,72
"G0400120","2006-2010",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20549,14481,211,2444,164,16,2876,357,102,255,"La Paz County, Arizona",0,374,31,113,4,26,395,142,69,133
"G0400130","2006-2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",3751410,3018608,177978,68540,124763,7588,260734,93199,25066,68133,"Maricopa County, Arizona",0,7846,1596,1627,1596,395,7388,3623,1693,2786
"G0400150","2006-2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",199177,179540,1854,3429,1932,310,5518,6594,1159,5435,"Mohave County, Arizona",0,1288,226,439,181,117,999,725,316,646
