GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A86001
"G0500230","1920","Arkansas","050","Cleburne","0230","Cleburne",12694
"G0500250","1920","Arkansas","050","Cleveland","0250","Cleveland",8541
"G0500270","1920","Arkansas","050","Columbia","0270","Columbia",15022
"G0500290","1920","Arkansas","050","Conway","0290","Conway",15924
"G0500310","1920","Arkansas","050","Craighead","0310","Craighead",35501
"G0500330","1920","Arkansas","050","Crawford","0330","Crawford",24044
"G0500350","1920","Arkansas","050","Crittenden","0350","Crittenden",4653
"G0500370","1920","Arkansas","050","Cross","0370","Cross",10653
"G0500390","1920","Arkansas","050","Dallas","0390","Dallas",9486
"G0500410","1920","Arkansas","050","Desha","0410","Desha",5023
"G0500430","1920","Arkansas","050","Drew","0430","Drew",11032
"G0500450","1920","Arkansas","050","Faulkner","0450","Faulkner",23560
"G0500470","1920","Arkansas","050","Franklin","0470","Franklin",19059
"G0500490","1920","Arkansas","050","Fulton","0490","Fulton",11156
"G0500510","1920","Arkansas","050","Garland","0510","Garland",22355
"G0500530","1920","Arkansas","050","Grant","0530","Grant",9650
"G0500550","1920","Arkansas","050","Greene","0550","Greene",26073
"G0500570","1920","Arkansas","050","Hempstead","0570","Hempstead",17423
"G0500590","1920","Arkansas","050","Hot Spring","0590","Hot Spring",15715
"G0500610","1920","Arkansas","050","Howard","0610","Howard",14300
"G0500630","1920","Arkansas","050","Independence","0630","Independence",22900
"G0500650","1920","Arkansas","050","Izard","0650","Izard",13654
"G0500670","1920","Arkansas","050","Jackson","0670","Jackson",19874
"G0500690","1920","Arkansas","050","Jefferson","0690","Jefferson",20824
"G0500710","1920","Arkansas","050","Johnson","0710","Johnson",20733
"G0500730","1920","Arkansas","050","Lafayette","0730","Lafayette",7837
"G0500750","1920","Arkansas","050","Lawrence","0750","Lawrence",21472
"G0500770","1920","Arkansas","050","Lee","0770","Lee",6533
"G0500790","1920","Arkansas","050","Lincoln","0790","Lincoln",6011
"G0500810","1920","Arkansas","050","Little River","0810","Little River",10295
"G0500830","1920","Arkansas","050","Logan","0830","Logan",25399
"G0500850","1920","Arkansas","050","Lonoke","0850","Lonoke",21772
"G0500870","1920","Arkansas","050","Madison","0870","Madison",14877
"G0500890","1920","Arkansas","050","Marion","0890","Marion",10154
"G0500910","1920","Arkansas","050","Miller","0910","Miller",16772
"G0500930","1920","Arkansas","050","Mississippi","0930","Mississippi",27406
"G0500950","1920","Arkansas","050","Monroe","0950","Monroe",8391
"G0500970","1920","Arkansas","050","Montgomery","0970","Montgomery",10913
"G0500990","1920","Arkansas","050","Nevada","0990","Nevada",14819
"G0501010","1920","Arkansas","050","Newton","1010","Newton",11189
"G0501030","1920","Arkansas","050","Ouachita","1030","Ouachita",10219
"G0501050","1920","Arkansas","050","Perry","1050","Perry",9227
"G0501070","1920","Arkansas","050","Phillips","1070","Phillips",11591
"G0501090","1920","Arkansas","050","Pike","1090","Pike",11525
"G0501110","1920","Arkansas","050","Poinsett","1110","Poinsett",16769
"G0501130","1920","Arkansas","050","Polk","1130","Polk",16389
"G0501150","1920","Arkansas","050","Pope","1150","Pope",25402
"G0501170","1920","Arkansas","050","Prairie","1170","Prairie",12219
"G0501190","1920","Arkansas","050","Pulaski","1190","Pulaski",73010
"G0501210","1920","Arkansas","050","Randolph","1210","Randolph",17419
"G0501230","1920","Arkansas","050","St Francis","1230","St Francis",8412
"G0501250","1920","Arkansas","050","Saline","1250","Saline",16330
"G0501270","1920","Arkansas","050","Scott","1270","Scott",13208
"G0501290","1920","Arkansas","050","Searcy","1290","Searcy",14566
"G0501310","1920","Arkansas","050","Sebastian","1310","Sebastian",52429
"G0501330","1920","Arkansas","050","Sevier","1330","Sevier",16019
"G0501350","1920","Arkansas","050","Sharp","1350","Sharp",11117
"G0501370","1920","Arkansas","050","Stone","1370","Stone",8764
"G0501390","1920","Arkansas","050","Union","1390","Union",17329
"G0501410","1920","Arkansas","050","Van Buren","1410","Van Buren",13452
"G0501430","1920","Arkansas","050","Washington","1430","Washington",34957
"G0501450","1920","Arkansas","050","White","1450","White",32628
"G0501470","1920","Arkansas","050","Woodruff","1470","Woodruff",10113
"G0501490","1920","Arkansas","050","Yell","1490","Yell",24237
"G0600010","1920","California","060","Alameda","0010","Alameda",327731
"G0600030","1920","California","060","Alpine","0030","Alpine",141
"G0600050","1920","California","060","Amador","0050","Amador",7616
"G0600070","1920","California","060","Butte","0070","Butte",28855
"G0600090","1920","California","060","Calaveras","0090","Calaveras",6084
"G0600110","1920","California","060","Colusa","0110","Colusa",8587
"G0600130","1920","California","060","Contra Costa","0130","Contra Costa",52217
"G0600150","1920","California","060","Del Norte","0150","Del Norte",2232
"G0600170","1920","California","060","El Dorado","0170","El Dorado",6225
"G0600190","1920","California","060","Fresno","0190","Fresno",120435
"G0600210","1920","California","060","Glenn","0210","Glenn",11462
"G0600230","1920","California","060","Humboldt","0230","Humboldt",35491
"G0600250","1920","California","060","Imperial","0250","Imperial",38165
"G0600270","1920","California","060","Inyo","0270","Inyo",6265
"G0600290","1920","California","060","Kern","0290","Kern",53227
"G0600310","1920","California","060","Kings","0310","Kings",20740
"G0600330","1920","California","060","Lake","0330","Lake",5096
"G0600350","1920","California","060","Lassen","0350","Lassen",8077
"G0600370","1920","California","060","Los Angeles","0370","Los Angeles",894507
"G0600390","1920","California","060","Madera","0390","Madera",11524
"G0600410","1920","California","060","Marin","0410","Marin",26777
"G0600430","1920","California","060","Mariposa","0430","Mariposa",2656
"G0600435","1920","California","060","Mariposa-Mono [multi-county reporting area]","0435","Mariposa-Mono (multi-county reporting area)",
"G0600450","1920","California","060","Mendocino","0450","Mendocino",22766
"G0600470","1920","California","060","Merced","0470","Merced",23956
"G0600490","1920","California","060","Modoc","0490","Modoc",4938
"G0600510","1920","California","060","Mono","0510","Mono",694
"G0600530","1920","California","060","Monterey","0530","Monterey",25290
"G0600550","1920","California","060","Napa","0550","Napa",20421
"G0600570","1920","California","060","Nevada","0570","Nevada",10656
"G0600590","1920","California","060","Orange","0590","Orange",58726
"G0600610","1920","California","060","Placer","0610","Placer",16422
"G0600630","1920","California","060","Plumas","0630","Plumas",5241
"G0600650","1920","California","060","Riverside","0650","Riverside",46664
"G0600670","1920","California","060","Sacramento","0670","Sacramento",82016
"G0600690","1920","California","060","San Benito","0690","San Benito",8407
"G0600710","1920","California","060","San Bernardino","0710","San Bernardino",71089
"G0600730","1920","California","060","San Diego","0730","San Diego",107911
"G0600750","1920","California","060","San Francisco","0750","San Francisco",490022
"G0600770","1920","California","060","San Joaquin","0770","San Joaquin",72974
"G0600790","1920","California","060","San Luis Obispo","0790","San Luis Obispo",21206
"G0600810","1920","California","060","San Mateo","0810","San Mateo",35525
"G0600830","1920","California","060","Santa Barbara","0830","Santa Barbara",39511
"G0600850","1920","California","060","Santa Clara","0850","Santa Clara",96471
"G0600870","1920","California","060","Santa Cruz","0870","Santa Cruz",24937
"G0600890","1920","California","060","Shasta","0890","Shasta",12647
"G0600910","1920","California","060","Sierra","0910","Sierra",1681
"G0600930","1920","California","060","Siskiyou","0930","Siskiyou",17501
"G0600950","1920","California","060","Solano","0950","Solano",38160
"G0600970","1920","California","060","Sonoma","0970","Sonoma",50941
"G0600990","1920","California","060","Stanislaus","0990","Stanislaus",42784
"G0601010","1920","California","060","Sutter","1010","Sutter",9500
"G0601030","1920","California","060","Tehama","1030","Tehama",12437
"G0601050","1920","California","060","Trinity","1050","Trinity",2398
"G0601070","1920","California","060","Tulare","1070","Tulare",56420
"G0601090","1920","California","060","Tuolumne","1090","Tuolumne",7635
