GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A7L001
"G0500230","1920","Arkansas","050","Cleburne","0230","Cleburne",12696
"G0500250","1920","Arkansas","050","Cleveland","0250","Cleveland",12260
"G0500270","1920","Arkansas","050","Columbia","0270","Columbia",27670
"G0500290","1920","Arkansas","050","Conway","0290","Conway",22578
"G0500310","1920","Arkansas","050","Craighead","0310","Craighead",37541
"G0500330","1920","Arkansas","050","Crawford","0330","Crawford",25739
"G0500350","1920","Arkansas","050","Crittenden","0350","Crittenden",29309
"G0500370","1920","Arkansas","050","Cross","0370","Cross",18579
"G0500390","1920","Arkansas","050","Dallas","0390","Dallas",14424
"G0500410","1920","Arkansas","050","Desha","0410","Desha",20297
"G0500430","1920","Arkansas","050","Drew","0430","Drew",21822
"G0500450","1920","Arkansas","050","Faulkner","0450","Faulkner",27681
"G0500470","1920","Arkansas","050","Franklin","0470","Franklin",19364
"G0500490","1920","Arkansas","050","Fulton","0490","Fulton",11182
"G0500510","1920","Arkansas","050","Garland","0510","Garland",25785
"G0500530","1920","Arkansas","050","Grant","0530","Grant",10710
"G0500550","1920","Arkansas","050","Greene","0550","Greene",26105
"G0500570","1920","Arkansas","050","Hempstead","0570","Hempstead",31602
"G0500590","1920","Arkansas","050","Hot Spring","0590","Hot Spring",17784
"G0500610","1920","Arkansas","050","Howard","0610","Howard",18565
"G0500630","1920","Arkansas","050","Independence","0630","Independence",23976
"G0500650","1920","Arkansas","050","Izard","0650","Izard",13871
"G0500670","1920","Arkansas","050","Jackson","0670","Jackson",25446
"G0500690","1920","Arkansas","050","Jefferson","0690","Jefferson",60330
"G0500710","1920","Arkansas","050","Johnson","0710","Johnson",21062
"G0500730","1920","Arkansas","050","Lafayette","0730","Lafayette",15522
"G0500750","1920","Arkansas","050","Lawrence","0750","Lawrence",22098
"G0500770","1920","Arkansas","050","Lee","0770","Lee",28852
"G0500790","1920","Arkansas","050","Lincoln","0790","Lincoln",18774
"G0500810","1920","Arkansas","050","Little River","0810","Little River",16301
"G0500830","1920","Arkansas","050","Logan","0830","Logan",25866
"G0500850","1920","Arkansas","050","Lonoke","0850","Lonoke",33400
"G0500870","1920","Arkansas","050","Madison","0870","Madison",14918
"G0500890","1920","Arkansas","050","Marion","0890","Marion",10154
"G0500910","1920","Arkansas","050","Miller","0910","Miller",24021
"G0500930","1920","Arkansas","050","Mississippi","0930","Mississippi",47320
"G0500950","1920","Arkansas","050","Monroe","0950","Monroe",21601
"G0500970","1920","Arkansas","050","Montgomery","0970","Montgomery",11112
"G0500990","1920","Arkansas","050","Nevada","0990","Nevada",21934
"G0501010","1920","Arkansas","050","Newton","1010","Newton",11199
"G0501030","1920","Arkansas","050","Ouachita","1030","Ouachita",20636
"G0501050","1920","Arkansas","050","Perry","1050","Perry",9905
"G0501070","1920","Arkansas","050","Phillips","1070","Phillips",44530
"G0501090","1920","Arkansas","050","Pike","1090","Pike",12397
"G0501110","1920","Arkansas","050","Poinsett","1110","Poinsett",20848
"G0501130","1920","Arkansas","050","Polk","1130","Polk",16412
"G0501150","1920","Arkansas","050","Pope","1150","Pope",27153
"G0501170","1920","Arkansas","050","Prairie","1170","Prairie",17447
"G0501190","1920","Arkansas","050","Pulaski","1190","Pulaski",109464
"G0501210","1920","Arkansas","050","Randolph","1210","Randolph",17713
"G0501230","1920","Arkansas","050","St Francis","1230","St Francis",28385
"G0501250","1920","Arkansas","050","Saline","1250","Saline",16781
"G0501270","1920","Arkansas","050","Scott","1270","Scott",13232
"G0501290","1920","Arkansas","050","Searcy","1290","Searcy",14590
"G0501310","1920","Arkansas","050","Sebastian","1310","Sebastian",56739
"G0501330","1920","Arkansas","050","Sevier","1330","Sevier",18301
"G0501350","1920","Arkansas","050","Sharp","1350","Sharp",11132
"G0501370","1920","Arkansas","050","Stone","1370","Stone",8779
"G0501390","1920","Arkansas","050","Union","1390","Union",29691
"G0501410","1920","Arkansas","050","Van Buren","1410","Van Buren",13666
"G0501430","1920","Arkansas","050","Washington","1430","Washington",35468
"G0501450","1920","Arkansas","050","White","1450","White",34603
"G0501470","1920","Arkansas","050","Woodruff","1470","Woodruff",21547
"G0501490","1920","Arkansas","050","Yell","1490","Yell",25655
"G0600010","1920","California","060","Alameda","0010","Alameda",344177
"G0600030","1920","California","060","Alpine","0030","Alpine",243
"G0600050","1920","California","060","Amador","0050","Amador",7793
"G0600070","1920","California","060","Butte","0070","Butte",30030
"G0600090","1920","California","060","Calaveras","0090","Calaveras",6183
"G0600110","1920","California","060","Colusa","0110","Colusa",9290
"G0600130","1920","California","060","Contra Costa","0130","Contra Costa",53889
"G0600150","1920","California","060","Del Norte","0150","Del Norte",2759
"G0600170","1920","California","060","El Dorado","0170","El Dorado",6426
"G0600190","1920","California","060","Fresno","0190","Fresno",128779
"G0600210","1920","California","060","Glenn","0210","Glenn",11853
"G0600230","1920","California","060","Humboldt","0230","Humboldt",37413
"G0600250","1920","California","060","Imperial","0250","Imperial",43453
"G0600270","1920","California","060","Inyo","0270","Inyo",7031
"G0600290","1920","California","060","Kern","0290","Kern",54843
"G0600310","1920","California","060","Kings","0310","Kings",22031
"G0600330","1920","California","060","Lake","0330","Lake",5402
"G0600350","1920","California","060","Lassen","0350","Lassen",8507
"G0600370","1920","California","060","Los Angeles","0370","Los Angeles",936455
"G0600390","1920","California","060","Madera","0390","Madera",12203
"G0600410","1920","California","060","Marin","0410","Marin",27342
"G0600430","1920","California","060","Mariposa","0430","Mariposa",2775
"G0600435","1920","California","060","Mariposa-Mono [multi-county reporting area]","0435","Mariposa-Mono (multi-county reporting area)",
"G0600450","1920","California","060","Mendocino","0450","Mendocino",24116
"G0600470","1920","California","060","Merced","0470","Merced",24579
"G0600490","1920","California","060","Modoc","0490","Modoc",5425
"G0600510","1920","California","060","Mono","0510","Mono",960
"G0600530","1920","California","060","Monterey","0530","Monterey",27980
"G0600550","1920","California","060","Napa","0550","Napa",20678
"G0600570","1920","California","060","Nevada","0570","Nevada",10850
"G0600590","1920","California","060","Orange","0590","Orange",61375
"G0600610","1920","California","060","Placer","0610","Placer",18584
"G0600630","1920","California","060","Plumas","0630","Plumas",5681
"G0600650","1920","California","060","Riverside","0650","Riverside",50297
"G0600670","1920","California","060","Sacramento","0670","Sacramento",91029
"G0600690","1920","California","060","San Benito","0690","San Benito",8995
"G0600710","1920","California","060","San Bernardino","0710","San Bernardino",73401
"G0600730","1920","California","060","San Diego","0730","San Diego",112248
"G0600750","1920","California","060","San Francisco","0750","San Francisco",506676
"G0600770","1920","California","060","San Joaquin","0770","San Joaquin",79905
"G0600790","1920","California","060","San Luis Obispo","0790","San Luis Obispo",21893
"G0600810","1920","California","060","San Mateo","0810","San Mateo",36781
"G0600830","1920","California","060","Santa Barbara","0830","Santa Barbara",41097
"G0600850","1920","California","060","Santa Clara","0850","Santa Clara",100676
"G0600870","1920","California","060","Santa Cruz","0870","Santa Cruz",26269
"G0600890","1920","California","060","Shasta","0890","Shasta",13361
"G0600910","1920","California","060","Sierra","0910","Sierra",1783
"G0600930","1920","California","060","Siskiyou","0930","Siskiyou",18545
"G0600950","1920","California","060","Solano","0950","Solano",40602
"G0600970","1920","California","060","Sonoma","0970","Sonoma",52090
"G0600990","1920","California","060","Stanislaus","0990","Stanislaus",43557
"G0601010","1920","California","060","Sutter","1010","Sutter",10115
"G0601030","1920","California","060","Tehama","1030","Tehama",12882
"G0601050","1920","California","060","Trinity","1050","Trinity",2551
"G0601070","1920","California","060","Tulare","1070","Tulare",59031
"G0601090","1920","California","060","Tuolumne","1090","Tuolumne",7768
"G0601110","1920","California","060","Ventura","1110","Ventura",28724
"G0601130","1920","California","060","Yolo","1130","Yolo",17105
"G0601150","1920","California","060","Yuba","1150","Yuba",10375
"G0800010","1920","Colorado","080","Adams","0010","Adams",14430
"G0800030","1920","Colorado","080","Alamosa","0030","Alamosa",5148
"G0800050","1920","Colorado","080","Arapahoe","0050","Arapahoe",13766
"G0800070","1920","Colorado","080","Archuleta","0070","Archuleta",3590
"G0800090","1920","Colorado","080","Baca","0090","Baca",8721
"G0800110","1920","Colorado","080","Bent","0110","Bent",9705
"G0800130","1920","Colorado","080","Boulder","0130","Boulder",31861
"G0800150","1920","Colorado","080","Chaffee","0150","Chaffee",7753
"G0800170","1920","Colorado","080","Cheyenne","0170","Cheyenne",3746
"G0800190","1920","Colorado","080","Clear Creek","0190","Clear Creek",2891
"G0800210","1920","Colorado","080","Conejos","0210","Conejos",8416
"G0800230","1920","Colorado","080","Costilla","0230","Costilla",5032
"G0800250","1920","Colorado","080","Crowley","0250","Crowley",6383
"G0800270","1920","Colorado","080","Custer","0270","Custer",2172
"G0800290","1920","Colorado","080","Delta","0290","Delta",13668
"G0800310","1920","Colorado","080","Denver","0310","Denver",256491
"G0800330","1920","Colorado","080","Dolores","0330","Dolores",1243
"G0800350","1920","Colorado","080","Douglas","0350","Douglas",3517
"G0800370","1920","Colorado","080","Eagle","0370","Eagle",3385
"G0800390","1920","Colorado","080","Elbert","0390","Elbert",6980
"G0800410","1920","Colorado","080","El Paso","0410","El Paso",44027
"G0800430","1920","Colorado","080","Fremont","0430","Fremont",17883
"G0800450","1920","Colorado","080","Garfield","0450","Garfield",9304
