GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A7L001
"G1801790","1920","Indiana","180","Wells","1790","Wells",20509
"G1801810","1920","Indiana","180","White","1810","White",17351
"G1801830","1920","Indiana","180","Whitley","1830","Whitley",15660
"G1900010","1920","Iowa","190","Adair","0010","Adair",14259
"G1900030","1920","Iowa","190","Adams","0030","Adams",10521
"G1900050","1920","Iowa","190","Allamakee","0050","Allamakee",17285
"G1900070","1920","Iowa","190","Appanoose","0070","Appanoose",30535
"G1900090","1920","Iowa","190","Audubon","0090","Audubon",12520
"G1900110","1920","Iowa","190","Benton","0110","Benton",24080
"G1900130","1920","Iowa","190","Black Hawk","0130","Black Hawk",56570
"G1900150","1920","Iowa","190","Boone","0150","Boone",29892
"G1900170","1920","Iowa","190","Bremer","0170","Bremer",16728
"G1900190","1920","Iowa","190","Buchanan","0190","Buchanan",19890
"G1900210","1920","Iowa","190","Buena Vista","0210","Buena Vista",18556
"G1900230","1920","Iowa","190","Butler","0230","Butler",17845
"G1900250","1920","Iowa","190","Calhoun","0250","Calhoun",17783
"G1900270","1920","Iowa","190","Carroll","0270","Carroll",21549
"G1900290","1920","Iowa","190","Cass","0290","Cass",19421
"G1900310","1920","Iowa","190","Cedar","0310","Cedar",17560
"G1900330","1920","Iowa","190","Cerro Gordo","0330","Cerro Gordo",34675
"G1900350","1920","Iowa","190","Cherokee","0350","Cherokee",17760
"G1900370","1920","Iowa","190","Chickasaw","0370","Chickasaw",15431
"G1900390","1920","Iowa","190","Clarke","0390","Clarke",10506
"G1900410","1920","Iowa","190","Clay","0410","Clay",15660
"G1900430","1920","Iowa","190","Clayton","0430","Clayton",25032
"G1900450","1920","Iowa","190","Clinton","0450","Clinton",43371
"G1900470","1920","Iowa","190","Crawford","0470","Crawford",20614
"G1900490","1920","Iowa","190","Dallas","0490","Dallas",25120
"G1900510","1920","Iowa","190","Davis","0510","Davis",12574
"G1900530","1920","Iowa","190","Decatur","0530","Decatur",16566
"G1900550","1920","Iowa","190","Delaware","0550","Delaware",18183
"G1900570","1920","Iowa","190","Des Moines","0570","Des Moines",35520
"G1900590","1920","Iowa","190","Dickinson","0590","Dickinson",10241
"G1900610","1920","Iowa","190","Dubuque","0610","Dubuque",58262
"G1900630","1920","Iowa","190","Emmet","0630","Emmet",12627
"G1900650","1920","Iowa","190","Fayette","0650","Fayette",29251
"G1900670","1920","Iowa","190","Floyd","0670","Floyd",18860
"G1900690","1920","Iowa","190","Franklin","0690","Franklin",15807
"G1900710","1920","Iowa","190","Fremont","0710","Fremont",15447
"G1900730","1920","Iowa","190","Greene","0730","Greene",16467
"G1900750","1920","Iowa","190","Grundy","0750","Grundy",14420
"G1900770","1920","Iowa","190","Guthrie","0770","Guthrie",17596
"G1900790","1920","Iowa","190","Hamilton","0790","Hamilton",19531
"G1900810","1920","Iowa","190","Hancock","0810","Hancock",14723
"G1900830","1920","Iowa","190","Hardin","0830","Hardin",23337
"G1900850","1920","Iowa","190","Harrison","0850","Harrison",24488
"G1900870","1920","Iowa","190","Henry","0870","Henry",18298
"G1900890","1920","Iowa","190","Howard","0890","Howard",13705
"G1900910","1920","Iowa","190","Humboldt","0910","Humboldt",12951
"G1900930","1920","Iowa","190","Ida","0930","Ida",11689
"G1900950","1920","Iowa","190","Iowa","0950","Iowa",18600
"G1900970","1920","Iowa","190","Jackson","0970","Jackson",19931
"G1900990","1920","Iowa","190","Jasper","0990","Jasper",27855
"G1901010","1920","Iowa","190","Jefferson","1010","Jefferson",16440
"G1901030","1920","Iowa","190","Johnson","1030","Johnson",26462
"G1901050","1920","Iowa","190","Jones","1050","Jones",18607
"G1901070","1920","Iowa","190","Keokuk","1070","Keokuk",20983
"G1901090","1920","Iowa","190","Kossuth","1090","Kossuth",25082
"G1901110","1920","Iowa","190","Lee","1110","Lee",39676
"G1901130","1920","Iowa","190","Linn","1130","Linn",74004
"G1901150","1920","Iowa","190","Louisa","1150","Louisa",12179
"G1901170","1920","Iowa","190","Lucas","1170","Lucas",15686
"G1901190","1920","Iowa","190","Lyon","1190","Lyon",15431
"G1901210","1920","Iowa","190","Madison","1210","Madison",15020
"G1901230","1920","Iowa","190","Mahaska","1230","Mahaska",26270
"G1901250","1920","Iowa","190","Marion","1250","Marion",24957
"G1901270","1920","Iowa","190","Marshall","1270","Marshall",32630
"G1901290","1920","Iowa","190","Mills","1290","Mills",15422
"G1901310","1920","Iowa","190","Mitchell","1310","Mitchell",13921
"G1901330","1920","Iowa","190","Monona","1330","Monona",17125
"G1901350","1920","Iowa","190","Monroe","1350","Monroe",23467
"G1901370","1920","Iowa","190","Montgomery","1370","Montgomery",17048
"G1901390","1920","Iowa","190","Muscatine","1390","Muscatine",29042
"G1901410","1920","Iowa","190","O Brien","1410","O Brien",19051
"G1901430","1920","Iowa","190","Osceola","1430","Osceola",10223
"G1901450","1920","Iowa","190","Page","1450","Page",24137
"G1901470","1920","Iowa","190","Palo Alto","1470","Palo Alto",15486
"G1901490","1920","Iowa","190","Plymouth","1490","Plymouth",23584
"G1901510","1920","Iowa","190","Pocahontas","1510","Pocahontas",15602
"G1901530","1920","Iowa","190","Polk","1530","Polk",154029
"G1901550","1920","Iowa","190","Pottawattamie","1550","Pottawattamie",61550
"G1901570","1920","Iowa","190","Poweshiek","1570","Poweshiek",19910
"G1901590","1920","Iowa","190","Ringgold","1590","Ringgold",12919
"G1901610","1920","Iowa","190","Sac","1610","Sac",17500
"G1901630","1920","Iowa","190","Scott","1630","Scott",73952
"G1901650","1920","Iowa","190","Shelby","1650","Shelby",16065
"G1901670","1920","Iowa","190","Sioux","1670","Sioux",26458
"G1901690","1920","Iowa","190","Story","1690","Story",26185
"G1901710","1920","Iowa","190","Tama","1710","Tama",21861
"G1901730","1920","Iowa","190","Taylor","1730","Taylor",15514
"G1901750","1920","Iowa","190","Union","1750","Union",17268
"G1901770","1920","Iowa","190","Van Buren","1770","Van Buren",14060
"G1901790","1920","Iowa","190","Wapello","1790","Wapello",37937
"G1901810","1920","Iowa","190","Warren","1810","Warren",18047
"G1901830","1920","Iowa","190","Washington","1830","Washington",20421
"G1901850","1920","Iowa","190","Wayne","1850","Wayne",15378
"G1901870","1920","Iowa","190","Webster","1870","Webster",37611
"G1901890","1920","Iowa","190","Winnebago","1890","Winnebago",13489
"G1901910","1920","Iowa","190","Winneshiek","1910","Winneshiek",22091
"G1901930","1920","Iowa","190","Woodbury","1930","Woodbury",92171
"G1901950","1920","Iowa","190","Worth","1950","Worth",11630
"G1901970","1920","Iowa","190","Wright","1970","Wright",20348
"G2000010","1920","Kansas","200","Allen","0010","Allen",23509
"G2000030","1920","Kansas","200","Anderson","0030","Anderson",12986
"G2000050","1920","Kansas","200","Atchison","0050","Atchison",23411
"G2000070","1920","Kansas","200","Barber","0070","Barber",9739
"G2000090","1920","Kansas","200","Barton","0090","Barton",18422
"G2000110","1920","Kansas","200","Bourbon","0110","Bourbon",23198
"G2000130","1920","Kansas","200","Brown","0130","Brown",20949
"G2000150","1920","Kansas","200","Butler","0150","Butler",43842
"G2000170","1920","Kansas","200","Chase","0170","Chase",7144
"G2000190","1920","Kansas","200","Chautauqua","0190","Chautauqua",11598
"G2000210","1920","Kansas","200","Cherokee","0210","Cherokee",33609
"G2000230","1920","Kansas","200","Cheyenne","0230","Cheyenne",5587
"G2000250","1920","Kansas","200","Clark","0250","Clark",4989
"G2000270","1920","Kansas","200","Clay","0270","Clay",14365
"G2000290","1920","Kansas","200","Cloud","0290","Cloud",17714
"G2000310","1920","Kansas","200","Coffey","0310","Coffey",14254
"G2000330","1920","Kansas","200","Comanche","0330","Comanche",5302
"G2000350","1920","Kansas","200","Cowley","0350","Cowley",35155
"G2000370","1920","Kansas","200","Crawford","0370","Crawford",61800
"G2000390","1920","Kansas","200","Decatur","0390","Decatur",8121
"G2000410","1920","Kansas","200","Dickinson","0410","Dickinson",25777
"G2000430","1920","Kansas","200","Doniphan","0430","Doniphan",13438
"G2000450","1920","Kansas","200","Douglas","0450","Douglas",23998
"G2000470","1920","Kansas","200","Edwards","0470","Edwards",7057
"G2000490","1920","Kansas","200","Elk","0490","Elk",9034
"G2000510","1920","Kansas","200","Ellis","0510","Ellis",14138
"G2000530","1920","Kansas","200","Ellsworth","0530","Ellsworth",10379
"G2000550","1920","Kansas","200","Finney","0550","Finney",7674
"G2000570","1920","Kansas","200","Ford","0570","Ford",14273
"G2000590","1920","Kansas","200","Franklin","0590","Franklin",21946
"G2000610","1920","Kansas","200","Geary","0610","Geary",13452
"G2000630","1920","Kansas","200","Gove","0630","Gove",4748
"G2000650","1920","Kansas","200","Graham","0650","Graham",7624
"G2000670","1920","Kansas","200","Grant","0670","Grant",1087
"G2000690","1920","Kansas","200","Gray","0690","Gray",4711
"G2000710","1920","Kansas","200","Greeley","0710","Greeley",1028
"G2000730","1920","Kansas","200","Greenwood","0730","Greenwood",14715
"G2000750","1920","Kansas","200","Hamilton","0750","Hamilton",2586
"G2000770","1920","Kansas","200","Harper","0770","Harper",13656
"G2000790","1920","Kansas","200","Harvey","0790","Harvey",20744
"G2000810","1920","Kansas","200","Haskell","0810","Haskell",1455
"G2000830","1920","Kansas","200","Hodgeman","0830","Hodgeman",3734
"G2000850","1920","Kansas","200","Jackson","0850","Jackson",15495
"G2000870","1920","Kansas","200","Jefferson","0870","Jefferson",14750
"G2000890","1920","Kansas","200","Jewell","0890","Jewell",16240
"G2000910","1920","Kansas","200","Johnson","0910","Johnson",18314
"G2000930","1920","Kansas","200","Kearny","0930","Kearny",2617
"G2000950","1920","Kansas","200","Kingman","0950","Kingman",12119
"G2000970","1920","Kansas","200","Kiowa","0970","Kiowa",6164
"G2000990","1920","Kansas","200","Labette","0990","Labette",34047
"G2001010","1920","Kansas","200","Lane","1010","Lane",2848
"G2001030","1920","Kansas","200","Leavenworth","1030","Leavenworth",38402
"G2001050","1920","Kansas","200","Lincoln","1050","Lincoln",9894
"G2001070","1920","Kansas","200","Linn","1070","Linn",13815
"G2001090","1920","Kansas","200","Logan","1090","Logan",3223
"G2001110","1920","Kansas","200","Lyon","1110","Lyon",26154
"G2001130","1920","Kansas","200","McPherson","1130","Mcpherson",21845
"G2001150","1920","Kansas","200","Marion","1150","Marion",22923
"G2001170","1920","Kansas","200","Marshall","1170","Marshall",22730
"G2001190","1920","Kansas","200","Meade","1190","Meade",5542
"G2001210","1920","Kansas","200","Miami","1210","Miami",19809
"G2001230","1920","Kansas","200","Mitchell","1230","Mitchell",13886
"G2001250","1920","Kansas","200","Montgomery","1250","Montgomery",49645
"G2001270","1920","Kansas","200","Morris","1270","Morris",12005
"G2001290","1920","Kansas","200","Morton","1290","Morton",3177
"G2001310","1920","Kansas","200","Nemaha","1310","Nemaha",18487
"G2001330","1920","Kansas","200","Neosho","1330","Neosho",24000
"G2001350","1920","Kansas","200","Ness","1350","Ness",7490
"G2001370","1920","Kansas","200","Norton","1370","Norton",11423
"G2001390","1920","Kansas","200","Osage","1390","Osage",18621
"G2001410","1920","Kansas","200","Osborne","1410","Osborne",12441
"G2001430","1920","Kansas","200","Ottawa","1430","Ottawa",10714
"G2001450","1920","Kansas","200","Pawnee","1450","Pawnee",9323
"G2001470","1920","Kansas","200","Phillips","1470","Phillips",12505
"G2001490","1920","Kansas","200","Pottawatomie","1490","Pottawatomie",16154
"G2001510","1920","Kansas","200","Pratt","1510","Pratt",12909
"G2001530","1920","Kansas","200","Rawlins","1530","Rawlins",6799
"G2001550","1920","Kansas","200","Reno","1550","Reno",44423
"G2001570","1920","Kansas","200","Republic","1570","Republic",15855
"G2001590","1920","Kansas","200","Rice","1590","Rice",14832
"G2001610","1920","Kansas","200","Riley","1610","Riley",20650
"G2001630","1920","Kansas","200","Rooks","1630","Rooks",9966
"G2001650","1920","Kansas","200","Rush","1650","Rush",8360
"G2001670","1920","Kansas","200","Russell","1670","Russell",10748
"G2001690","1920","Kansas","200","Saline","1690","Saline",25103
"G2001710","1920","Kansas","200","Scott","1710","Scott",3121
"G2001730","1920","Kansas","200","Sedgwick","1730","Sedgwick",92234
"G2001750","1920","Kansas","200","Seward","1750","Seward",6220
"G2001770","1920","Kansas","200","Shawnee","1770","Shawnee",69159
"G2001790","1920","Kansas","200","Sheridan","1790","Sheridan",5484
"G2001810","1920","Kansas","200","Sherman","1810","Sherman",5592
"G2001830","1920","Kansas","200","Smith","1830","Smith",14985
"G2001850","1920","Kansas","200","Stafford","1850","Stafford",11559
"G2001870","1920","Kansas","200","Stanton","1870","Stanton",908
"G2001890","1920","Kansas","200","Stevens","1890","Stevens",3943
"G2001910","1920","Kansas","200","Sumner","1910","Sumner",29213
"G2001930","1920","Kansas","200","Thomas","1930","Thomas",5517
"G2001950","1920","Kansas","200","Trego","1950","Trego",5880
"G2001970","1920","Kansas","200","Wabaunsee","1970","Wabaunsee",11424
"G2001990","1920","Kansas","200","Wallace","1990","Wallace",2424
"G2002010","1920","Kansas","200","Washington","2010","Washington",17984
"G2002030","1920","Kansas","200","Wichita","2030","Wichita",1856
"G2002050","1920","Kansas","200","Wilson","2050","Wilson",21157
"G2002070","1920","Kansas","200","Woodson","2070","Woodson",8984
"G2002090","1920","Kansas","200","Wyandotte","2090","Wyandotte",122218
"G2100010","1920","Kentucky","210","Adair","0010","Adair",17289
"G2100030","1920","Kentucky","210","Allen","0030","Allen",16761
"G2100050","1920","Kentucky","210","Anderson","0050","Anderson",9982
"G2100070","1920","Kentucky","210","Ballard","0070","Ballard",12045
"G2100090","1920","Kentucky","210","Barren","0090","Barren",25356
"G2100110","1920","Kentucky","210","Bath","0110","Bath",11996
"G2100130","1920","Kentucky","210","Bell","0130","Bell",33988
"G2100150","1920","Kentucky","210","Boone","0150","Boone",9572
"G2100170","1920","Kentucky","210","Bourbon","0170","Bourbon",18418
"G2100190","1920","Kentucky","210","Boyd","0190","Boyd",29281
"G2100210","1920","Kentucky","210","Boyle","0210","Boyle",14998
"G2100230","1920","Kentucky","210","Bracken","0230","Bracken",10210
"G2100250","1920","Kentucky","210","Breathitt","0250","Breathitt",20614
"G2100270","1920","Kentucky","210","Breckinridge","0270","Breckinridge",19652
"G2100290","1920","Kentucky","210","Bullitt","0290","Bullitt",9328
"G2100310","1920","Kentucky","210","Butler","0310","Butler",15197
"G2100330","1920","Kentucky","210","Caldwell","0330","Caldwell",13975
"G2100350","1920","Kentucky","210","Calloway","0350","Calloway",20802
"G2100370","1920","Kentucky","210","Campbell","0370","Campbell",61868
"G2100390","1920","Kentucky","210","Carlisle","0390","Carlisle",8231
"G2100410","1920","Kentucky","210","Carroll","0410","Carroll",8346
"G2100430","1920","Kentucky","210","Carter","0430","Carter",22474
"G2100450","1920","Kentucky","210","Casey","0450","Casey",17213
"G2100470","1920","Kentucky","210","Christian","0470","Christian",35883
"G2100490","1920","Kentucky","210","Clark","0490","Clark",17901
"G2100510","1920","Kentucky","210","Clay","0510","Clay",19795
"G2100530","1920","Kentucky","210","Clinton","0530","Clinton",8589
"G2100550","1920","Kentucky","210","Crittenden","0550","Crittenden",13125
"G2100570","1920","Kentucky","210","Cumberland","0570","Cumberland",10648
"G2100590","1920","Kentucky","210","Daviess","0590","Daviess",40733
"G2100610","1920","Kentucky","210","Edmonson","0610","Edmonson",10894
"G2100630","1920","Kentucky","210","Elliott","0630","Elliott",8887
"G2100650","1920","Kentucky","210","Estill","0650","Estill",15569
"G2100670","1920","Kentucky","210","Fayette","0670","Fayette",54664
"G2100690","1920","Kentucky","210","Fleming","0690","Fleming",15614
"G2100710","1920","Kentucky","210","Floyd","0710","Floyd",27427
"G2100730","1920","Kentucky","210","Franklin","0730","Franklin",19357
"G2100750","1920","Kentucky","210","Fulton","0750","Fulton",15197
"G2100770","1920","Kentucky","210","Gallatin","0770","Gallatin",4664
"G2100790","1920","Kentucky","210","Garrard","0790","Garrard",12503
"G2100810","1920","Kentucky","210","Grant","0810","Grant",10435
"G2100830","1920","Kentucky","210","Graves","0830","Graves",32483
"G2100850","1920","Kentucky","210","Grayson","0850","Grayson",19927
"G2100870","1920","Kentucky","210","Green","0870","Green",11391
"G2100890","1920","Kentucky","210","Greenup","0890","Greenup",20062
"G2100910","1920","Kentucky","210","Hancock","0910","Hancock",6945
"G2100930","1920","Kentucky","210","Hardin","0930","Hardin",24287
"G2100950","1920","Kentucky","210","Harlan","0950","Harlan",31546
"G2100970","1920","Kentucky","210","Harrison","0970","Harrison",15798
"G2100990","1920","Kentucky","210","Hart","0990","Hart",18544
"G2101010","1920","Kentucky","210","Henderson","1010","Henderson",27609
"G2101030","1920","Kentucky","210","Henry","1030","Henry",13411
"G2101050","1920","Kentucky","210","Hickman","1050","Hickman",10244
"G2101070","1920","Kentucky","210","Hopkins","1070","Hopkins",34133
"G2101090","1920","Kentucky","210","Jackson","1090","Jackson",11687
"G2101110","1920","Kentucky","210","Jefferson","1110","Jefferson",286369
"G2101130","1920","Kentucky","210","Jessamine","1130","Jessamine",12205
"G2101150","1920","Kentucky","210","Johnson","1150","Johnson",19622
"G2101170","1920","Kentucky","210","Kenton","1170","Kenton",73453
"G2101190","1920","Kentucky","210","Knott","1190","Knott",11655
"G2101210","1920","Kentucky","210","Knox","1210","Knox",24172
"G2101230","1920","Kentucky","210","Larue","1230","Larue",10004
"G2101250","1920","Kentucky","210","Laurel","1250","Laurel",19814
"G2101270","1920","Kentucky","210","Lawrence","1270","Lawrence",17643
"G2101290","1920","Kentucky","210","Lee","1290","Lee",11918
"G2101310","1920","Kentucky","210","Leslie","1310","Leslie",10097
"G2101330","1920","Kentucky","210","Letcher","1330","Letcher",24467
"G2101350","1920","Kentucky","210","Lewis","1350","Lewis",15829
"G2101370","1920","Kentucky","210","Lincoln","1370","Lincoln",16481
"G2101390","1920","Kentucky","210","Livingston","1390","Livingston",9732
"G2101410","1920","Kentucky","210","Logan","1410","Logan",23633
"G2101430","1920","Kentucky","210","Lyon","1430","Lyon",8795
"G2101450","1920","Kentucky","210","McCracken","1450","Mccracken",37246
"G2101470","1920","Kentucky","210","McCreary","1470","Mccreary",11676
"G2101490","1920","Kentucky","210","McLean","1490","Mclean",12502
"G2101510","1920","Kentucky","210","Madison","1510","Madison",26284
"G2101530","1920","Kentucky","210","Magoffin","1530","Magoffin",13859
"G2101550","1920","Kentucky","210","Marion","1550","Marion",15527
"G2101570","1920","Kentucky","210","Marshall","1570","Marshall",15215
"G2101590","1920","Kentucky","210","Martin","1590","Martin",7654
"G2101610","1920","Kentucky","210","Mason","1610","Mason",17760
"G2101630","1920","Kentucky","210","Meade","1630","Meade",9442
"G2101650","1920","Kentucky","210","Menifee","1650","Menifee",5779
"G2101670","1920","Kentucky","210","Mercer","1670","Mercer",14795
"G2101690","1920","Kentucky","210","Metcalfe","1690","Metcalfe",10075
"G2101710","1920","Kentucky","210","Monroe","1710","Monroe",14214
"G2101730","1920","Kentucky","210","Montgomery","1730","Montgomery",12245
"G2101750","1920","Kentucky","210","Morgan","1750","Morgan",16518
"G2101770","1920","Kentucky","210","Muhlenberg","1770","Muhlenberg",33353
"G2101790","1920","Kentucky","210","Nelson","1790","Nelson",16137
"G2101810","1920","Kentucky","210","Nicholas","1810","Nicholas",9894
"G2101830","1920","Kentucky","210","Ohio","1830","Ohio",26473
"G2101850","1920","Kentucky","210","Oldham","1850","Oldham",7689
"G2101870","1920","Kentucky","210","Owen","1870","Owen",12554
"G2101890","1920","Kentucky","210","Owsley","1890","Owsley",7820
"G2101910","1920","Kentucky","210","Pendleton","1910","Pendleton",11719
"G2101930","1920","Kentucky","210","Perry","1930","Perry",26042
"G2101950","1920","Kentucky","210","Pike","1950","Pike",49477
"G2101970","1920","Kentucky","210","Powell","1970","Powell",6745
"G2101990","1920","Kentucky","210","Pulaski","1990","Pulaski",34010
"G2102010","1920","Kentucky","210","Robertson","2010","Robertson",3871
"G2102030","1920","Kentucky","210","Rockcastle","2030","Rockcastle",15406
"G2102050","1920","Kentucky","210","Rowan","2050","Rowan",9467
"G2102070","1920","Kentucky","210","Russell","2070","Russell",11854
"G2102090","1920","Kentucky","210","Scott","2090","Scott",15318
"G2102110","1920","Kentucky","210","Shelby","2110","Shelby",18532
"G2102130","1920","Kentucky","210","Simpson","2130","Simpson",11150
"G2102150","1920","Kentucky","210","Spencer","2150","Spencer",7785
"G2102170","1920","Kentucky","210","Taylor","2170","Taylor",12236
"G2102190","1920","Kentucky","210","Todd","2190","Todd",15694
"G2102210","1920","Kentucky","210","Trigg","2210","Trigg",14208
"G2102230","1920","Kentucky","210","Trimble","2230","Trimble",6011
"G2102250","1920","Kentucky","210","Union","2250","Union",18040
"G2102270","1920","Kentucky","210","Warren","2270","Warren",30858
"G2102290","1920","Kentucky","210","Washington","2290","Washington",14773
"G2102310","1920","Kentucky","210","Wayne","2310","Wayne",16208
"G2102330","1920","Kentucky","210","Webster","2330","Webster",20762
"G2102350","1920","Kentucky","210","Whitley","2350","Whitley",27749
"G2102370","1920","Kentucky","210","Wolfe","2370","Wolfe",8783
"G2102390","1920","Kentucky","210","Woodford","2390","Woodford",11784
"G2200010","1920","Louisiana","220","Acadia","0010","Acadia",34820
"G2200030","1920","Louisiana","220","Allen","0030","Allen",18382
"G2200050","1920","Louisiana","220","Ascension","0050","Ascension",22155
"G2200070","1920","Louisiana","220","Assumption","0070","Assumption",17912
"G2200090","1920","Louisiana","220","Avoyelles","0090","Avoyelles",35300
"G2200110","1920","Louisiana","220","Beauregard","0110","Beauregard",20767
"G2200130","1920","Louisiana","220","Bienville","0130","Bienville",20977
"G2200150","1920","Louisiana","220","Bossier","0150","Bossier",22266
"G2200170","1920","Louisiana","220","Caddo","0170","Caddo",83265
"G2200190","1920","Louisiana","220","Calcasieu","0190","Calcasieu",32807
"G2200210","1920","Louisiana","220","Caldwell","0210","Caldwell",9514
"G2200230","1920","Louisiana","220","Cameron","0230","Cameron",3952
"G2200250","1920","Louisiana","220","Catahoula","0250","Catahoula",11074
"G2200270","1920","Louisiana","220","Claiborne","0270","Claiborne",27885
"G2200290","1920","Louisiana","220","Concordia","0290","Concordia",12466
"G2200310","1920","Louisiana","220","De Soto","0310","De Soto",29376
"G2200330","1920","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",44513
"G2200350","1920","Louisiana","220","East Carroll","0350","East Carroll",11231
"G2200370","1920","Louisiana","220","East Feliciana","0370","East Feliciana",17487
"G2200390","1920","Louisiana","220","Evangeline","0390","Evangeline",23485
"G2200410","1920","Louisiana","220","Franklin","0410","Franklin",24100
"G2200430","1920","Louisiana","220","Grant","0430","Grant",14403
"G2200450","1920","Louisiana","220","Iberia","0450","Iberia",26855
"G2200470","1920","Louisiana","220","Iberville","0470","Iberville",26806
"G2200490","1920","Louisiana","220","Jackson","0490","Jackson",14486
"G2200510","1920","Louisiana","220","Jefferson","0510","Jefferson",21563
"G2200530","1920","Louisiana","220","Jefferson Davis","0530","Jefferson Davis",18999
"G2200550","1920","Louisiana","220","Lafayette","0550","Lafayette",30841
"G2200570","1920","Louisiana","220","Lafourche","0570","Lafourche",30344
"G2200590","1920","Louisiana","220","La Salle","0590","La Salle",9856
"G2200610","1920","Louisiana","220","Lincoln","0610","Lincoln",16962
"G2200630","1920","Louisiana","220","Livingston","0630","Livingston",11643
"G2200650","1920","Louisiana","220","Madison","0650","Madison",10829
"G2200670","1920","Louisiana","220","Morehouse","0670","Morehouse",19311
"G2200690","1920","Louisiana","220","Natchitoches","0690","Natchitoches",38602
"G2200710","1920","Louisiana","220","Orleans","0710","Orleans",387219
"G2200730","1920","Louisiana","220","Ouachita","0730","Ouachita",30319
"G2200750","1920","Louisiana","220","Plaquemines","0750","Plaquemines",10194
"G2200770","1920","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",24697
"G2200790","1920","Louisiana","220","Rapides","0790","Rapides",59444
"G2200810","1920","Louisiana","220","Red River","0810","Red River",15301
"G2200830","1920","Louisiana","220","Richland","0830","Richland",20860
"G2200850","1920","Louisiana","220","Sabine","0850","Sabine",20713
"G2200870","1920","Louisiana","220","St Bernard","0870","St Bernard",4968
"G2200890","1920","Louisiana","220","St Charles","0890","St Charles",8586
"G2200910","1920","Louisiana","220","St Helena","0910","St Helena",8427
"G2200930","1920","Louisiana","220","St James","0930","St James",21228
"G2200950","1920","Louisiana","220","St John The Baptist","0950","St John The Baptist",11896
"G2200970","1920","Louisiana","220","St Landry","0970","St Landry",51697
"G2200990","1920","Louisiana","220","St Martin","0990","St Martin",21990
"G2201010","1920","Louisiana","220","St Mary","1010","St Mary",30754
"G2201030","1920","Louisiana","220","St Tammany","1030","St Tammany",20645
"G2201050","1920","Louisiana","220","Tangipahoa","1050","Tangipahoa",31440
"G2201070","1920","Louisiana","220","Tensas","1070","Tensas",12085
"G2201090","1920","Louisiana","220","Terrebonne","1090","Terrebonne",26974
"G2201110","1920","Louisiana","220","Union","1110","Union",19621
"G2201130","1920","Louisiana","220","Vermilion","1130","Vermilion",26482
"G2201150","1920","Louisiana","220","Vernon","1150","Vernon",20493
"G2201170","1920","Louisiana","220","Washington","1170","Washington",24164
"G2201190","1920","Louisiana","220","Webster","1190","Webster",24707
"G2201210","1920","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",11092
"G2201230","1920","Louisiana","220","West Carroll","1230","West Carroll",8857
"G2201250","1920","Louisiana","220","West Feliciana","1250","West Feliciana",12303
"G2201270","1920","Louisiana","220","Winn","1270","Winn",16119
"G2300010","1920","Maine","230","Androscoggin","0010","Androscoggin",65796
"G2300030","1920","Maine","230","Aroostook","0030","Aroostook",81728
"G2300050","1920","Maine","230","Cumberland","0050","Cumberland",124376
"G2300070","1920","Maine","230","Franklin","0070","Franklin",19825
"G2300090","1920","Maine","230","Hancock","0090","Hancock",30361
"G2300110","1920","Maine","230","Kennebec","0110","Kennebec",63844
"G2300130","1920","Maine","230","Knox","0130","Knox",26245
"G2300150","1920","Maine","230","Lincoln","0150","Lincoln",15976
"G2300170","1920","Maine","230","Oxford","0170","Oxford",37700
"G2300190","1920","Maine","230","Penobscot","0190","Penobscot",87684
"G2300210","1920","Maine","230","Piscataquis","0210","Piscataquis",20554
"G2300230","1920","Maine","230","Sagadahoc","0230","Sagadahoc",23021
"G2300250","1920","Maine","230","Somerset","0250","Somerset",37171
"G2300270","1920","Maine","230","Waldo","0270","Waldo",21328
"G2300290","1920","Maine","230","Washington","0290","Washington",41709
"G2300310","1920","Maine","230","York","0310","York",70696
"G2400010","1920","Maryland","240","Allegany","0010","Allegany",69938
"G2400030","1920","Maryland","240","Anne Arundel","0030","Anne Arundel",43408
"G2400050","1920","Maryland","240","Baltimore","0050","Baltimore",74817
"G2400090","1920","Maryland","240","Calvert","0090","Calvert",9744
"G2400110","1920","Maryland","240","Caroline","0110","Caroline",18652
"G2400130","1920","Maryland","240","Carroll","0130","Carroll",34245
"G2400150","1920","Maryland","240","Cecil","0150","Cecil",23612
"G2400170","1920","Maryland","240","Charles","0170","Charles",17705
"G2400190","1920","Maryland","240","Dorchester","0190","Dorchester",27895
"G2400210","1920","Maryland","240","Frederick","0210","Frederick",52541
"G2400230","1920","Maryland","240","Garrett","0230","Garrett",19678
"G2400250","1920","Maryland","240","Harford","0250","Harford",29291
"G2400270","1920","Maryland","240","Howard","0270","Howard",15826
"G2400290","1920","Maryland","240","Kent","0290","Kent",15026
"G2400310","1920","Maryland","240","Montgomery","0310","Montgomery",34921
"G2400330","1920","Maryland","240","Prince Georges","0330","Prince Georges",43347
"G2400350","1920","Maryland","240","Queen Anne's","0350","Queen Anne's",16001
"G2400370","1920","Maryland","240","St Mary's","0370","St Mary's",16112
"G2400390","1920","Maryland","240","Somerset","0390","Somerset",24602
"G2400410","1920","Maryland","240","Talbot","0410","Talbot",18306
"G2400430","1920","Maryland","240","Washington","0430","Washington",59694
