GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AUM001,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",13330,8418,8710,7292,0,0,0,0,0,0,116,1,2
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",8941,3263,3675,2845,0,0,0,0,0,0,0,38,0
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",34898,21442,20884,17165,0,0,0,0,0,0,2,4,1
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",13824,4744,3600,2408,0,0,0,0,0,0,0,0,0
"G0100090","1890","Alabama","010","Blount","0090","Blount",21927,1770,1159,682,0,0,0,0,0,0,2,0,0
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",27063,21005,22119,17251,0,0,0,0,0,0,3,3,0
"G0100130","1890","Alabama","010","Butler","0130","Butler",21641,10315,8965,6391,0,0,0,0,0,0,0,0,0
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",33835,9879,5457,3892,3,0,0,0,0,0,6,0,0
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",26319,13858,12075,8588,0,0,0,0,0,0,1,1,0
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",20459,2803,2690,1480,0,0,0,0,0,0,0,0,0
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",14549,3066,2142,1137,0,0,0,0,0,0,0,0,0
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",17526,9313,8341,6872,0,0,0,0,0,0,4,0,2
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",22624,12939,10086,7565,0,0,0,0,0,0,0,2,0
"G0100270","1890","Alabama","010","Clay","0270","Clay",15765,1704,1068,737,0,0,0,0,0,0,0,0,0
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",13218,791,668,576,0,0,0,0,0,0,0,0,0
"G0100310","1890","Alabama","010","Coffee","0310","Coffee",12170,1933,1288,1020,0,0,0,0,0,0,0,0,0
"G0100330","1890","Alabama","010","Colbert","0330","Colbert",20189,7828,6950,4639,0,0,0,0,0,0,0,0,0
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh",14594,6606,6380,4901,0,0,0,1,0,0,0,1,6
"G0100370","1890","Alabama","010","Coosa","0370","Coosa",15906,5354,5059,3394,0,0,0,0,0,0,0,4,7
"G0100390","1890","Alabama","010","Covington","0390","Covington",7536,841,671,599,0,0,0,0,0,0,0,0,0
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw",15425,3679,2608,2206,0,0,0,0,0,0,1,0,0
"G0100430","1890","Alabama","010","Cullman","0430","Cullman",13439,38,43,0,0,0,0,0,0,0,0,0,0
"G0100450","1890","Alabama","010","Dale","0450","Dale",17225,3358,2122,1797,0,0,0,0,0,0,0,2,0
"G0100470","1890","Alabama","010","Dallas","0470","Dallas",49350,41329,40007,32152,2,0,0,0,0,0,3,1,1
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb",21106,1204,682,470,2,0,0,0,0,0,3,0,0
"G0100510","1890","Alabama","010","Elmore","0510","Elmore",21732,10288,8755,6730,1,0,0,0,0,0,0,0,0
"G0100530","1890","Alabama","010","Escambia","0530","Escambia",8666,2650,1590,951,0,0,0,0,0,0,173,23,43
"G0100550","1890","Alabama","010","Etowah","0550","Etowah",21926,3755,2502,1708,0,0,0,0,0,0,0,0,0
