GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A30001,A30002,A30003,A30004,A5A001
"G0450095","1910","Arizona Territory","045","Graham","0095","Graham",13353,9938,59,53,23291
"G0450135","1910","Arizona Territory","045","Maricopa","0135","Maricopa",17050,13546,228,241,30596
"G0450155","1910","Arizona Territory","045","Mohave","0155","Mohave",2189,979,8,2,3168
"G0450175","1910","Arizona Territory","045","Navajo","0175","Navajo",3379,2251,31,7,5630
"G0450195","1910","Arizona Territory","045","Pima","0195","Pima",9993,8709,148,147,18702
"G0450215","1910","Arizona Territory","045","Pinal","0215","Pinal",3678,2141,42,6,5819
"G0450235","1910","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",3449,3221,19,15,6670
"G0450255","1910","Arizona Territory","045","Yavapai","0255","Yavapai",9787,5283,79,69,15070
"G0450275","1910","Arizona Territory","045","Yuma","0275","Yuma",4276,2485,66,42,6761
"G0500010","1910","Arkansas","050","Arkansas","0010","Arkansas",6331,5490,2181,2088,11821
"G0500030","1910","Arkansas","050","Ashley","0030","Ashley",6291,5698,6742,6534,11989
"G0500050","1910","Arkansas","050","Baxter","0050","Baxter",5350,5032,3,4,10382
"G0500070","1910","Arkansas","050","Benton","0070","Benton",16568,16544,49,61,33112
"G0500090","1910","Arkansas","050","Boone","0090","Boone",7171,7140,2,5,14311
"G0500110","1910","Arkansas","050","Bradley","0110","Bradley",5140,4737,2276,2365,9877
"G0500130","1910","Arkansas","050","Calhoun","0130","Calhoun",3454,3020,1735,1678,6474
"G0500150","1910","Arkansas","050","Carroll","0150","Carroll",8496,8265,32,34,16761
"G0500170","1910","Arkansas","050","Chicot","0170","Chicot",2365,1923,8885,8797,4288
"G0500190","1910","Arkansas","050","Clark","0190","Clark",8271,8048,3704,3663,16319
"G0500210","1910","Arkansas","050","Clay","0210","Clay",12441,11239,6,4,23680
"G0500230","1910","Arkansas","050","Cleburne","0230","Cleburne",6203,5693,6,1,11896
"G0500250","1910","Arkansas","050","Cleveland","0250","Cleveland",4713,4420,2261,2073,9133
"G0500270","1910","Arkansas","050","Columbia","0270","Columbia",6660,6287,5325,5544,12947
"G0500290","1910","Arkansas","050","Conway","0290","Conway",7362,7069,4102,4196,14431
"G0500310","1910","Arkansas","050","Craighead","0310","Craighead",13745,12551,627,701,26296
"G0500330","1910","Arkansas","050","Crawford","0330","Crawford",11048,10830,1067,996,21878
"G0500350","1910","Arkansas","050","Crittenden","0350","Crittenden",1939,1503,9809,9191,3442
"G0500370","1910","Arkansas","050","Cross","0370","Cross",4223,3692,3129,2998,7915
"G0500390","1910","Arkansas","050","Dallas","0390","Dallas",4147,3817,2272,2385,7964
"G0500410","1910","Arkansas","050","Desha","0410","Desha",1795,1346,6245,5884,3141
"G0500430","1910","Arkansas","050","Drew","0430","Drew",5258,4912,5848,5941,10170
"G0500450","1910","Arkansas","050","Faulkner","0450","Faulkner",9790,9456,2242,2218,19246
"G0500470","1910","Arkansas","050","Franklin","0470","Franklin",10266,9990,181,201,20256
"G0500490","1910","Arkansas","050","Fulton","0490","Fulton",6215,5934,26,18,12149
"G0500510","1910","Arkansas","050","Garland","0510","Garland",11811,10646,2199,2466,22457
"G0500530","1910","Arkansas","050","Grant","0530","Grant",4414,4017,530,464,8431
"G0500550","1910","Arkansas","050","Greene","0550","Greene",12286,11526,17,23,23812
"G0500570","1910","Arkansas","050","Hempstead","0570","Hempstead",7336,6848,6984,7116,14184
"G0500590","1910","Arkansas","050","Hot Spring","0590","Hot Spring",6732,6329,1041,919,13061
"G0500610","1910","Arkansas","050","Howard","0610","Howard",6864,6536,1770,1728,13400
"G0500630","1910","Arkansas","050","Independence","0630","Independence",11924,11588,608,656,23512
"G0500650","1910","Arkansas","050","Izard","0650","Izard",7339,6980,121,121,14319
"G0500670","1910","Arkansas","050","Jackson","0670","Jackson",9254,8044,3070,3133,17298
"G0500690","1910","Arkansas","050","Jefferson","0690","Jefferson",7913,7125,18731,18961,15038
"G0500710","1910","Arkansas","050","Johnson","0710","Johnson",9840,9341,258,259,19181
"G0500730","1910","Arkansas","050","Lafayette","0730","Lafayette",3483,3076,3637,3544,6559
"G0500750","1910","Arkansas","050","Lawrence","0750","Lawrence",10032,9219,382,368,19251
"G0500770","1910","Arkansas","050","Lee","0770","Lee",2846,2383,9861,9142,5229
"G0500790","1910","Arkansas","050","Lincoln","0790","Lincoln",2660,2491,5253,4714,5151
"G0500810","1910","Arkansas","050","Little River","0810","Little River",4187,3703,2886,2812,7890
"G0500830","1910","Arkansas","050","Logan","0830","Logan",13111,12598,320,320,25709
"G0500850","1910","Arkansas","050","Lonoke","0850","Lonoke",8746,7961,5693,5575,16707
"G0500870","1910","Arkansas","050","Madison","0870","Madison",8284,7727,23,22,16011
"G0500890","1910","Arkansas","050","Marion","0890","Marion",5253,4950,0,0,10203
"G0500910","1910","Arkansas","050","Miller","0910","Miller",6432,5951,3414,3749,12383
"G0500930","1910","Arkansas","050","Mississippi","0930","Mississippi",9352,7636,7114,6358,16988
"G0500950","1910","Arkansas","050","Monroe","0950","Monroe",3971,3410,6408,6118,7381
"G0500970","1910","Arkansas","050","Montgomery","0970","Montgomery",6309,5832,162,142,12141
"G0500990","1910","Arkansas","050","Nevada","0990","Nevada",6457,6097,3340,3450,12554
"G0501010","1910","Arkansas","050","Newton","1010","Newton",5406,5196,7,3,10602
"G0501030","1910","Arkansas","050","Ouachita","1030","Ouachita",4853,4588,5992,6341,9441
"G0501050","1910","Arkansas","050","Perry","1050","Perry",4517,3975,465,445,8492
"G0501070","1910","Arkansas","050","Phillips","1070","Phillips",3896,3280,13497,12857,7176
"G0501090","1910","Arkansas","050","Pike","1090","Pike",6020,5624,489,429,11644
"G0501110","1910","Arkansas","050","Poinsett","1110","Poinsett",5900,4770,1147,974,10670
"G0501130","1910","Arkansas","050","Polk","1130","Polk",8788,8382,24,22,17170
"G0501150","1910","Arkansas","050","Pope","1150","Pope",11564,11096,913,954,22660
"G0501170","1910","Arkansas","050","Prairie","1170","Prairie",4943,4429,2242,2239,9372
"G0501190","1910","Arkansas","050","Pulaski","1190","Pulaski",26738,24529,17767,17695,51267
"G0501210","1910","Arkansas","050","Randolph","1210","Randolph",9584,8887,260,255,18471
"G0501230","1910","Arkansas","050","St Francis","1230","St Francis",3763,3277,7835,7673,7040
"G0501250","1910","Arkansas","050","Saline","1250","Saline",7799,7017,967,866,14816
"G0501270","1910","Arkansas","050","Scott","1270","Scott",7479,6797,11,11,14276
"G0501290","1910","Arkansas","050","Searcy","1290","Searcy",7608,7113,71,33,14721
"G0501310","1910","Arkansas","050","Sebastian","1310","Sebastian",24146,22710,2651,2759,46856
"G0501330","1910","Arkansas","050","Sevier","1330","Sevier",7462,6855,1125,1171,14317
"G0501350","1910","Arkansas","050","Sharp","1350","Sharp",5997,5608,42,41,11605
"G0501370","1910","Arkansas","050","Stone","1370","Stone",4593,4259,46,48,8852
"G0501390","1910","Arkansas","050","Union","1390","Union",8852,8118,6894,6853,16970
"G0501410","1910","Arkansas","050","Van Buren","1410","Van Buren",6846,6443,105,115,13289
"G0501430","1910","Arkansas","050","Washington","1430","Washington",16729,16543,295,319,33272
"G0501450","1910","Arkansas","050","White","1450","White",13700,12711,1117,1045,26411
"G0501470","1910","Arkansas","050","Woodruff","1470","Woodruff",4468,3876,5901,5804,8344
"G0501490","1910","Arkansas","050","Yell","1490","Yell",12691,11873,883,876,24564
"G0600010","1910","California","060","Alameda","0010","Alameda",118660,115860,1896,1738,234520
"G0600030","1910","California","060","Alpine","0030","Alpine",123,90,0,0,213
"G0600050","1910","California","060","Amador","0050","Amador",5204,3634,1,1,8838
"G0600070","1910","California","060","Butte","0070","Butte",14698,10986,66,56,25684
"G0600090","1910","California","060","Calaveras","0090","Calaveras",5318,3623,8,9,8941
"G0600110","1910","California","060","Colusa","0110","Colusa",4195,2960,31,19,7155
"G0600130","1910","California","060","Contra Costa","0130","Contra Costa",17819,12092,39,28,29911
"G0600150","1910","California","060","Del Norte","0150","Del Norte",1240,838,0,1,2078
"G0600170","1910","California","060","El Dorado","0170","El Dorado",4203,2995,22,6,7198
"G0600190","1910","California","060","Fresno","0190","Fresno",39380,31835,228,246,71215
"G0600210","1910","California","060","Glenn","0210","Glenn",4194,2721,9,6,6915
"G0600230","1910","California","060","Humboldt","0230","Humboldt",18792,13361,14,26,32153
"G0600250","1910","California","060","Imperial","0250","Imperial",8241,4341,46,19,12582
"G0600270","1910","California","060","Inyo","0270","Inyo",4256,1764,13,8,6020
"G0600290","1910","California","060","Kern","0290","Kern",24117,11890,185,184,36007
"G0600310","1910","California","060","Kings","0310","Kings",8523,6843,89,83,15366
"G0600330","1910","California","060","Lake","0330","Lake",2685,2370,6,5,5055
"G0600350","1910","California","060","Lassen","0350","Lassen",2614,1758,0,1,4372
"G0600370","1910","California","060","Los Angeles","0370","Los Angeles",244511,238967,4555,4869,483478
"G0600390","1910","California","060","Madera","0390","Madera",4881,2769,40,16,7650
"G0600410","1910","California","060","Marin","0410","Marin",14539,9647,117,28,24186
"G0600430","1910","California","060","Mariposa","0430","Mariposa",2385,1289,9,9,3674
"G0600450","1910","California","060","Mendocino","0450","Mendocino",13560,8750,18,13,22310
"G0600470","1910","California","060","Merced","0470","Merced",8755,5942,41,34,14697
"G0600490","1910","California","060","Modoc","0490","Modoc",3207,2422,3,1,5629
"G0600510","1910","California","060","Mono","0510","Mono",1198,423,0,0,1621
"G0600530","1910","California","060","Monterey","0530","Monterey",12417,9718,57,50,22135
"G0600550","1910","California","060","Napa","0550","Napa",10830,8607,25,23,19437
"G0600570","1910","California","060","Nevada","0570","Nevada",8198,6360,11,3,14558
"G0600590","1910","California","060","Orange","0590","Orange",17368,16221,45,52,33589
"G0600610","1910","California","060","Placer","0610","Placer",10176,6396,40,15,16572
"G0600630","1910","California","060","Plumas","0630","Plumas",3023,1606,2,3,4629
"G0600650","1910","California","060","Riverside","0650","Riverside",17120,14493,242,276,31613
"G0600670","1910","California","060","Sacramento","0670","Sacramento",34443,26597,379,252,61040
"G0600690","1910","California","060","San Benito","0690","San Benito",4283,3360,13,13,7643
"G0600710","1910","California","060","San Bernardino","0710","San Bernardino",29586,24567,368,274,54153
"G0600730","1910","California","060","San Diego","0730","San Diego",30916,27598,356,328,58514
"G0600750","1910","California","060","San Francisco","0750","San Francisco",222829,177185,1025,617,400014
"G0600770","1910","California","060","San Joaquin","0770","San Joaquin",26121,20218,164,143,46339
"G0600790","1910","California","060","San Luis Obispo","0790","San Luis Obispo",10379,8314,48,29,18693
"G0600810","1910","California","060","San Mateo","0810","San Mateo",14544,11277,33,34,25821
"G0600830","1910","California","060","Santa Barbara","0830","Santa Barbara",13926,12356,53,55,26282
"G0600850","1910","California","060","Santa Clara","0850","Santa Clara",40959,38890,121,141,79849
