GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A30001,A30002,A30003,A30004,A5A001
"G1901530","1910","Iowa","190","Polk","1530","Polk",54459,52363,1845,1746,106822
"G1901550","1910","Iowa","190","Pottawattamie","1550","Pottawattamie",28837,26524,222,131,55361
"G1901570","1910","Iowa","190","Poweshiek","1570","Poweshiek",10089,9444,32,23,19533
"G1901590","1910","Iowa","190","Ringgold","1590","Ringgold",6641,6262,0,1,12903
"G1901610","1910","Iowa","190","Sac","1610","Sac",8530,7992,30,0,16522
"G1901630","1910","Iowa","190","Scott","1630","Scott",30476,28944,318,254,59420
"G1901650","1910","Iowa","190","Shelby","1650","Shelby",8714,7831,3,4,16545
"G1901670","1910","Iowa","190","Sioux","1670","Sioux",13454,11792,0,2,25246
"G1901690","1910","Iowa","190","Story","1690","Story",12301,11771,4,4,24072
"G1901710","1910","Iowa","190","Tama","1710","Tama",11303,10522,20,13,21825
"G1901730","1910","Iowa","190","Taylor","1730","Taylor",8263,7988,30,31,16251
"G1901750","1910","Iowa","190","Union","1750","Union",8297,8249,38,32,16546
"G1901770","1910","Iowa","190","Van Buren","1770","Van Buren",7539,7421,26,34,14960
"G1901790","1910","Iowa","190","Wapello","1790","Wapello",18874,18243,321,303,37117
"G1901810","1910","Iowa","190","Warren","1810","Warren",9075,9071,25,22,18146
"G1901830","1910","Iowa","190","Washington","1830","Washington",10075,9745,56,48,19820
"G1901850","1910","Iowa","190","Wayne","1850","Wayne",8177,7990,1,8,16167
"G1901870","1910","Iowa","190","Webster","1870","Webster",18238,16300,53,31,34538
"G1901890","1910","Iowa","190","Winnebago","1890","Winnebago",6124,5786,1,1,11910
"G1901910","1910","Iowa","190","Winneshiek","1910","Winneshiek",10909,10802,9,9,21711
"G1901930","1910","Iowa","190","Woodbury","1930","Woodbury",36027,31262,174,143,67289
"G1901950","1910","Iowa","190","Worth","1950","Worth",5171,4762,9,7,9933
"G1901970","1910","Iowa","190","Wright","1970","Wright",9382,8558,2,2,17940
"G2000010","1910","Kansas","200","Allen","0010","Allen",13635,12951,562,485,26586
"G2000030","1910","Kansas","200","Anderson","0030","Anderson",7167,6501,76,85,13668
"G2000050","1910","Kansas","200","Atchison","0050","Atchison",12889,12226,1544,1448,25115
"G2000070","1910","Kansas","200","Barber","0070","Barber",5357,4486,44,28,9843
"G2000090","1910","Kansas","200","Barton","0090","Barton",9242,8242,219,169,17484
"G2000110","1910","Kansas","200","Bourbon","0110","Bourbon",11604,11188,605,610,22792
"G2000130","1910","Kansas","200","Brown","0130","Brown",10798,9649,236,221,20447
"G2000150","1910","Kansas","200","Butler","0150","Butler",12135,10775,80,69,22910
"G2000170","1910","Kansas","200","Chase","0170","Chase",3873,3551,56,47,7424
"G2000190","1910","Kansas","200","Chautauqua","0190","Chautauqua",5869,5419,58,60,11288
"G2000210","1910","Kansas","200","Cherokee","0210","Cherokee",19251,17662,574,607,36913
"G2000230","1910","Kansas","200","Cheyenne","0230","Cheyenne",2310,1938,0,0,4248
"G2000250","1910","Kansas","200","Clark","0250","Clark",2246,1826,6,15,4072
"G2000270","1910","Kansas","200","Clay","0270","Clay",7834,7306,52,59,15140
"G2000290","1910","Kansas","200","Cloud","0290","Cloud",9388,8941,31,27,18329
"G2000310","1910","Kansas","200","Coffey","0310","Coffey",7755,7373,37,38,15128
"G2000330","1910","Kansas","200","Comanche","0330","Comanche",1770,1511,0,0,3281
"G2000350","1910","Kansas","200","Cowley","0350","Cowley",16109,15076,302,269,31185
"G2000370","1910","Kansas","200","Crawford","0370","Crawford",25806,23797,797,766,49603
"G2000390","1910","Kansas","200","Decatur","0390","Decatur",4703,4256,5,12,8959
"G2000410","1910","Kansas","200","Dickinson","0410","Dickinson",12585,11614,81,81,24199
"G2000430","1910","Kansas","200","Doniphan","0430","Doniphan",7270,6448,358,325,13718
"G2000450","1910","Kansas","200","Douglas","0450","Douglas",10794,10978,1097,1184,21772
"G2000470","1910","Kansas","200","Edwards","0470","Edwards",3765,3218,27,23,6983
"G2000490","1910","Kansas","200","Elk","0490","Elk",5215,4895,2,4,10110
"G2000510","1910","Kansas","200","Ellis","0510","Ellis",6338,5763,38,31,12101
"G2000530","1910","Kansas","200","Ellsworth","0530","Ellsworth",5498,4833,68,45,10331
"G2000550","1910","Kansas","200","Finney","0550","Finney",3567,3151,98,91,6718
"G2000570","1910","Kansas","200","Ford","0570","Ford",6109,5189,54,39,11298
"G2000590","1910","Kansas","200","Franklin","0590","Franklin",10340,10001,255,235,20341
"G2000610","1910","Kansas","200","Geary","0610","Geary",7141,4942,339,248,12083
"G2000630","1910","Kansas","200","Gove","0630","Gove",3249,2740,31,24,5989
"G2000650","1910","Kansas","200","Graham","0650","Graham",4307,3798,304,291,8105
"G2000670","1910","Kansas","200","Grant","0670","Grant",595,471,15,6,1066
"G2000690","1910","Kansas","200","Gray","0690","Gray",1672,1435,10,4,3107
"G2000710","1910","Kansas","200","Greeley","0710","Greeley",726,607,2,0,1333
"G2000730","1910","Kansas","200","Greenwood","0730","Greenwood",8304,7724,15,17,16028
"G2000750","1910","Kansas","200","Hamilton","0750","Hamilton",1799,1536,18,7,3335
"G2000770","1910","Kansas","200","Harper","0770","Harper",7905,6806,20,17,14711
"G2000790","1910","Kansas","200","Harvey","0790","Harvey",9832,8936,216,199,18768
"G2000810","1910","Kansas","200","Haskell","0810","Haskell",557,427,6,3,984
"G2000830","1910","Kansas","200","Hodgeman","0830","Hodgeman",1582,1281,33,34,2863
"G2000850","1910","Kansas","200","Jackson","0850","Jackson",8306,7668,72,81,15974
"G2000870","1910","Kansas","200","Jefferson","0870","Jefferson",7980,7393,254,197,15373
"G2000890","1910","Kansas","200","Jewell","0890","Jewell",9497,8651,0,0,18148
"G2000910","1910","Kansas","200","Johnson","0910","Johnson",9160,8517,298,313,17677
"G2000930","1910","Kansas","200","Kearny","0930","Kearny",1814,1386,1,0,3200
"G2000950","1910","Kansas","200","Kingman","0950","Kingman",7041,6311,19,13,13352
"G2000970","1910","Kansas","200","Kiowa","0970","Kiowa",3371,2789,3,5,6160
"G2000990","1910","Kansas","200","Labette","0990","Labette",15145,14480,899,857,29625
"G2001010","1910","Kansas","200","Lane","1010","Lane",1440,1162,0,1,2602
"G2001030","1910","Kansas","200","Leavenworth","1030","Leavenworth",21470,15572,2385,1686,37042
"G2001050","1910","Kansas","200","Lincoln","1050","Lincoln",5256,4859,13,14,10115
"G2001070","1910","Kansas","200","Linn","1070","Linn",7385,7023,174,149,14408
"G2001090","1910","Kansas","200","Logan","1090","Logan",2165,1777,145,153,3942
"G2001110","1910","Kansas","200","Lyon","1110","Lyon",12227,11911,381,405,24138
"G2001130","1910","Kansas","200","McPherson","1130","Mcpherson",11212,10306,1,2,21518
"G2001150","1910","Kansas","200","Marion","1150","Marion",11561,10722,75,57,22283
"G2001170","1910","Kansas","200","Marshall","1170","Marshall",12297,11339,122,122,23636
"G2001190","1910","Kansas","200","Meade","1190","Meade",2712,2311,17,15,5023
"G2001210","1910","Kansas","200","Miami","1210","Miami",9891,9264,462,411,19155
"G2001230","1910","Kansas","200","Mitchell","1230","Mitchell",7216,6827,4,42,14043
"G2001250","1910","Kansas","200","Montgomery","1250","Montgomery",24334,22034,1523,1443,46368
"G2001270","1910","Kansas","200","Morris","1270","Morris",6367,5713,170,147,12080
"G2001290","1910","Kansas","200","Morton","1290","Morton",748,565,10,10,1313
"G2001310","1910","Kansas","200","Nemaha","1310","Nemaha",9692,9216,83,81,18908
"G2001330","1910","Kansas","200","Neosho","1330","Neosho",12017,11359,212,164,23376
"G2001350","1910","Kansas","200","Ness","1350","Ness",3129,2754,0,0,5883
"G2001370","1910","Kansas","200","Norton","1370","Norton",5977,5609,15,13,11586
"G2001390","1910","Kansas","200","Osage","1390","Osage",10153,9390,191,171,19543
"G2001410","1910","Kansas","200","Osborne","1410","Osborne",6637,6121,42,27,12758
"G2001430","1910","Kansas","200","Ottawa","1430","Ottawa",6102,5667,24,18,11769
"G2001450","1910","Kansas","200","Pawnee","1450","Pawnee",4715,4063,41,40,8778
"G2001470","1910","Kansas","200","Phillips","1470","Phillips",7344,6739,36,31,14083
"G2001490","1910","Kansas","200","Pottawatomie","1490","Pottawatomie",9087,8283,73,59,17370
"G2001510","1910","Kansas","200","Pratt","1510","Pratt",5792,5146,112,106,10938
"G2001530","1910","Kansas","200","Rawlins","1530","Rawlins",3375,3005,0,0,6380
"G2001550","1910","Kansas","200","Reno","1550","Reno",19522,17421,503,401,36943
"G2001570","1910","Kansas","200","Republic","1570","Republic",9211,8228,4,4,17439
"G2001590","1910","Kansas","200","Rice","1590","Rice",7855,7119,62,70,14974
"G2001610","1910","Kansas","200","Riley","1610","Riley",7996,7476,160,151,15472
"G2001630","1910","Kansas","200","Rooks","1630","Rooks",5867,5336,41,38,11203
"G2001650","1910","Kansas","200","Rush","1650","Rush",4149,3663,7,7,7812
"G2001670","1910","Kansas","200","Russell","1670","Russell",5619,5127,32,22,10746
"G2001690","1910","Kansas","200","Saline","1690","Saline",10266,9554,271,238,19820
"G2001710","1910","Kansas","200","Scott","1710","Scott",1704,1340,2,0,3044
"G2001730","1910","Kansas","200","Sedgwick","1730","Sedgwick",36648,33765,1439,1213,70413
"G2001750","1910","Kansas","200","Seward","1750","Seward",2201,1881,1,1,4082
"G2001770","1910","Kansas","200","Shawnee","1770","Shawnee",28484,27648,2807,2915,56132
"G2001790","1910","Kansas","200","Sheridan","1790","Sheridan",2994,2628,17,12,5622
"G2001810","1910","Kansas","200","Sherman","1810","Sherman",2480,2053,6,10,4533
"G2001830","1910","Kansas","200","Smith","1830","Smith",8063,7297,3,2,15360
"G2001850","1910","Kansas","200","Stafford","1850","Stafford",6640,5743,66,61,12383
"G2001870","1910","Kansas","200","Stanton","1870","Stanton",609,423,1,1,1032
"G2001890","1910","Kansas","200","Stevens","1890","Stevens",1284,1088,51,30,2372
"G2001910","1910","Kansas","200","Sumner","1910","Sumner",16342,13976,177,151,30318
"G2001930","1910","Kansas","200","Thomas","1930","Thomas",2983,2465,2,5,5448
"G2001950","1910","Kansas","200","Trego","1950","Trego",2934,2438,15,11,5372
"G2001970","1910","Kansas","200","Wabaunsee","1970","Wabaunsee",6332,5677,396,312,12009
"G2001990","1910","Kansas","200","Wallace","1990","Wallace",1524,1199,21,15,2723
"G2002010","1910","Kansas","200","Washington","2010","Washington",10571,9650,4,4,20221
"G2002030","1910","Kansas","200","Wichita","2030","Wichita",1116,887,2,1,2003
"G2002050","1910","Kansas","200","Wilson","2050","Wilson",10319,9406,53,32,19725
"G2002070","1910","Kansas","200","Woodson","2070","Woodson",4827,4599,12,12,9426
"G2002090","1910","Kansas","200","Wyandotte","2090","Wyandotte",46391,42429,5581,5591,88820
"G2100010","1910","Kentucky","210","Adair","0010","Adair",7581,7447,704,771,15028
"G2100030","1910","Kentucky","210","Allen","0030","Allen",7073,6899,452,458,13972
"G2100050","1910","Kentucky","210","Anderson","0050","Anderson",4828,4584,377,357,9412
"G2100070","1910","Kentucky","210","Ballard","0070","Ballard",5880,5225,837,748,11105
"G2100090","1910","Kentucky","210","Barren","0090","Barren",11014,10689,1813,1777,21703
"G2100110","1910","Kentucky","210","Bath","0110","Bath",6534,6118,679,657,12652
"G2100130","1910","Kentucky","210","Bell","0130","Bell",13459,12068,1652,1268,25527
"G2100150","1910","Kentucky","210","Boone","0150","Boone",4607,4335,248,230,8942
"G2100170","1910","Kentucky","210","Bourbon","0170","Bourbon",6013,5806,2763,2879,11819
"G2100190","1910","Kentucky","210","Boyd","0190","Boyd",11433,11176,461,361,22609
"G2100210","1910","Kentucky","210","Boyle","0210","Boyle",5301,5214,2048,2105,10515
"G2100230","1910","Kentucky","210","Bracken","0230","Bracken",5110,4859,185,154,9969
"G2100250","1910","Kentucky","210","Breathitt","0250","Breathitt",8893,8386,142,118,17279
"G2100270","1910","Kentucky","210","Breckinridge","0270","Breckinridge",9956,9496,839,742,19452
"G2100290","1910","Kentucky","210","Bullitt","0290","Bullitt",4533,4275,335,344,8808
"G2100310","1910","Kentucky","210","Butler","0310","Butler",7791,7453,279,282,15244
"G2100330","1910","Kentucky","210","Caldwell","0330","Caldwell",5873,5670,1206,1314,11543
"G2100350","1910","Kentucky","210","Calloway","0350","Calloway",9571,9227,528,541,18798
"G2100370","1910","Kentucky","210","Campbell","0370","Campbell",28706,29920,360,375,58626
"G2100390","1910","Kentucky","210","Carlisle","0390","Carlisle",4536,4119,193,200,8655
"G2100410","1910","Kentucky","210","Carroll","0410","Carroll",3807,3773,284,246,7580
"G2100430","1910","Kentucky","210","Carter","0430","Carter",11426,10430,57,53,21856
"G2100450","1910","Kentucky","210","Casey","0450","Casey",7781,7420,137,141,15201
"G2100470","1910","Kentucky","210","Christian","0470","Christian",11726,11162,7859,8097,22888
"G2100490","1910","Kentucky","210","Clark","0490","Clark",6919,6600,2234,2228,13519
"G2100510","1910","Kentucky","210","Clay","0510","Clay",8875,8420,255,239,17295
"G2100530","1910","Kentucky","210","Clinton","0530","Clinton",4024,4035,50,44,8059
"G2100550","1910","Kentucky","210","Crittenden","0550","Crittenden",6517,6191,311,277,12708
"G2100570","1910","Kentucky","210","Cumberland","0570","Cumberland",4477,4345,496,528,8822
"G2100590","1910","Kentucky","210","Daviess","0590","Daviess",18110,17714,2598,2597,35824
"G2100610","1910","Kentucky","210","Edmonson","0610","Edmonson",5152,4878,231,208,10030
"G2100630","1910","Kentucky","210","Elliott","0630","Elliott",5036,4773,1,0,9809
"G2100650","1910","Kentucky","210","Estill","0650","Estill",6253,5914,49,57,12167
"G2100670","1910","Kentucky","210","Fayette","0670","Fayette",16548,16273,7221,7658,32821
"G2100690","1910","Kentucky","210","Fleming","0690","Fleming",7590,7449,526,501,15039
"G2100710","1910","Kentucky","210","Floyd","0710","Floyd",9553,8925,45,54,18478
"G2100730","1910","Kentucky","210","Franklin","0730","Franklin",9065,8324,2124,1622,17389
"G2100750","1910","Kentucky","210","Fulton","0750","Fulton",5584,5174,1729,1627,10758
"G2100770","1910","Kentucky","210","Gallatin","0770","Gallatin",2314,2109,141,133,4423
"G2100790","1910","Kentucky","210","Garrard","0790","Garrard",4948,4662,1167,1117,9610
"G2100810","1910","Kentucky","210","Grant","0810","Grant",5339,4950,149,143,10289
"G2100830","1910","Kentucky","210","Graves","0830","Graves",15401,15237,1439,1460,30638
"G2100850","1910","Kentucky","210","Grayson","0850","Grayson",10068,9557,161,172,19625
"G2100870","1910","Kentucky","210","Green","0870","Green",5446,5082,705,638,10528
"G2100890","1910","Kentucky","210","Greenup","0890","Greenup",9526,8682,167,90,18208
"G2100910","1910","Kentucky","210","Hancock","0910","Hancock",4055,3891,290,276,7946
"G2100930","1910","Kentucky","210","Hardin","0930","Hardin",10506,10364,921,905,20870
"G2100950","1910","Kentucky","210","Harlan","0950","Harlan",5116,4886,390,174,10002
"G2100970","1910","Kentucky","210","Harrison","0970","Harrison",7718,7404,884,866,15122
"G2100990","1910","Kentucky","210","Hart","0990","Hart",8389,7793,997,994,16182
"G2101010","1910","Kentucky","210","Henderson","1010","Henderson",11243,11291,3437,3381,22534
"G2101030","1910","Kentucky","210","Henry","1030","Henry",6085,5839,893,899,11924
"G2101050","1910","Kentucky","210","Hickman","1050","Hickman",5127,4857,889,877,9984
"G2101070","1910","Kentucky","210","Hopkins","1070","Hopkins",14189,13529,3451,3122,27718
"G2101090","1910","Kentucky","210","Jackson","1090","Jackson",5551,5161,13,9,10712
"G2101110","1910","Kentucky","210","Jefferson","1110","Jefferson",106323,110786,22407,23387,217109
"G2101130","1910","Kentucky","210","Jessamine","1130","Jessamine",4976,4674,1591,1371,9650
"G2101150","1910","Kentucky","210","Johnson","1150","Johnson",9016,8419,22,25,17435
"G2101170","1910","Kentucky","210","Kenton","1170","Kenton",32701,34412,1578,1650,67113
"G2101190","1910","Kentucky","210","Knott","1190","Knott",5366,5266,84,73,10632
"G2101210","1910","Kentucky","210","Knox","1210","Knox",10789,10261,557,502,21050
"G2101230","1910","Kentucky","210","Larue","1230","Larue",5005,4911,400,385,9916
"G2101250","1910","Kentucky","210","Laurel","1250","Laurel",9860,9350,339,318,19210
"G2101270","1910","Kentucky","210","Lawrence","1270","Lawrence",10140,9764,89,74,19904
"G2101290","1910","Kentucky","210","Lee","1290","Lee",4764,4533,122,112,9297
"G2101310","1910","Kentucky","210","Leslie","1310","Leslie",4487,4357,72,60,8844
"G2101330","1910","Kentucky","210","Letcher","1330","Letcher",5468,5138,11,6,10606
"G2101350","1910","Kentucky","210","Lewis","1350","Lewis",8820,7926,75,66,16746
"G2101370","1910","Kentucky","210","Lincoln","1370","Lincoln",7617,7325,1462,1493,14942
"G2101390","1910","Kentucky","210","Livingston","1390","Livingston",5124,4833,337,333,9957
"G2101410","1910","Kentucky","210","Logan","1410","Logan",10071,9552,2684,2665,19623
"G2101430","1910","Kentucky","210","Lyon","1430","Lyon",3939,3684,1143,656,7623
"G2101450","1910","Kentucky","210","McCracken","1450","Mccracken",13758,13369,3844,4090,27127
"G2101490","1910","Kentucky","210","McLean","1490","Mclean",6539,5952,392,358,12491
"G2101510","1910","Kentucky","210","Madison","1510","Madison",10797,10451,2846,2852,21248
"G2101530","1910","Kentucky","210","Magoffin","1530","Magoffin",6887,6621,27,27,13508
"G2101550","1910","Kentucky","210","Marion","1550","Marion",7016,7048,1141,1125,14064
"G2101570","1910","Kentucky","210","Marshall","1570","Marshall",8030,7606,78,57,15636
"G2101590","1910","Kentucky","210","Martin","1590","Martin",3811,3476,2,2,7287
"G2101610","1910","Kentucky","210","Mason","1610","Mason",7946,7795,1373,1495,15741
"G2101630","1910","Kentucky","210","Meade","1630","Meade",4643,4485,362,293,9128
"G2101650","1910","Kentucky","210","Menifee","1650","Menifee",3114,2999,24,16,6113
"G2101670","1910","Kentucky","210","Mercer","1670","Mercer",5971,5921,1055,1116,11892
"G2101690","1910","Kentucky","210","Metcalfe","1690","Metcalfe",4843,4816,409,385,9659
"G2101710","1910","Kentucky","210","Monroe","1710","Monroe",6498,6440,350,355,12938
"G2101730","1910","Kentucky","210","Montgomery","1730","Montgomery",4912,4762,1573,1619,9674
"G2101750","1910","Kentucky","210","Morgan","1750","Morgan",8302,7923,21,13,16225
"G2101770","1910","Kentucky","210","Muhlenberg","1770","Muhlenberg",13190,12497,1549,1362,25687
"G2101790","1910","Kentucky","210","Nelson","1790","Nelson",7029,6866,1485,1450,13895
"G2101810","1910","Kentucky","210","Nicholas","1810","Nicholas",4946,4759,429,467,9705
"G2101830","1910","Kentucky","210","Ohio","1830","Ohio",13585,12769,654,634,26354
"G2101850","1910","Kentucky","210","Oldham","1850","Oldham",3296,2874,547,531,6170
"G2101870","1910","Kentucky","210","Owen","1870","Owen",6882,6423,485,458,13305
"G2101890","1910","Kentucky","210","Owsley","1890","Owsley",4061,3843,40,35,7904
"G2101910","1910","Kentucky","210","Pendleton","1910","Pendleton",5971,5753,138,123,11724
"G2101930","1910","Kentucky","210","Perry","1930","Perry",5652,5389,114,100,11041
"G2101950","1910","Kentucky","210","Pike","1950","Pike",16325,15022,182,150,31347
"G2101970","1910","Kentucky","210","Powell","1970","Powell",3064,2867,176,161,5931
"G2101990","1910","Kentucky","210","Pulaski","1990","Pulaski",17693,17106,569,618,34799
"G2102010","1910","Kentucky","210","Robertson","2010","Robertson",2064,1987,44,26,4051
"G2102030","1910","Kentucky","210","Rockcastle","2030","Rockcastle",7284,7064,59,66,14348
"G2102050","1910","Kentucky","210","Rowan","2050","Rowan",4782,4597,33,26,9379
"G2102070","1910","Kentucky","210","Russell","2070","Russell",5369,5285,103,104,10654
"G2102090","1910","Kentucky","210","Scott","2090","Scott",6721,6191,2082,1962,12912
"G2102110","1910","Kentucky","210","Shelby","2110","Shelby",7274,6776,2024,1967,14050
"G2102130","1910","Kentucky","210","Simpson","2130","Simpson",4645,4650,1083,1082,9295
"G2102150","1910","Kentucky","210","Spencer","2150","Spencer",3583,3226,398,360,6809
"G2102170","1910","Kentucky","210","Taylor","2170","Taylor",5333,5199,697,732,10532
"G2102190","1910","Kentucky","210","Todd","2190","Todd",5634,5511,2708,2635,11145
"G2102210","1910","Kentucky","210","Trigg","2210","Trigg",5782,5435,1644,1678,11217
"G2102230","1910","Kentucky","210","Trimble","2230","Trimble",3326,3044,76,66,6370
"G2102250","1910","Kentucky","210","Union","2250","Union",8955,8517,1289,1125,17472
"G2102270","1910","Kentucky","210","Warren","2270","Warren",12248,12218,2936,3177,24466
"G2102290","1910","Kentucky","210","Washington","2290","Washington",6182,5979,903,876,12161
"G2102310","1910","Kentucky","210","Wayne","2310","Wayne",8564,8215,352,387,16779
"G2102330","1910","Kentucky","210","Webster","2330","Webster",9436,8895,1361,1282,18331
"G2102350","1910","Kentucky","210","Whitley","2350","Whitley",15923,14936,575,536,30859
"G2102370","1910","Kentucky","210","Wolfe","2370","Wolfe",4995,4813,25,31,9808
"G2102390","1910","Kentucky","210","Woodford","2390","Woodford",4550,4297,1860,1864,8847
"G2200010","1910","Louisiana","220","Acadia","0010","Acadia",12923,12376,3242,3304,25299
"G2200050","1910","Louisiana","220","Ascension","0050","Ascension",6370,6258,5568,5687,12628
"G2200070","1910","Louisiana","220","Assumption","0070","Assumption",7080,6941,5126,4979,14021
"G2200090","1910","Louisiana","220","Avoyelles","0090","Avoyelles",11268,10744,6024,6015,22012
"G2200130","1910","Louisiana","220","Bienville","0130","Bienville",6359,5953,4716,4748,12312
"G2200150","1910","Louisiana","220","Bossier","0150","Bossier",2589,2414,8264,8471,5003
"G2200170","1910","Louisiana","220","Caddo","0170","Caddo",11932,10108,17435,18707,22040
"G2200190","1910","Louisiana","220","Calcasieu","0190","Calcasieu",24189,21695,8812,7750,45884
"G2200210","1910","Louisiana","220","Caldwell","0210","Caldwell",2695,2433,1737,1728,5128
"G2200230","1910","Louisiana","220","Cameron","0230","Cameron",1964,1786,290,248,3750
"G2200250","1910","Louisiana","220","Catahoula","0250","Catahoula",2721,2485,2605,2590,5206
"G2200270","1910","Louisiana","220","Claiborne","0270","Claiborne",5208,4904,7256,7682,10112
"G2200290","1910","Louisiana","220","Concordia","0290","Concordia",1312,1025,6131,5810,2337
"G2200310","1910","Louisiana","220","De Soto","0310","De Soto",5095,4662,8843,9089,9757
"G2200330","1910","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",6671,6546,10065,11277,13217
"G2200350","1910","Louisiana","220","East Carroll","0350","East Carroll",663,579,5152,5238,1242
"G2200370","1910","Louisiana","220","East Feliciana","0370","East Feliciana",2791,2727,7077,7459,5518
"G2200410","1910","Louisiana","220","Franklin","0410","Franklin",3515,3210,2673,2591,6725
"G2200430","1910","Louisiana","220","Grant","0430","Grant",5783,5304,2508,2361,11087
"G2200450","1910","Louisiana","220","Iberia","0450","Iberia",8492,8292,7253,7221,16784
"G2200470","1910","Louisiana","220","Iberville","0470","Iberville",6026,5780,9691,9454,11806
"G2200490","1910","Louisiana","220","Jackson","0490","Jackson",5052,4770,1991,2005,9822
"G2200510","1910","Louisiana","220","Jefferson","0510","Jefferson",5948,5427,3536,3249,11375
"G2200550","1910","Louisiana","220","Lafayette","0550","Lafayette",8969,9022,5327,5407,17991
"G2200570","1910","Louisiana","220","Lafourche","0570","Lafourche",12695,12441,4240,3733,25136
"G2200590","1910","Louisiana","220","La Salle","0590","La Salle",3870,3553,1083,870,7423
"G2200610","1910","Louisiana","220","Lincoln","0610","Lincoln",5629,5567,3469,3820,11196
"G2200630","1910","Louisiana","220","Livingston","0630","Livingston",4933,4317,714,663,9250
"G2200650","1910","Louisiana","220","Madison","0650","Madison",675,545,4728,4727,1220
"G2200670","1910","Louisiana","220","Morehouse","0670","Morehouse",2561,2253,6978,6993,4814
"G2200690","1910","Louisiana","220","Natchitoches","0690","Natchitoches",8361,7746,9885,10449,16107
"G2200710","1910","Louisiana","220","Orleans","0710","Orleans",121916,127487,40946,48316,249403
"G2200730","1910","Louisiana","220","Ouachita","0730","Ouachita",6116,5556,6734,7419,11672
"G2200750","1910","Louisiana","220","Plaquemines","0750","Plaquemines",3251,2426,3570,3277,5677
"G2200770","1910","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",4140,4002,8637,8510,8142
"G2200790","1910","Louisiana","220","Rapides","0790","Rapides",11877,11114,10480,10965,22991
"G2200810","1910","Louisiana","220","Red River","0810","Red River",2684,2506,3048,3164,5190
"G2200830","1910","Louisiana","220","Richland","0830","Richland",2809,2494,5208,5255,5303
"G2200850","1910","Louisiana","220","Sabine","0850","Sabine",8193,7511,2134,2030,15704
"G2200870","1910","Louisiana","220","St Bernard","0870","St Bernard",1799,1544,986,947,3343
"G2200890","1910","Louisiana","220","St Charles","0890","St Charles",2454,2033,3685,3035,4487
"G2200910","1910","Louisiana","220","St Helena","0910","St Helena",2400,2199,2247,2326,4599
"G2200930","1910","Louisiana","220","St James","0930","St James",5032,4812,6795,6369,9844
"G2200950","1910","Louisiana","220","St John The Baptist","0950","St John The Baptist",3176,3032,4328,3798,6208
"G2200970","1910","Louisiana","220","St Landry","0970","St Landry",18115,17242,15529,15705,35357
"G2200990","1910","Louisiana","220","St Martin","0990","St Martin",6776,6456,4905,4931,13232
"G2201010","1910","Louisiana","220","St Mary","1010","St Mary",9254,8789,10806,10460,18043
"G2201030","1910","Louisiana","220","St Tammany","1030","St Tammany",6219,5955,3403,3328,12174
"G2201050","1910","Louisiana","220","Tangipahoa","1050","Tangipahoa",10615,9408,4969,4166,20023
"G2201070","1910","Louisiana","220","Tensas","1070","Tensas",753,693,7709,7904,1446
"G2201090","1910","Louisiana","220","Terrebonne","1090","Terrebonne",8686,8295,5698,5496,16981
"G2201110","1910","Louisiana","220","Union","1110","Union",6686,6317,3678,3770,13003
"G2201130","1910","Louisiana","220","Vermilion","1130","Vermilion",11095,10794,2283,2217,21889
"G2201150","1910","Louisiana","220","Vernon","1150","Vernon",7183,6484,2118,1598,13667
"G2201170","1910","Louisiana","220","Washington","1170","Washington",7265,6161,3039,2419,13426
"G2201190","1910","Louisiana","220","Webster","1190","Webster",4920,4366,4924,4976,9286
"G2201210","1910","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",1751,1661,4593,4630,3412
"G2201230","1910","Louisiana","220","West Carroll","1230","West Carroll",1931,1591,1396,1328,3522
"G2201250","1910","Louisiana","220","West Feliciana","1250","West Feliciana",1440,996,5439,5573,2436
"G2201270","1910","Louisiana","220","Winn","1270","Winn",7585,6839,2118,1813,14424
"G2300010","1910","Maine","230","Androscoggin","0010","Androscoggin",29009,30722,40,33,59731
"G2300030","1910","Maine","230","Aroostook","0030","Aroostook",39661,34888,32,19,74549
"G2300050","1910","Maine","230","Cumberland","0050","Cumberland",54660,56857,201,227,111517
"G2300070","1910","Maine","230","Franklin","0070","Franklin",10007,9095,11,6,19102
"G2300090","1910","Maine","230","Hancock","0090","Hancock",18117,17404,20,13,35521
"G2300110","1910","Maine","230","Kennebec","0110","Kennebec",32461,30256,72,67,62717
"G2300130","1910","Maine","230","Knox","0130","Knox",14459,14438,36,37,28897
"G2300150","1910","Maine","230","Lincoln","0150","Lincoln",9234,8961,13,5,18195
"G2300170","1910","Maine","230","Oxford","0170","Oxford",19064,17159,17,13,36223
"G2300190","1910","Maine","230","Penobscot","0190","Penobscot",43094,41574,120,126,84668
"G2300210","1910","Maine","230","Piscataquis","0210","Piscataquis",10558,9282,6,1,19840
"G2300230","1910","Maine","230","Sagadahoc","0230","Sagadahoc",9182,9286,52,51,18468
"G2300250","1910","Maine","230","Somerset","0250","Somerset",18866,17401,9,10,36267
"G2300270","1910","Maine","230","Waldo","0270","Waldo",11853,11513,10,5,23366
"G2300290","1910","Maine","230","Washington","0290","Washington",21351,21132,37,22,42483
