GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BFQ001
"G0500230","1930","Arkansas","050","Cleburne","0230","Cleburne",11370
"G0500250","1930","Arkansas","050","Cleveland","0250","Cleveland",9266
"G0500270","1930","Arkansas","050","Columbia","0270","Columbia",14592
"G0500290","1930","Arkansas","050","Conway","0290","Conway",15971
"G0500310","1930","Arkansas","050","Craighead","0310","Craighead",42996
"G0500330","1930","Arkansas","050","Crawford","0330","Crawford",21447
"G0500350","1930","Arkansas","050","Crittenden","0350","Crittenden",8330
"G0500370","1930","Arkansas","050","Cross","0370","Cross",14727
"G0500390","1930","Arkansas","050","Dallas","0390","Dallas",9455
"G0500410","1930","Arkansas","050","Desha","0410","Desha",7864
"G0500430","1930","Arkansas","050","Drew","0430","Drew",10776
"G0500450","1930","Arkansas","050","Faulkner","0450","Faulkner",24721
"G0500470","1930","Arkansas","050","Franklin","0470","Franklin",15410
"G0500490","1930","Arkansas","050","Fulton","0490","Fulton",10834
"G0500510","1930","Arkansas","050","Garland","0510","Garland",31203
"G0500530","1930","Arkansas","050","Grant","0530","Grant",8962
"G0500550","1930","Arkansas","050","Greene","0550","Greene",26094
"G0500570","1930","Arkansas","050","Hempstead","0570","Hempstead",17719
"G0500590","1930","Arkansas","050","Hot Spring","0590","Hot Spring",15793
"G0500610","1930","Arkansas","050","Howard","0610","Howard",13662
"G0500630","1930","Arkansas","050","Independence","0630","Independence",23327
"G0500650","1930","Arkansas","050","Izard","0650","Izard",12697
"G0500670","1930","Arkansas","050","Jackson","0670","Jackson",22692
"G0500690","1930","Arkansas","050","Jefferson","0690","Jefferson",27003
"G0500710","1930","Arkansas","050","Johnson","0710","Johnson",18911
"G0500730","1930","Arkansas","050","Lafayette","0730","Lafayette",8509
"G0500750","1930","Arkansas","050","Lawrence","0750","Lawrence",21233
"G0500770","1930","Arkansas","050","Lee","0770","Lee",9210
"G0500790","1930","Arkansas","050","Lincoln","0790","Lincoln",7147
"G0500810","1930","Arkansas","050","Little River","0810","Little River",9469
"G0500830","1930","Arkansas","050","Logan","0830","Logan",23583
"G0500850","1930","Arkansas","050","Lonoke","0850","Lonoke",22841
"G0500870","1930","Arkansas","050","Madison","0870","Madison",13318
"G0500890","1930","Arkansas","050","Marion","0890","Marion",8875
"G0500910","1930","Arkansas","050","Miller","0910","Miller",20953
"G0500930","1930","Arkansas","050","Mississippi","0930","Mississippi",43094
"G0500950","1930","Arkansas","050","Monroe","0950","Monroe",9148
"G0500970","1930","Arkansas","050","Montgomery","0970","Montgomery",10625
"G0500990","1930","Arkansas","050","Nevada","0990","Nevada",13163
"G0501010","1930","Arkansas","050","Newton","1010","Newton",10563
"G0501030","1930","Arkansas","050","Ouachita","1030","Ouachita",16878
"G0501050","1930","Arkansas","050","Perry","1050","Perry",7241
"G0501070","1930","Arkansas","050","Phillips","1070","Phillips",13328
"G0501090","1930","Arkansas","050","Pike","1090","Pike",10669
"G0501110","1930","Arkansas","050","Poinsett","1110","Poinsett",25362
"G0501130","1930","Arkansas","050","Polk","1130","Polk",14845
"G0501150","1930","Arkansas","050","Pope","1150","Pope",25227
"G0501170","1930","Arkansas","050","Prairie","1170","Prairie",11555
"G0501190","1930","Arkansas","050","Pulaski","1190","Pulaski",97462
"G0501210","1930","Arkansas","050","Randolph","1210","Randolph",16600
"G0501230","1930","Arkansas","050","St Francis","1230","St Francis",10880
"G0501250","1930","Arkansas","050","Saline","1250","Saline",14999
"G0501270","1930","Arkansas","050","Scott","1270","Scott",11790
"G0501290","1930","Arkansas","050","Searcy","1290","Searcy",11043
"G0501310","1930","Arkansas","050","Sebastian","1310","Sebastian",50374
"G0501330","1930","Arkansas","050","Sevier","1330","Sevier",14607
"G0501350","1930","Arkansas","050","Sharp","1350","Sharp",10696
"G0501370","1930","Arkansas","050","Stone","1370","Stone",7977
"G0501390","1930","Arkansas","050","Union","1390","Union",38287
"G0501410","1930","Arkansas","050","Van Buren","1410","Van Buren",11838
"G0501430","1930","Arkansas","050","Washington","1430","Washington",38747
"G0501450","1930","Arkansas","050","White","1450","White",36394
"G0501470","1930","Arkansas","050","Woodruff","1470","Woodruff",12639
"G0501490","1930","Arkansas","050","Yell","1490","Yell",20140
"G0600010","1930","California","060","Alameda","0010","Alameda",447844
"G0600030","1930","California","060","Alpine","0030","Alpine",137
"G0600050","1930","California","060","Amador","0050","Amador",7433
"G0600070","1930","California","060","Butte","0070","Butte",32570
"G0600090","1930","California","060","Calaveras","0090","Calaveras",5558
"G0600110","1930","California","060","Colusa","0110","Colusa",8828
"G0600130","1930","California","060","Contra Costa","0130","Contra Costa",71461
"G0600150","1930","California","060","Del Norte","0150","Del Norte",4233
"G0600170","1930","California","060","El Dorado","0170","El Dorado",8083
"G0600190","1930","California","060","Fresno","0190","Fresno",125877
"G0600210","1930","California","060","Glenn","0210","Glenn",10598
"G0600230","1930","California","060","Humboldt","0230","Humboldt",40837
"G0600250","1930","California","060","Imperial","0250","Imperial",33136
"G0600270","1930","California","060","Inyo","0270","Inyo",5189
"G0600290","1930","California","060","Kern","0290","Kern",71572
"G0600310","1930","California","060","Kings","0310","Kings",20719
"G0600330","1930","California","060","Lake","0330","Lake",6753
"G0600350","1930","California","060","Lassen","0350","Lassen",10433
"G0600370","1930","California","060","Los Angeles","0370","Los Angeles",1949882
"G0600390","1930","California","060","Madera","0390","Madera",13873
"G0600410","1930","California","060","Marin","0410","Marin",39861
"G0600430","1930","California","060","Mariposa","0430","Mariposa",3007
"G0600450","1930","California","060","Mendocino","0450","Mendocino",21994
"G0600470","1930","California","060","Merced","0470","Merced",32620
"G0600490","1930","California","060","Modoc","0490","Modoc",7136
"G0600510","1930","California","060","Mono","0510","Mono",1039
"G0600530","1930","California","060","Monterey","0530","Monterey",44362
"G0600550","1930","California","060","Napa","0550","Napa",22454
"G0600570","1930","California","060","Nevada","0570","Nevada",10280
"G0600590","1930","California","060","Orange","0590","Orange",99800
"G0600610","1930","California","060","Placer","0610","Placer",20408
"G0600630","1930","California","060","Plumas","0630","Plumas",7227
"G0600650","1930","California","060","Riverside","0650","Riverside",62326
"G0600670","1930","California","060","Sacramento","0670","Sacramento",121545
"G0600690","1930","California","060","San Benito","0690","San Benito",9642
"G0600710","1930","California","060","San Bernardino","0710","San Bernardino",106816
"G0600730","1930","California","060","San Diego","0730","San Diego",186208
"G0600750","1930","California","060","San Francisco","0750","San Francisco",594969
"G0600770","1930","California","060","San Joaquin","0770","San Joaquin",89257
"G0600790","1930","California","060","San Luis Obispo","0790","San Luis Obispo",25632
"G0600810","1930","California","060","San Mateo","0810","San Mateo",73504
"G0600830","1930","California","060","Santa Barbara","0830","Santa Barbara",52944
"G0600850","1930","California","060","Santa Clara","0850","Santa Clara",135188
"G0600870","1930","California","060","Santa Cruz","0870","Santa Cruz",34768
"G0600890","1930","California","060","Shasta","0890","Shasta",12885
"G0600910","1930","California","060","Sierra","0910","Sierra",2271
"G0600930","1930","California","060","Siskiyou","0930","Siskiyou",22942
"G0600950","1930","California","060","Solano","0950","Solano",35986
"G0600970","1930","California","060","Sonoma","0970","Sonoma",60279
"G0600990","1930","California","060","Stanislaus","0990","Stanislaus",54274
"G0601010","1930","California","060","Sutter","1010","Sutter",13098
"G0601030","1930","California","060","Tehama","1030","Tehama",13349
"G0601050","1930","California","060","Trinity","1050","Trinity",2485
"G0601070","1930","California","060","Tulare","1070","Tulare",67175
"G0601090","1930","California","060","Tuolumne","1090","Tuolumne",8482
"G0601110","1930","California","060","Ventura","1110","Ventura",40065
"G0601130","1930","California","060","Yolo","1130","Yolo",19099
"G0601150","1930","California","060","Yuba","1150","Yuba",9854
"G0800010","1930","Colorado","080","Adams","0010","Adams",18482
"G0800030","1930","Colorado","080","Alamosa","0030","Alamosa",8023
"G0800050","1930","Colorado","080","Arapahoe","0050","Arapahoe",22240
"G0800070","1930","Colorado","080","Archuleta","0070","Archuleta",1629
"G0800090","1930","Colorado","080","Baca","0090","Baca",10516
"G0800110","1930","Colorado","080","Bent","0110","Bent",8064
"G0800130","1930","Colorado","080","Boulder","0130","Boulder",30494
"G0800150","1930","Colorado","080","Chaffee","0150","Chaffee",7186
"G0800170","1930","Colorado","080","Cheyenne","0170","Cheyenne",3675
"G0800190","1930","Colorado","080","Clear Creek","0190","Clear Creek",2135
"G0800210","1930","Colorado","080","Conejos","0210","Conejos",9700
"G0800230","1930","Colorado","080","Costilla","0230","Costilla",5402
"G0800250","1930","Colorado","080","Crowley","0250","Crowley",4574
"G0800270","1930","Colorado","080","Custer","0270","Custer",1998
"G0800290","1930","Colorado","080","Delta","0290","Delta",13164
"G0800310","1930","Colorado","080","Denver","0310","Denver",272977
"G0800330","1930","Colorado","080","Dolores","0330","Dolores",1378
"G0800350","1930","Colorado","080","Douglas","0350","Douglas",3383
"G0800370","1930","Colorado","080","Eagle","0370","Eagle",3526
"G0800390","1930","Colorado","080","Elbert","0390","Elbert",6509
"G0800410","1930","Colorado","080","El Paso","0410","El Paso",47671
"G0800430","1930","Colorado","080","Fremont","0430","Fremont",17740
"G0800450","1930","Colorado","080","Garfield","0450","Garfield",9622
"G0800470","1930","Colorado","080","Gilpin","0470","Gilpin",1203
"G0800490","1930","Colorado","080","Grand","0490","Grand",2073
"G0800510","1930","Colorado","080","Gunnison","0510","Gunnison",5259
"G0800530","1930","Colorado","080","Hinsdale","0530","Hinsdale",431
"G0800550","1930","Colorado","080","Huerfano","0550","Huerfano",14341
"G0800570","1930","Colorado","080","Jackson","0570","Jackson",1357
"G0800590","1930","Colorado","080","Jefferson","0590","Jefferson",21582
"G0800610","1930","Colorado","080","Kiowa","0610","Kiowa",3694
"G0800630","1930","Colorado","080","Kit Carson","0630","Kit Carson",9713
"G0800650","1930","Colorado","080","Lake","0650","Lake",4599
"G0800670","1930","Colorado","080","La Plata","0670","La Plata",10736
"G0800690","1930","Colorado","080","Larimer","0690","Larimer",31056
"G0800710","1930","Colorado","080","Las Animas","0710","Las Animas",30913
"G0800730","1930","Colorado","080","Lincoln","0730","Lincoln",7765
"G0800750","1930","Colorado","080","Logan","0750","Logan",18992
"G0800770","1930","Colorado","080","Mesa","0770","Mesa",24811
"G0800790","1930","Colorado","080","Mineral","0790","Mineral",608
"G0800810","1930","Colorado","080","Moffat","0810","Moffat",4824
"G0800830","1930","Colorado","080","Montezuma","0830","Montezuma",6515
"G0800850","1930","Colorado","080","Montrose","0850","Montrose",10478
"G0800870","1930","Colorado","080","Morgan","0870","Morgan",16830
"G0800890","1930","Colorado","080","Otero","0890","Otero",19844
"G0800910","1930","Colorado","080","Ouray","0910","Ouray",1780
"G0800930","1930","Colorado","080","Park","0930","Park",1984
"G0800950","1930","Colorado","080","Phillips","0950","Phillips",5788
"G0800970","1930","Colorado","080","Pitkin","0970","Pitkin",1765
"G0800990","1930","Colorado","080","Prowers","0990","Prowers",13257
"G0801010","1930","Colorado","080","Pueblo","1010","Pueblo",59193
"G0801030","1930","Colorado","080","Rio Blanco","1030","Rio Blanco",2930
"G0801050","1930","Colorado","080","Rio Grande","1050","Rio Grande",9516
"G0801070","1930","Colorado","080","Routt","1070","Routt",8922
"G0801090","1930","Colorado","080","Saguache","1090","Saguache",5742
"G0801110","1930","Colorado","080","San Juan","1110","San Juan",1774
"G0801130","1930","Colorado","080","San Miguel","1130","San Miguel",2107
"G0801150","1930","Colorado","080","Sedgwick","1150","Sedgwick",5101
"G0801170","1930","Colorado","080","Summit","1170","Summit",980
"G0801190","1930","Colorado","080","Teller","1190","Teller",4123
"G0801210","1930","Colorado","080","Washington","1210","Washington",9441
"G0801230","1930","Colorado","080","Weld","1230","Weld",55425
"G0801250","1930","Colorado","080","Yuma","1250","Yuma",13577
"G0900010","1930","Connecticut","090","Fairfield","0010","Fairfield",378263
"G0900030","1930","Connecticut","090","Hartford","0030","Hartford",412450
"G0900050","1930","Connecticut","090","Litchfield","0050","Litchfield",81786
"G0900070","1930","Connecticut","090","Middlesex","0070","Middlesex",50838
"G0900090","1930","Connecticut","090","New Haven","0090","New Haven",453906
"G0900110","1930","Connecticut","090","New London","0110","New London",117162
"G0900130","1930","Connecticut","090","Tolland","0130","Tolland",28489
"G0900150","1930","Connecticut","090","Windham","0150","Windham",53779
"G1000010","1930","Delaware","100","Kent","0010","Kent",25225
"G1000030","1930","Delaware","100","New Castle","0030","New Castle",142484
"G1000050","1930","Delaware","100","Sussex","0050","Sussex",37985
"G1100010","1930","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",353914
"G1200010","1930","Florida","120","Alachua","0010","Alachua",19048
"G1200030","1930","Florida","120","Baker","0030","Baker",4492
"G1200050","1930","Florida","120","Bay","0050","Bay",9000
"G1200070","1930","Florida","120","Bradford","0070","Bradford",6670
"G1200090","1930","Florida","120","Brevard","0090","Brevard",9062
"G1200110","1930","Florida","120","Broward","0110","Broward",13365
"G1200130","1930","Florida","120","Calhoun","0130","Calhoun",5934
"G1200150","1930","Florida","120","Charlotte","0150","Charlotte",3229
"G1200170","1930","Florida","120","Citrus","0170","Citrus",3717
"G1200190","1930","Florida","120","Clay","0190","Clay",5092
"G1200210","1930","Florida","120","Collier","0210","Collier",2016
"G1200230","1930","Florida","120","Columbia","0230","Columbia",8848
"G1200250","1930","Florida","120","Dade","0250","Dade",112885
"G1200270","1930","Florida","120","De Soto","0270","De Soto",6247
"G1200290","1930","Florida","120","Dixie","0290","Dixie",3424
"G1200310","1930","Florida","120","Duval","0310","Duval",101999
"G1200330","1930","Florida","120","Escambia","0330","Escambia",39609
"G1200350","1930","Florida","120","Flagler","0350","Flagler",1613
"G1200370","1930","Florida","120","Franklin","0370","Franklin",3814
"G1200390","1930","Florida","120","Gadsden","0390","Gadsden",12923
"G1200410","1930","Florida","120","Gilchrist","0410","Gilchrist",3334
"G1200430","1930","Florida","120","Glades","0430","Glades",1877
"G1200450","1930","Florida","120","Gulf","0450","Gulf",2086
"G1200470","1930","Florida","120","Hamilton","0470","Hamilton",5675
"G1200490","1930","Florida","120","Hardee","0490","Hardee",9417
"G1200510","1930","Florida","120","Hendry","0510","Hendry",2108
"G1200530","1930","Florida","120","Hernando","0530","Hernando",3425
"G1200550","1930","Florida","120","Highlands","0550","Highlands",6511
