GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G0500030","1900","Arkansas","050","Ashley","0030","Ashley",9135
"G0500050","1900","Arkansas","050","Baxter","0050","Baxter",9293
"G0500070","1900","Arkansas","050","Benton","0070","Benton",31499
"G0500090","1900","Arkansas","050","Boone","0090","Boone",16254
"G0500110","1900","Arkansas","050","Bradley","0110","Bradley",6311
"G0500130","1900","Arkansas","050","Calhoun","0130","Calhoun",5254
"G0500150","1900","Arkansas","050","Carroll","0150","Carroll",18682
"G0500170","1900","Arkansas","050","Chicot","0170","Chicot",1876
"G0500190","1900","Arkansas","050","Clark","0190","Clark",14022
"G0500210","1900","Arkansas","050","Clay","0210","Clay",15877
"G0500230","1900","Arkansas","050","Cleburne","0230","Cleburne",9617
"G0500250","1900","Arkansas","050","Cleveland","0250","Cleveland",8106
"G0500270","1900","Arkansas","050","Columbia","0270","Columbia",12610
"G0500290","1900","Arkansas","050","Conway","0290","Conway",12150
"G0500310","1900","Arkansas","050","Craighead","0310","Craighead",18302
"G0500330","1900","Arkansas","050","Crawford","0330","Crawford",19045
"G0500350","1900","Arkansas","050","Crittenden","0350","Crittenden",2239
"G0500370","1900","Arkansas","050","Cross","0370","Cross",6188
"G0500390","1900","Arkansas","050","Dallas","0390","Dallas",6935
"G0500410","1900","Arkansas","050","Desha","0410","Desha",2104
"G0500430","1900","Arkansas","050","Drew","0430","Drew",9162
"G0500450","1900","Arkansas","050","Faulkner","0450","Faulkner",16338
"G0500470","1900","Arkansas","050","Franklin","0470","Franklin",16808
"G0500490","1900","Arkansas","050","Fulton","0490","Fulton",12838
"G0500510","1900","Arkansas","050","Garland","0510","Garland",15096
"G0500530","1900","Arkansas","050","Grant","0530","Grant",6825
"G0500550","1900","Arkansas","050","Greene","0550","Greene",16898
"G0500570","1900","Arkansas","050","Hempstead","0570","Hempstead",12111
"G0500590","1900","Arkansas","050","Hot Spring","0590","Hot Spring",11263
"G0500610","1900","Arkansas","050","Howard","0610","Howard",10978
"G0500630","1900","Arkansas","050","Independence","0630","Independence",21074
"G0500650","1900","Arkansas","050","Izard","0650","Izard",13221
"G0500670","1900","Arkansas","050","Jackson","0670","Jackson",13090
"G0500690","1900","Arkansas","050","Jefferson","0690","Jefferson",11146
"G0500710","1900","Arkansas","050","Johnson","0710","Johnson",16828
"G0500730","1900","Arkansas","050","Lafayette","0730","Lafayette",4108
"G0500750","1900","Arkansas","050","Lawrence","0750","Lawrence",15439
"G0500770","1900","Arkansas","050","Lee","0770","Lee",4303
"G0500790","1900","Arkansas","050","Lincoln","0790","Lincoln",4938
"G0500810","1900","Arkansas","050","Little River","0810","Little River",7982
"G0500830","1900","Arkansas","050","Logan","0830","Logan",19784
"G0500850","1900","Arkansas","050","Lonoke","0850","Lonoke",13250
"G0500870","1900","Arkansas","050","Madison","0870","Madison",19820
"G0500890","1900","Arkansas","050","Marion","0890","Marion",11339
