GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G1800690","1900","Indiana","180","Huntington","0690","Huntington",28887
"G1800710","1900","Indiana","180","Jackson","0710","Jackson",26405
"G1800730","1900","Indiana","180","Jasper","0730","Jasper",14286
"G1800750","1900","Indiana","180","Jay","0750","Jay",26673
"G1800770","1900","Indiana","180","Jefferson","0770","Jefferson",22042
"G1800790","1900","Indiana","180","Jennings","0790","Jennings",15376
"G1800810","1900","Indiana","180","Johnson","0810","Johnson",19802
"G1800830","1900","Indiana","180","Knox","0830","Knox",32131
"G1800850","1900","Indiana","180","Kosciusko","0850","Kosciusko",29078
"G1800870","1900","Indiana","180","Lagrange","0870","Lagrange",15274
"G1800890","1900","Indiana","180","Lake","0890","Lake",37838
"G1800910","1900","Indiana","180","LaPorte","0910","Laporte",38116
"G1800930","1900","Indiana","180","Lawrence","0930","Lawrence",25294
"G1800950","1900","Indiana","180","Madison","0950","Madison",69285
"G1800970","1900","Indiana","180","Marion","0970","Marion",179659
"G1800990","1900","Indiana","180","Marshall","0990","Marshall",25104
"G1801010","1900","Indiana","180","Martin","1010","Martin",14494
"G1801030","1900","Indiana","180","Miami","1030","Miami",28133
"G1801050","1900","Indiana","180","Monroe","1050","Monroe",20445
"G1801070","1900","Indiana","180","Montgomery","1070","Montgomery",29103
"G1801090","1900","Indiana","180","Morgan","1090","Morgan",20351
"G1801110","1900","Indiana","180","Newton","1110","Newton",10408
"G1801130","1900","Indiana","180","Noble","1130","Noble",23526
"G1801150","1900","Indiana","180","Ohio","1150","Ohio",4580
"G1801170","1900","Indiana","180","Orange","1170","Orange",16660
"G1801190","1900","Indiana","180","Owen","1190","Owen",15041
"G1801210","1900","Indiana","180","Parke","1210","Parke",22676
"G1801230","1900","Indiana","180","Perry","1230","Perry",18525
"G1801250","1900","Indiana","180","Pike","1250","Pike",20339
"G1801270","1900","Indiana","180","Porter","1270","Porter",19161
"G1801290","1900","Indiana","180","Posey","1290","Posey",21107
"G1801310","1900","Indiana","180","Pulaski","1310","Pulaski",14027
"G1801330","1900","Indiana","180","Putnam","1330","Putnam",21216
"G1801350","1900","Indiana","180","Randolph","1350","Randolph",28255
"G1801370","1900","Indiana","180","Ripley","1370","Ripley",19849
"G1801390","1900","Indiana","180","Rush","1390","Rush",19571
"G1801410","1900","Indiana","180","St Joseph","1410","St Joseph",58226
"G1801430","1900","Indiana","180","Scott","1430","Scott",8306
"G1801450","1900","Indiana","180","Shelby","1450","Shelby",26106
"G1801470","1900","Indiana","180","Spencer","1470","Spencer",21084
"G1801490","1900","Indiana","180","Starke","1490","Starke",10426
"G1801510","1900","Indiana","180","Steuben","1510","Steuben",15210
"G1801530","1900","Indiana","180","Sullivan","1530","Sullivan",25834
"G1801550","1900","Indiana","180","Switzerland","1550","Switzerland",11759
"G1801570","1900","Indiana","180","Tippecanoe","1570","Tippecanoe",38263
"G1801590","1900","Indiana","180","Tipton","1590","Tipton",19109
"G1801610","1900","Indiana","180","Union","1610","Union",6620
"G1801630","1900","Indiana","180","Vanderburgh","1630","Vanderburgh",63707
"G1801650","1900","Indiana","180","Vermillion","1650","Vermillion",15129
"G1801670","1900","Indiana","180","Vigo","1670","Vigo",59775
"G1801690","1900","Indiana","180","Wabash","1690","Wabash",28056
"G1801710","1900","Indiana","180","Warren","1710","Warren",11347
"G1801730","1900","Indiana","180","Warrick","1730","Warrick",21614
"G1801750","1900","Indiana","180","Washington","1750","Washington",19404
"G1801770","1900","Indiana","180","Wayne","1770","Wayne",37562
"G1801790","1900","Indiana","180","Wells","1790","Wells",23445
"G1801810","1900","Indiana","180","White","1810","White",19127
"G1801830","1900","Indiana","180","Whitley","1830","Whitley",17267
"G1900010","1900","Iowa","190","Adair","0010","Adair",16179
"G1900030","1900","Iowa","190","Adams","0030","Adams",13573
"G1900050","1900","Iowa","190","Allamakee","0050","Allamakee",18692
"G1900070","1900","Iowa","190","Appanoose","0070","Appanoose",25559
"G1900090","1900","Iowa","190","Audubon","0090","Audubon",13623
"G1900110","1900","Iowa","190","Benton","0110","Benton",25155
"G1900130","1900","Iowa","190","Black Hawk","0130","Black Hawk",32375
"G1900150","1900","Iowa","190","Boone","0150","Boone",27964
"G1900170","1900","Iowa","190","Bremer","0170","Bremer",16299
"G1900190","1900","Iowa","190","Buchanan","0190","Buchanan",21401
"G1900210","1900","Iowa","190","Buena Vista","0210","Buena Vista",16970
"G1900230","1900","Iowa","190","Butler","0230","Butler",17951
"G1900250","1900","Iowa","190","Calhoun","0250","Calhoun",18565
"G1900270","1900","Iowa","190","Carroll","0270","Carroll",20285
"G1900290","1900","Iowa","190","Cass","0290","Cass",21262
"G1900310","1900","Iowa","190","Cedar","0310","Cedar",19323
"G1900330","1900","Iowa","190","Cerro Gordo","0330","Cerro Gordo",20613
"G1900350","1900","Iowa","190","Cherokee","0350","Cherokee",16553
"G1900370","1900","Iowa","190","Chickasaw","0370","Chickasaw",17032
"G1900390","1900","Iowa","190","Clarke","0390","Clarke",12371
"G1900410","1900","Iowa","190","Clay","0410","Clay",13399
"G1900430","1900","Iowa","190","Clayton","0430","Clayton",27747
"G1900450","1900","Iowa","190","Clinton","0450","Clinton",43649
"G1900470","1900","Iowa","190","Crawford","0470","Crawford",21670
"G1900490","1900","Iowa","190","Dallas","0490","Dallas",23035
"G1900510","1900","Iowa","190","Davis","0510","Davis",15561
"G1900530","1900","Iowa","190","Decatur","0530","Decatur",18057
"G1900550","1900","Iowa","190","Delaware","0550","Delaware",19184
"G1900570","1900","Iowa","190","Des Moines","0570","Des Moines",35557
"G1900590","1900","Iowa","190","Dickinson","0590","Dickinson",7991
"G1900610","1900","Iowa","190","Dubuque","0610","Dubuque",56283
"G1900630","1900","Iowa","190","Emmet","0630","Emmet",9929
"G1900650","1900","Iowa","190","Fayette","0650","Fayette",29756
"G1900670","1900","Iowa","190","Floyd","0670","Floyd",17737
"G1900690","1900","Iowa","190","Franklin","0690","Franklin",14988
"G1900710","1900","Iowa","190","Fremont","0710","Fremont",18481
"G1900730","1900","Iowa","190","Greene","0730","Greene",17808
"G1900750","1900","Iowa","190","Grundy","0750","Grundy",13754
"G1900770","1900","Iowa","190","Guthrie","0770","Guthrie",18719
"G1900790","1900","Iowa","190","Hamilton","0790","Hamilton",19472
"G1900810","1900","Iowa","190","Hancock","0810","Hancock",13741
"G1900830","1900","Iowa","190","Hardin","0830","Hardin",22735
"G1900850","1900","Iowa","190","Harrison","0850","Harrison",25558
"G1900870","1900","Iowa","190","Henry","0870","Henry",19655
"G1900890","1900","Iowa","190","Howard","0890","Howard",14497
"G1900910","1900","Iowa","190","Humboldt","0910","Humboldt",12665
"G1900930","1900","Iowa","190","Ida","0930","Ida",12324
"G1900950","1900","Iowa","190","Iowa","0950","Iowa",19540
"G1900970","1900","Iowa","190","Jackson","0970","Jackson",23613
"G1900990","1900","Iowa","190","Jasper","0990","Jasper",26786
"G1901010","1900","Iowa","190","Jefferson","1010","Jefferson",17366
"G1901030","1900","Iowa","190","Johnson","1030","Johnson",24753
"G1901050","1900","Iowa","190","Jones","1050","Jones",21896
"G1901070","1900","Iowa","190","Keokuk","1070","Keokuk",24945
"G1901090","1900","Iowa","190","Kossuth","1090","Kossuth",22717
"G1901110","1900","Iowa","190","Lee","1110","Lee",38084
"G1901130","1900","Iowa","190","Linn","1130","Linn",55134
"G1901150","1900","Iowa","190","Louisa","1150","Louisa",13507
"G1901170","1900","Iowa","190","Lucas","1170","Lucas",15932
"G1901190","1900","Iowa","190","Lyon","1190","Lyon",13165
"G1901210","1900","Iowa","190","Madison","1210","Madison",17706
"G1901230","1900","Iowa","190","Mahaska","1230","Mahaska",32532
"G1901250","1900","Iowa","190","Marion","1250","Marion",24114
"G1901270","1900","Iowa","190","Marshall","1270","Marshall",29822
"G1901290","1900","Iowa","190","Mills","1290","Mills",16720
"G1901310","1900","Iowa","190","Mitchell","1310","Mitchell",14901
"G1901330","1900","Iowa","190","Monona","1330","Monona",17974
"G1901350","1900","Iowa","190","Monroe","1350","Monroe",17432
"G1901370","1900","Iowa","190","Montgomery","1370","Montgomery",17752
"G1901390","1900","Iowa","190","Muscatine","1390","Muscatine",28095
"G1901410","1900","Iowa","190","O Brien","1410","O Brien",16984
"G1901430","1900","Iowa","190","Osceola","1430","Osceola",8722
"G1901450","1900","Iowa","190","Page","1450","Page",23955
"G1901470","1900","Iowa","190","Palo Alto","1470","Palo Alto",14352
"G1901490","1900","Iowa","190","Plymouth","1490","Plymouth",22207
"G1901510","1900","Iowa","190","Pocahontas","1510","Pocahontas",15338
"G1901530","1900","Iowa","190","Polk","1530","Polk",80579
"G1901550","1900","Iowa","190","Pottawattamie","1550","Pottawattamie",54062
"G1901570","1900","Iowa","190","Poweshiek","1570","Poweshiek",19363
"G1901590","1900","Iowa","190","Ringgold","1590","Ringgold",15322
"G1901610","1900","Iowa","190","Sac","1610","Sac",17628
"G1901630","1900","Iowa","190","Scott","1630","Scott",51058
"G1901650","1900","Iowa","190","Shelby","1650","Shelby",17922
"G1901670","1900","Iowa","190","Sioux","1670","Sioux",23334
"G1901690","1900","Iowa","190","Story","1690","Story",23155
"G1901710","1900","Iowa","190","Tama","1710","Tama",24185
"G1901730","1900","Iowa","190","Taylor","1730","Taylor",18710
"G1901750","1900","Iowa","190","Union","1750","Union",19826
"G1901770","1900","Iowa","190","Van Buren","1770","Van Buren",17251
"G1901790","1900","Iowa","190","Wapello","1790","Wapello",34630
"G1901810","1900","Iowa","190","Warren","1810","Warren",20307
"G1901830","1900","Iowa","190","Washington","1830","Washington",20648
"G1901850","1900","Iowa","190","Wayne","1850","Wayne",17480
"G1901870","1900","Iowa","190","Webster","1870","Webster",31640
"G1901890","1900","Iowa","190","Winnebago","1890","Winnebago",12721
"G1901910","1900","Iowa","190","Winneshiek","1910","Winneshiek",23709
"G1901930","1900","Iowa","190","Woodbury","1930","Woodbury",54313
"G1901950","1900","Iowa","190","Worth","1950","Worth",10872
"G1901970","1900","Iowa","190","Wright","1970","Wright",18211
"G1909015","1900","Iowa","190","Sac and Fox Indian Reservation (Iowa part)","9015","Sac and Fox Indian Reservation (Iowa part)",
"G2000010","1900","Kansas","200","Allen","0010","Allen",19121
"G2000030","1900","Kansas","200","Anderson","0030","Anderson",13625
"G2000050","1900","Kansas","200","Atchison","0050","Atchison",25637
"G2000070","1900","Kansas","200","Barber","0070","Barber",6539
"G2000090","1900","Kansas","200","Barton","0090","Barton",13498
"G2000110","1900","Kansas","200","Bourbon","0110","Bourbon",23221
"G2000130","1900","Kansas","200","Brown","0130","Brown",21374
"G2000150","1900","Kansas","200","Butler","0150","Butler",23196
"G2000170","1900","Kansas","200","Chase","0170","Chase",8069
"G2000190","1900","Kansas","200","Chautauqua","0190","Chautauqua",11577
"G2000210","1900","Kansas","200","Cherokee","0210","Cherokee",40725
"G2000230","1900","Kansas","200","Cheyenne","0230","Cheyenne",2640
"G2000250","1900","Kansas","200","Clark","0250","Clark",1694
"G2000270","1900","Kansas","200","Clay","0270","Clay",15652
"G2000290","1900","Kansas","200","Cloud","0290","Cloud",18010
"G2000310","1900","Kansas","200","Coffey","0310","Coffey",16498
"G2000330","1900","Kansas","200","Comanche","0330","Comanche",1619
"G2000350","1900","Kansas","200","Cowley","0350","Cowley",29461
"G2000370","1900","Kansas","200","Crawford","0370","Crawford",37152
"G2000390","1900","Kansas","200","Decatur","0390","Decatur",9224
"G2000410","1900","Kansas","200","Dickinson","0410","Dickinson",21588
"G2000430","1900","Kansas","200","Doniphan","0430","Doniphan",14259
"G2000450","1900","Kansas","200","Douglas","0450","Douglas",21819
"G2000470","1900","Kansas","200","Edwards","0470","Edwards",3599
"G2000490","1900","Kansas","200","Elk","0490","Elk",11440
"G2000510","1900","Kansas","200","Ellis","0510","Ellis",8563
"G2000530","1900","Kansas","200","Ellsworth","0530","Ellsworth",9467
"G2000550","1900","Kansas","200","Finney","0550","Finney",3359
"G2000570","1900","Kansas","200","Ford","0570","Ford",5432
"G2000590","1900","Kansas","200","Franklin","0590","Franklin",20590
"G2000610","1900","Kansas","200","Geary","0610","Geary",10363
"G2000630","1900","Kansas","200","Gove","0630","Gove",2408
"G2000650","1900","Kansas","200","Graham","0650","Graham",4642
"G2000670","1900","Kansas","200","Grant","0670","Grant",422
"G2000690","1900","Kansas","200","Gray","0690","Gray",1249
"G2000710","1900","Kansas","200","Greeley","0710","Greeley",492
"G2000730","1900","Kansas","200","Greenwood","0730","Greenwood",16130
"G2000750","1900","Kansas","200","Hamilton","0750","Hamilton",1420
"G2000770","1900","Kansas","200","Harper","0770","Harper",10258
"G2000790","1900","Kansas","200","Harvey","0790","Harvey",17312
"G2000810","1900","Kansas","200","Haskell","0810","Haskell",457
"G2000830","1900","Kansas","200","Hodgeman","0830","Hodgeman",1907
"G2000850","1900","Kansas","200","Jackson","0850","Jackson",16348
"G2000870","1900","Kansas","200","Jefferson","0870","Jefferson",16845
"G2000890","1900","Kansas","200","Jewell","0890","Jewell",19413
"G2000910","1900","Kansas","200","Johnson","0910","Johnson",17290
"G2000930","1900","Kansas","200","Kearny","0930","Kearny",1106
"G2000950","1900","Kansas","200","Kingman","0950","Kingman",10603
"G2000970","1900","Kansas","200","Kiowa","0970","Kiowa",2356
"G2000990","1900","Kansas","200","Labette","0990","Labette",25624
"G2001010","1900","Kansas","200","Lane","1010","Lane",1563
"G2001030","1900","Kansas","200","Leavenworth","1030","Leavenworth",36299
"G2001050","1900","Kansas","200","Lincoln","1050","Lincoln",9849
"G2001070","1900","Kansas","200","Linn","1070","Linn",16053
"G2001090","1900","Kansas","200","Logan","1090","Logan",1947
"G2001110","1900","Kansas","200","Lyon","1110","Lyon",24099
"G2001130","1900","Kansas","200","McPherson","1130","Mcpherson",21391
"G2001150","1900","Kansas","200","Marion","1150","Marion",20565
"G2001170","1900","Kansas","200","Marshall","1170","Marshall",24089
"G2001190","1900","Kansas","200","Meade","1190","Meade",1575
"G2001210","1900","Kansas","200","Miami","1210","Miami",20623
"G2001230","1900","Kansas","200","Mitchell","1230","Mitchell",14581
"G2001250","1900","Kansas","200","Montgomery","1250","Montgomery",27425
"G2001270","1900","Kansas","200","Morris","1270","Morris",11562
"G2001290","1900","Kansas","200","Morton","1290","Morton",287
"G2001310","1900","Kansas","200","Nemaha","1310","Nemaha",20098
"G2001330","1900","Kansas","200","Neosho","1330","Neosho",18973
"G2001350","1900","Kansas","200","Ness","1350","Ness",4535
"G2001370","1900","Kansas","200","Norton","1370","Norton",11287
"G2001390","1900","Kansas","200","Osage","1390","Osage",23135
"G2001410","1900","Kansas","200","Osborne","1410","Osborne",11726
"G2001430","1900","Kansas","200","Ottawa","1430","Ottawa",11098
"G2001450","1900","Kansas","200","Pawnee","1450","Pawnee",4997
"G2001470","1900","Kansas","200","Phillips","1470","Phillips",14325
"G2001490","1900","Kansas","200","Pottawatomie","1490","Pottawatomie",18214
"G2001510","1900","Kansas","200","Pratt","1510","Pratt",6922
"G2001530","1900","Kansas","200","Rawlins","1530","Rawlins",5241
"G2001550","1900","Kansas","200","Reno","1550","Reno",28534
"G2001570","1900","Kansas","200","Republic","1570","Republic",18236
"G2001590","1900","Kansas","200","Rice","1590","Rice",14603
"G2001610","1900","Kansas","200","Riley","1610","Riley",13484
"G2001630","1900","Kansas","200","Rooks","1630","Rooks",7863
"G2001650","1900","Kansas","200","Rush","1650","Rush",6125
"G2001670","1900","Kansas","200","Russell","1670","Russell",8422
"G2001690","1900","Kansas","200","Saline","1690","Saline",16639
"G2001710","1900","Kansas","200","Scott","1710","Scott",1098
"G2001730","1900","Kansas","200","Sedgwick","1730","Sedgwick",42546
"G2001750","1900","Kansas","200","Seward","1750","Seward",818
"G2001770","1900","Kansas","200","Shawnee","1770","Shawnee",47750
"G2001790","1900","Kansas","200","Sheridan","1790","Sheridan",3811
"G2001810","1900","Kansas","200","Sherman","1810","Sherman",3331
"G2001830","1900","Kansas","200","Smith","1830","Smith",16383
"G2001850","1900","Kansas","200","Stafford","1850","Stafford",9659
"G2001870","1900","Kansas","200","Stanton","1870","Stanton",327
"G2001890","1900","Kansas","200","Stevens","1890","Stevens",615
"G2001910","1900","Kansas","200","Sumner","1910","Sumner",25391
"G2001930","1900","Kansas","200","Thomas","1930","Thomas",4106
"G2001950","1900","Kansas","200","Trego","1950","Trego",2698
"G2001970","1900","Kansas","200","Wabaunsee","1970","Wabaunsee",12056
"G2001990","1900","Kansas","200","Wallace","1990","Wallace",1158
"G2002010","1900","Kansas","200","Washington","2010","Washington",21937
"G2002030","1900","Kansas","200","Wichita","2030","Wichita",1197
"G2002050","1900","Kansas","200","Wilson","2050","Wilson",15581
"G2002070","1900","Kansas","200","Woodson","2070","Woodson",9956
"G2002090","1900","Kansas","200","Wyandotte","2090","Wyandotte",64243
"G2009015","1900","Kansas","200","Kikapoo Indian Reservation","9015","Kikapoo Indian Reservation",
"G2009035","1900","Kansas","200","Pottawatomi Indian Reservation","9035","Pottawatomi Indian Reservation",
"G2009055","1900","Kansas","200","Sac and Fox Indian Reservation (Kansas part)","9055","Sac and Fox Indian Reservation (Kansas part)",
"G2100010","1900","Kentucky","210","Adair","0010","Adair",13294
"G2100030","1900","Kentucky","210","Allen","0030","Allen",13559
"G2100050","1900","Kentucky","210","Anderson","0050","Anderson",9057
"G2100070","1900","Kentucky","210","Ballard","0070","Ballard",9259
"G2100090","1900","Kentucky","210","Barren","0090","Barren",19410
"G2100110","1900","Kentucky","210","Bath","0110","Bath",13042
"G2100130","1900","Kentucky","210","Bell","0130","Bell",13947
"G2100150","1900","Kentucky","210","Boone","0150","Boone",10360
"G2100170","1900","Kentucky","210","Bourbon","0170","Bourbon",11276
"G2100190","1900","Kentucky","210","Boyd","0190","Boyd",18051
"G2100210","1900","Kentucky","210","Boyle","0210","Boyle",9036
"G2100230","1900","Kentucky","210","Bracken","0230","Bracken",11565
"G2100250","1900","Kentucky","210","Breathitt","0250","Breathitt",14023
"G2100270","1900","Kentucky","210","Breckinridge","0270","Breckinridge",18438
"G2100290","1900","Kentucky","210","Bullitt","0290","Bullitt",8508
"G2100310","1900","Kentucky","210","Butler","0310","Butler",15171
"G2100330","1900","Kentucky","210","Caldwell","0330","Caldwell",11735
"G2100350","1900","Kentucky","210","Calloway","0350","Calloway",16375
"G2100370","1900","Kentucky","210","Campbell","0370","Campbell",53643
"G2100390","1900","Kentucky","210","Carlisle","0390","Carlisle",9557
"G2100410","1900","Kentucky","210","Carroll","0410","Carroll",9021
"G2100430","1900","Kentucky","210","Carter","0430","Carter",20085
"G2100450","1900","Kentucky","210","Casey","0450","Casey",14640
"G2100470","1900","Kentucky","210","Christian","0470","Christian",21365
"G2100490","1900","Kentucky","210","Clark","0490","Clark",11517
"G2100510","1900","Kentucky","210","Clay","0510","Clay",14800
"G2100530","1900","Kentucky","210","Clinton","0530","Clinton",7691
"G2100550","1900","Kentucky","210","Crittenden","0550","Crittenden",14315
"G2100570","1900","Kentucky","210","Cumberland","0570","Cumberland",8040
"G2100590","1900","Kentucky","210","Daviess","0590","Daviess",33111
"G2100610","1900","Kentucky","210","Edmonson","0610","Edmonson",9628
"G2100630","1900","Kentucky","210","Elliott","0630","Elliott",10385
"G2100650","1900","Kentucky","210","Estill","0650","Estill",11446
"G2100670","1900","Kentucky","210","Fayette","0670","Fayette",26660
"G2100690","1900","Kentucky","210","Fleming","0690","Fleming",15489
"G2100710","1900","Kentucky","210","Floyd","0710","Floyd",15416
"G2100730","1900","Kentucky","210","Franklin","0730","Franklin",16501
"G2100750","1900","Kentucky","210","Fulton","0750","Fulton",8706
"G2100770","1900","Kentucky","210","Gallatin","0770","Gallatin",4598
"G2100790","1900","Kentucky","210","Garrard","0790","Garrard",9096
"G2100810","1900","Kentucky","210","Grant","0810","Grant",12812
"G2100830","1900","Kentucky","210","Graves","0830","Graves",29857
"G2100850","1900","Kentucky","210","Grayson","0850","Grayson",19450
"G2100870","1900","Kentucky","210","Green","0870","Green",10516
"G2100890","1900","Kentucky","210","Greenup","0890","Greenup",15160
"G2100910","1900","Kentucky","210","Hancock","0910","Hancock",8270
"G2100930","1900","Kentucky","210","Hardin","0930","Hardin",20866
"G2100950","1900","Kentucky","210","Harlan","0950","Harlan",9612
"G2100970","1900","Kentucky","210","Harrison","0970","Harrison",16148
"G2100990","1900","Kentucky","210","Hart","0990","Hart",16170
"G2101010","1900","Kentucky","210","Henderson","1010","Henderson",24101
"G2101030","1900","Kentucky","210","Henry","1030","Henry",12690
"G2101050","1900","Kentucky","210","Hickman","1050","Hickman",9622
"G2101070","1900","Kentucky","210","Hopkins","1070","Hopkins",25877
"G2101090","1900","Kentucky","210","Jackson","1090","Jackson",10542
"G2101110","1900","Kentucky","210","Jefferson","1110","Jefferson",188630
"G2101130","1900","Kentucky","210","Jessamine","1130","Jessamine",8576
"G2101150","1900","Kentucky","210","Johnson","1150","Johnson",13729
"G2101170","1900","Kentucky","210","Kenton","1170","Kenton",60292
"G2101190","1900","Kentucky","210","Knott","1190","Knott",8535
"G2101210","1900","Kentucky","210","Knox","1210","Knox",16618
"G2101230","1900","Kentucky","210","Larue","1230","Larue",9982
"G2101250","1900","Kentucky","210","Laurel","1250","Laurel",16932
"G2101270","1900","Kentucky","210","Lawrence","1270","Lawrence",19427
"G2101290","1900","Kentucky","210","Lee","1290","Lee",7717
"G2101310","1900","Kentucky","210","Leslie","1310","Leslie",6678
"G2101330","1900","Kentucky","210","Letcher","1330","Letcher",9126
"G2101350","1900","Kentucky","210","Lewis","1350","Lewis",17693
"G2101370","1900","Kentucky","210","Lincoln","1370","Lincoln",13547
"G2101390","1900","Kentucky","210","Livingston","1390","Livingston",10576
"G2101410","1900","Kentucky","210","Logan","1410","Logan",19256
"G2101430","1900","Kentucky","210","Lyon","1430","Lyon",7387
"G2101450","1900","Kentucky","210","McCracken","1450","Mccracken",21439
"G2101490","1900","Kentucky","210","McLean","1490","Mclean",11574
"G2101510","1900","Kentucky","210","Madison","1510","Madison",18917
"G2101530","1900","Kentucky","210","Magoffin","1530","Magoffin",11785
"G2101550","1900","Kentucky","210","Marion","1550","Marion",13479
"G2101570","1900","Kentucky","210","Marshall","1570","Marshall",13344
"G2101590","1900","Kentucky","210","Martin","1590","Martin",5765
"G2101610","1900","Kentucky","210","Mason","1610","Mason",16678
"G2101630","1900","Kentucky","210","Meade","1630","Meade",9643
"G2101650","1900","Kentucky","210","Menifee","1650","Menifee",6777
"G2101670","1900","Kentucky","210","Mercer","1670","Mercer",11958
"G2101690","1900","Kentucky","210","Metcalfe","1690","Metcalfe",8989
"G2101710","1900","Kentucky","210","Monroe","1710","Monroe",12371
"G2101730","1900","Kentucky","210","Montgomery","1730","Montgomery",9349
"G2101750","1900","Kentucky","210","Morgan","1750","Morgan",12739
"G2101770","1900","Kentucky","210","Muhlenberg","1770","Muhlenberg",18584
"G2101790","1900","Kentucky","210","Nelson","1790","Nelson",13145
"G2101810","1900","Kentucky","210","Nicholas","1810","Nicholas",10620
"G2101830","1900","Kentucky","210","Ohio","1830","Ohio",25894
"G2101850","1900","Kentucky","210","Oldham","1850","Oldham",5458
"G2101870","1900","Kentucky","210","Owen","1870","Owen",16083
"G2101890","1900","Kentucky","210","Owsley","1890","Owsley",6801
"G2101910","1900","Kentucky","210","Pendleton","1910","Pendleton",14459
"G2101930","1900","Kentucky","210","Perry","1930","Perry",8115
"G2101950","1900","Kentucky","210","Pike","1950","Pike",22496
"G2101970","1900","Kentucky","210","Powell","1970","Powell",6068
"G2101990","1900","Kentucky","210","Pulaski","1990","Pulaski",29957
"G2102010","1900","Kentucky","210","Robertson","2010","Robertson",4772
"G2102030","1900","Kentucky","210","Rockcastle","2030","Rockcastle",12259
"G2102050","1900","Kentucky","210","Rowan","2050","Rowan",8223
"G2102070","1900","Kentucky","210","Russell","2070","Russell",9401
"G2102090","1900","Kentucky","210","Scott","2090","Scott",13014
"G2102110","1900","Kentucky","210","Shelby","2110","Shelby",13642
"G2102130","1900","Kentucky","210","Simpson","2130","Simpson",9074
"G2102150","1900","Kentucky","210","Spencer","2150","Spencer",6155
"G2102170","1900","Kentucky","210","Taylor","2170","Taylor",9432
"G2102190","1900","Kentucky","210","Todd","2190","Todd",11202
"G2102210","1900","Kentucky","210","Trigg","2210","Trigg",10576
"G2102230","1900","Kentucky","210","Trimble","2230","Trimble",7071
"G2102250","1900","Kentucky","210","Union","2250","Union",18213
"G2102270","1900","Kentucky","210","Warren","2270","Warren",22978
"G2102290","1900","Kentucky","210","Washington","2290","Washington",12283
"G2102310","1900","Kentucky","210","Wayne","2310","Wayne",14281
"G2102330","1900","Kentucky","210","Webster","2330","Webster",17708
"G2102350","1900","Kentucky","210","Whitley","2350","Whitley",24246
"G2102370","1900","Kentucky","210","Wolfe","2370","Wolfe",8667
"G2102390","1900","Kentucky","210","Woodford","2390","Woodford",8415
"G2200010","1900","Louisiana","220","Acadia","0010","Acadia",18662
"G2200050","1900","Louisiana","220","Ascension","0050","Ascension",12048
"G2200070","1900","Louisiana","220","Assumption","0070","Assumption",12181
"G2200090","1900","Louisiana","220","Avoyelles","0090","Avoyelles",17762
"G2200130","1900","Louisiana","220","Bienville","0130","Bienville",9348
"G2200150","1900","Louisiana","220","Bossier","0150","Bossier",5262
"G2200170","1900","Louisiana","220","Caddo","0170","Caddo",13826
"G2200190","1900","Louisiana","220","Calcasieu","0190","Calcasieu",24267
"G2200210","1900","Louisiana","220","Caldwell","0210","Caldwell",3841
"G2200230","1900","Louisiana","220","Cameron","0230","Cameron",3375
"G2200250","1900","Louisiana","220","Catahoula","0250","Catahoula",9518
"G2200270","1900","Louisiana","220","Claiborne","0270","Claiborne",9202
"G2200290","1900","Louisiana","220","Concordia","0290","Concordia",1714
"G2200310","1900","Louisiana","220","De Soto","0310","De Soto",8160
"G2200330","1900","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",10562
"G2200350","1900","Louisiana","220","East Carroll","0350","East Carroll",959
"G2200370","1900","Louisiana","220","East Feliciana","0370","East Feliciana",5570
"G2200410","1900","Louisiana","220","Franklin","0410","Franklin",3870
"G2200430","1900","Louisiana","220","Grant","0430","Grant",9237
"G2200450","1900","Louisiana","220","Iberia","0450","Iberia",14729
"G2200470","1900","Louisiana","220","Iberville","0470","Iberville",9842
"G2200490","1900","Louisiana","220","Jackson","0490","Jackson",5915
"G2200510","1900","Louisiana","220","Jefferson","0510","Jefferson",8979
"G2200550","1900","Louisiana","220","Lafayette","0550","Lafayette",13309
"G2200570","1900","Louisiana","220","Lafourche","0570","Lafourche",20626
"G2200610","1900","Louisiana","220","Lincoln","0610","Lincoln",9139
"G2200630","1900","Louisiana","220","Livingston","0630","Livingston",6956
"G2200650","1900","Louisiana","220","Madison","0650","Madison",899
"G2200670","1900","Louisiana","220","Morehouse","0670","Morehouse",3911
"G2200690","1900","Louisiana","220","Natchitoches","0690","Natchitoches",13662
"G2200710","1900","Louisiana","220","Orleans","0710","Orleans",208946
"G2200730","1900","Louisiana","220","Ouachita","0730","Ouachita",7847
"G2200750","1900","Louisiana","220","Plaquemines","0750","Plaquemines",5762
"G2200770","1900","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",6601
"G2200790","1900","Louisiana","220","Rapides","0790","Rapides",18320
"G2200810","1900","Louisiana","220","Red River","0810","Red River",4077
"G2200830","1900","Louisiana","220","Richland","0830","Richland",3222
"G2200850","1900","Louisiana","220","Sabine","0850","Sabine",12418
"G2200870","1900","Louisiana","220","St Bernard","0870","St Bernard",2832
"G2200890","1900","Louisiana","220","St Charles","0890","St Charles",2970
"G2200910","1900","Louisiana","220","St Helena","0910","St Helena",3896
"G2200930","1900","Louisiana","220","St James","0930","St James",8839
