GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLOCKA,BLCK_GRPA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
"G2000610","1980","2","4","Kansas","20",,"Geary","061",,,,,,,,,,,,,"GEARY COUNTY",21678,5705,158,0,0,152,23,161,567,20,33,53,29,15,1258
"G2000630","1980","2","4","Kansas","20",,"Gove","063",,,,,,,,,,,,,"GOVE COUNTY",3705,2,5,0,0,0,0,0,1,1,0,0,0,0,12
"G2000650","1980","2","4","Kansas","20",,"Graham","065",,,,,,,,,,,,,"GRAHAM COUNTY",3844,138,2,0,0,1,0,0,0,8,0,0,0,0,2
"G2000670","1980","2","4","Kansas","20",,"Grant","067",,,,,,,,,,,,,"GRANT COUNTY",6334,3,31,0,0,12,0,0,1,4,5,0,0,0,587
"G2000690","1980","2","4","Kansas","20",,"Gray","069",,,,,,,,,,,,,"GRAY COUNTY",5053,6,4,0,0,0,0,0,2,0,3,0,0,0,70
"G2000710","1980","2","4","Kansas","20",,"Greeley","071",,,,,,,,,,,,,"GREELEY COUNTY",1777,8,4,0,0,1,0,0,0,0,0,0,0,0,55
"G2000730","1980","2","4","Kansas","20",,"Greenwood","073",,,,,,,,,,,,,"GREENWOOD COUNTY",8677,0,51,0,0,0,0,0,1,3,0,1,0,0,31
"G2000750","1980","2","4","Kansas","20",,"Hamilton","075",,,,,,,,,,,,,"HAMILTON COUNTY",2461,2,5,0,0,0,0,1,0,0,0,0,0,0,45
"G2000770","1980","2","4","Kansas","20",,"Harper","077",,,,,,,,,,,,,"HARPER COUNTY",7700,24,18,0,0,0,1,0,0,3,0,1,0,0,31
"G2000790","1980","2","4","Kansas","20",,"Harvey","079",,,,,,,,,,,,,"HARVEY COUNTY",29003,495,95,1,4,12,14,13,9,28,30,2,0,0,825
"G2000810","1980","2","4","Kansas","20",,"Haskell","081",,,,,,,,,,,,,"HASKELL COUNTY",3571,1,20,0,0,0,0,9,0,2,0,0,0,0,211
"G2000830","1980","2","4","Kansas","20",,"Hodgeman","083",,,,,,,,,,,,,"HODGEMAN COUNTY",2232,21,4,0,0,0,0,0,1,1,0,0,0,0,10
"G2000850","1980","2","4","Kansas","20",,"Jackson","085",,,,,,,,,,,,,"JACKSON COUNTY",11046,23,543,0,0,3,1,3,2,3,0,0,0,0,20
"G2000870","1980","2","4","Kansas","20","8440","Jefferson","087",,,,,,,,,,,,,"JEFFERSON COUNTY",14997,51,110,0,0,4,1,1,3,1,11,0,0,0,28
"G2000890","1980","2","4","Kansas","20",,"Jewell","089",,,,,,,,,,,,,"JEWELL COUNTY",5218,4,11,0,0,1,0,0,3,0,0,0,0,0,4
"G2000910","1980","2","4","Kansas","20","3760","Johnson","091",,,,,,,,,,,,,"JOHNSON COUNTY",262619,3161,661,13,2,198,534,233,387,538,200,17,9,2,1695
"G2000930","1980","2","4","Kansas","20",,"Kearny","093",,,,,,,,,,,,,"KEARNY COUNTY",3180,3,16,0,0,0,0,2,0,1,0,0,0,0,233
"G2000950","1980","2","4","Kansas","20",,"Kingman","095",,,,,,,,,,,,,"KINGMAN COUNTY",8870,3,15,0,0,3,0,0,1,8,4,0,0,0,56
"G2000970","1980","2","4","Kansas","20",,"Kiowa","097",,,,,,,,,,,,,"KIOWA COUNTY",4019,3,6,0,0,0,0,3,2,1,0,0,0,0,12
"G2000990","1980","2","4","Kansas","20",,"Labette","099",,,,,,,,,,,,,"LABETTE COUNTY",23911,1179,250,3,0,2,1,16,9,23,9,7,0,0,272
"G2001010","1980","2","4","Kansas","20",,"Lane","101",,,,,,,,,,,,,"LANE COUNTY",2442,0,1,0,0,0,0,0,0,0,0,1,0,0,28
"G2001030","1980","2","4","Kansas","20",,"Leavenworth","103",,,,,,,,,,,,,"LEAVENWORTH COUNTY",47721,5508,272,3,0,83,24,89,166,41,42,31,24,7,798
"G2001050","1980","2","4","Kansas","20",,"Lincoln","105",,,,,,,,,,,,,"LINCOLN COUNTY",4120,0,4,1,0,0,0,0,0,1,0,0,0,0,19
"G2001070","1980","2","4","Kansas","20",,"Linn","107",,,,,,,,,,,,,"LINN COUNTY",8154,35,34,0,0,0,0,0,0,4,1,2,0,0,4
"G2001090","1980","2","4","Kansas","20",,"Logan","109",,,,,,,,,,,,,"LOGAN COUNTY",3438,25,7,0,0,0,0,0,2,0,0,0,0,0,6
"G2001110","1980","2","4","Kansas","20",,"Lyon","111",,,,,,,,,,,,,"LYON COUNTY",33051,764,174,0,0,15,44,16,12,36,38,6,6,0,946
"G2001130","1980","2","4","Kansas","20",,"McPherson","113",,,,,,,,,,,,,"MCPHERSON COUNTY",26373,184,60,8,1,8,7,12,5,13,64,0,0,2,118
"G2001150","1980","2","4","Kansas","20",,"Marion","115",,,,,,,,,,,,,"MARION COUNTY",13339,58,34,0,0,0,1,5,5,8,2,0,0,0,70
"G2001170","1980","2","4","Kansas","20",,"Marshall","117",,,,,,,,,,,,,"MARSHALL COUNTY",12750,6,5,0,0,0,4,5,2,1,1,0,0,0,13
"G2001190","1980","2","4","Kansas","20",,"Meade","119",,,,,,,,,,,,,"MEADE COUNTY",4676,0,12,0,0,2,1,1,0,0,1,0,0,0,95
"G2001210","1980","2","4","Kansas","20",,"Miami","121",,,,,,,,,,,,,"MIAMI COUNTY",20807,617,74,0,0,5,5,25,7,11,0,1,0,0,66
"G2001230","1980","2","4","Kansas","20",,"Mitchell","123",,,,,,,,,,,,,"MITCHELL COUNTY",8044,16,17,0,0,1,9,1,1,2,13,0,0,0,13
"G2001250","1980","2","4","Kansas","20",,"Montgomery","125",,,,,,,,,,,,,"MONTGOMERY COUNTY",38512,2742,535,0,1,14,27,18,16,26,24,0,0,0,366
"G2001270","1980","2","4","Kansas","20",,"Morris","127",,,,,,,,,,,,,"MORRIS COUNTY",6346,19,22,0,0,3,2,1,1,1,0,0,0,0,24
"G2001290","1980","2","4","Kansas","20",,"Morton","129",,,,,,,,,,,,,"MORTON COUNTY",3274,4,8,0,0,0,0,17,0,0,0,0,0,0,151
"G2001310","1980","2","4","Kansas","20",,"Nemaha","131",,,,,,,,,,,,,"NEMAHA COUNTY",11123,33,16,0,0,4,1,2,4,3,5,0,4,0,16
"G2001330","1980","2","4","Kansas","20",,"Neosho","133",,,,,,,,,,,,,"NEOSHO COUNTY",18424,221,80,0,0,5,4,5,14,12,0,0,0,0,202
"G2001350","1980","2","4","Kansas","20",,"Ness","135",,,,,,,,,,,,,"NESS COUNTY",4473,3,2,0,0,0,0,0,1,0,13,0,0,0,6
"G2001370","1980","2","4","Kansas","20",,"Norton","137",,,,,,,,,,,,,"NORTON COUNTY",6645,15,2,0,0,2,0,0,9,2,1,0,0,0,13
"G2001390","1980","2","4","Kansas","20","8440","Osage","139",,,,,,,,,,,,,"OSAGE COUNTY",15154,18,47,0,0,5,1,9,3,6,1,1,0,0,74
"G2001410","1980","2","4","Kansas","20",,"Osborne","141",,,,,,,,,,,,,"OSBORNE COUNTY",5917,8,12,0,0,1,0,0,0,4,0,0,0,0,17
"G2001430","1980","2","4","Kansas","20",,"Ottawa","143",,,,,,,,,,,,,"OTTAWA COUNTY",5940,7,11,0,0,3,0,2,0,2,0,0,0,0,6
"G2001450","1980","2","4","Kansas","20",,"Pawnee","145",,,,,,,,,,,,,"PAWNEE COUNTY",7616,198,34,0,0,1,2,8,7,28,23,0,6,0,142
"G2001470","1980","2","4","Kansas","20",,"Phillips","147",,,,,,,,,,,,,"PHILLIPS COUNTY",7369,15,9,0,0,0,1,1,2,0,1,0,0,0,8
"G2001490","1980","2","4","Kansas","20",,"Pottawatomie","149",,,,,,,,,,,,,"POTTAWATOMIE COUNTY",14605,27,49,0,2,4,4,10,19,4,10,0,1,3,44
"G2001510","1980","2","4","Kansas","20",,"Pratt","151",,,,,,,,,,,,,"PRATT COUNTY",9982,141,39,1,0,0,0,7,0,5,2,4,4,0,90
"G2001530","1980","2","4","Kansas","20",,"Rawlins","153",,,,,,,,,,,,,"RAWLINS COUNTY",4090,1,3,0,0,0,0,1,0,0,0,0,0,0,10
"G2001550","1980","2","4","Kansas","20",,"Reno","155",,,,,,,,,,,,,"RENO COUNTY",61708,1472,275,1,0,24,16,15,24,29,24,6,2,1,1386
"G2001570","1980","2","4","Kansas","20",,"Republic","157",,,,,,,,,,,,,"REPUBLIC COUNTY",7537,1,7,0,0,0,7,0,0,0,6,0,0,0,11
"G2001590","1980","2","4","Kansas","20",,"Rice","159",,,,,,,,,,,,,"RICE COUNTY",11549,108,78,0,0,2,0,6,3,7,4,0,1,0,142
"G2001610","1980","2","4","Kansas","20",,"Riley","161",,,,,,,,,,,,,"RILEY COUNTY",52733,6764,365,6,2,141,261,164,437,138,80,65,76,32,2241
"G2001630","1980","2","4","Kansas","20",,"Rooks","163",,,,,,,,,,,,,"ROOKS COUNTY",6943,16,18,0,0,0,0,4,0,0,5,9,0,0,11
"G2001650","1980","2","4","Kansas","20",,"Rush","165",,,,,,,,,,,,,"RUSH COUNTY",4494,2,3,1,0,0,0,0,0,4,0,0,0,0,12
"G2001670","1980","2","4","Kansas","20",,"Russell","167",,,,,,,,,,,,,"RUSSELL COUNTY",8789,35,20,0,0,2,3,0,0,3,0,0,0,0,16
"G2001690","1980","2","4","Kansas","20",,"Saline","169",,,,,,,,,,,,,"SALINE COUNTY",46307,1464,138,4,0,31,35,39,77,25,135,3,8,1,638
"G2001710","1980","2","4","Kansas","20",,"Scott","171",,,,,,,,,,,,,"SCOTT COUNTY",5650,9,17,0,0,3,0,10,7,0,0,0,0,0,86
"G2001730","1980","2","4","Kansas","20","9040","Sedgwick","173",,,,,,,,,,,,,"SEDGWICK COUNTY",319416,31764,3280,7,4,305,705,357,271,490,2141,62,50,12,7667
"G2001750","1980","2","4","Kansas","20",,"Seward","175",,,,,,,,,,,,,"SEWARD COUNTY",14864,790,95,0,0,6,18,12,7,4,63,1,0,0,1211
"G2001770","1980","2","4","Kansas","20","8440","Shawnee","177",,,,,,,,,,,,,"SHAWNEE COUNTY",137423,11842,1403,5,2,84,144,92,85,155,123,18,8,6,3526
"G2001790","1980","2","4","Kansas","20",,"Sheridan","179",,,,,,,,,,,,,"SHERIDAN COUNTY",3535,0,1,0,0,2,0,1,1,0,0,0,1,0,3
"G2001810","1980","2","4","Kansas","20",,"Sherman","181",,,,,,,,,,,,,"SHERMAN COUNTY",7400,16,17,0,0,2,5,0,2,1,0,0,0,0,316
"G2001830","1980","2","4","Kansas","20",,"Smith","183",,,,,,,,,,,,,"SMITH COUNTY",5925,1,5,0,0,1,0,0,2,1,0,4,0,0,8
"G2001850","1980","2","4","Kansas","20",,"Stafford","185",,,,,,,,,,,,,"STAFFORD COUNTY",5607,23,6,0,0,2,0,0,0,6,3,0,0,0,47
"G2001870","1980","2","4","Kansas","20",,"Stanton","187",,,,,,,,,,,,,"STANTON COUNTY",2133,5,19,0,0,11,0,1,0,0,0,0,0,0,170
"G2001890","1980","2","4","Kansas","20",,"Stevens","189",,,,,,,,,,,,,"STEVENS COUNTY",4498,38,39,0,0,0,0,4,0,1,0,0,0,0,156
"G2001910","1980","2","4","Kansas","20",,"Sumner","191",,,,,,,,,,,,,"SUMNER COUNTY",24191,142,155,0,0,5,3,18,6,6,8,0,0,0,394
"G2001930","1980","2","4","Kansas","20",,"Thomas","193",,,,,,,,,,,,,"THOMAS COUNTY",8354,19,7,0,0,1,8,1,3,0,6,0,0,0,52
"G2001950","1980","2","4","Kansas","20",,"Trego","195",,,,,,,,,,,,,"TREGO COUNTY",4137,4,6,0,0,0,6,0,0,0,0,0,0,0,12
"G2001970","1980","2","4","Kansas","20",,"Wabaunsee","197",,,,,,,,,,,,,"WABAUNSEE COUNTY",6753,51,11,0,0,2,0,0,2,2,0,0,0,0,46
"G2001990","1980","2","4","Kansas","20",,"Wallace","199",,,,,,,,,,,,,"WALLACE COUNTY",2009,14,5,0,0,0,0,0,1,0,3,0,0,0,13
"G2002010","1980","2","4","Kansas","20",,"Washington","201",,,,,,,,,,,,,"WASHINGTON COUNTY",8514,0,12,0,0,0,2,1,1,3,0,0,0,0,10
"G2002030","1980","2","4","Kansas","20",,"Wichita","203",,,,,,,,,,,,,"WICHITA COUNTY",2711,1,1,0,0,1,0,0,3,0,1,0,0,0,323
"G2002050","1980","2","4","Kansas","20",,"Wilson","205",,,,,,,,,,,,,"WILSON COUNTY",11970,29,48,0,0,2,0,8,2,5,1,1,0,1,61
"G2002070","1980","2","4","Kansas","20",,"Woodson","207",,,,,,,,,,,,,"WOODSON COUNTY",4506,27,31,0,0,0,0,3,3,1,0,0,0,0,29
"G2002090","1980","2","4","Kansas","20","3760","Wyandotte","209",,,,,,,,,,,,,"WYANDOTTE COUNTY",124664,41506,797,9,3,80,40,88,146,108,217,35,3,1,4638
"G2100010","1980","3","6","Kentucky","21",,"Adair","001",,,,,,,,,,,,,"ADAIR COUNTY",14682,524,8,0,0,0,0,0,1,3,0,0,0,0,15
"G2100030","1980","3","6","Kentucky","21",,"Allen","003",,,,,,,,,,,,,"ALLEN COUNTY",13942,176,2,0,0,0,0,3,1,2,0,0,0,0,2
"G2100050","1980","3","6","Kentucky","21",,"Anderson","005",,,,,,,,,,,,,"ANDERSON COUNTY",12072,474,7,0,0,1,0,3,5,1,0,1,0,1,2
"G2100070","1980","3","6","Kentucky","21",,"Ballard","007",,,,,,,,,,,,,"BALLARD COUNTY",8463,311,8,0,0,0,0,1,0,6,2,0,0,0,7
"G2100090","1980","3","6","Kentucky","21",,"Barren","009",,,,,,,,,,,,,"BARREN COUNTY",32261,1693,11,0,0,4,0,3,2,14,5,0,0,0,16
"G2100110","1980","3","6","Kentucky","21",,"Bath","011",,,,,,,,,,,,,"BATH COUNTY",9696,319,2,0,0,1,0,1,0,3,2,0,0,0,1
"G2100130","1980","3","6","Kentucky","21",,"Bell","013",,,,,,,,,,,,,"BELL COUNTY",33352,858,39,0,0,3,0,15,1,17,0,6,0,0,39
"G2100150","1980","3","6","Kentucky","21","1640","Boone","015",,,,,,,,"21",,,,,"BOONE COUNTY",45392,219,31,0,0,44,8,13,5,34,12,1,0,0,83
"G2100170","1980","3","6","Kentucky","21","4280","Bourbon","017",,,,,,,,,,,,,"BOURBON COUNTY",17430,1943,5,0,0,2,1,4,1,1,0,1,1,0,16
"G2100190","1980","3","6","Kentucky","21","3400","Boyd","019",,,,,,,,,,,,,"BOYD COUNTY",54259,1078,45,0,0,6,4,10,7,35,1,2,0,0,66
"G2100210","1980","3","6","Kentucky","21",,"Boyle","021",,,,,,,,,,,,,"BOYLE COUNTY",22675,2313,14,0,0,4,0,3,6,15,2,3,0,0,31
"G2100230","1980","3","6","Kentucky","21",,"Bracken","023",,,,,,,,,,,,,"BRACKEN COUNTY",7674,46,7,0,0,0,0,1,9,0,0,0,0,0,1
"G2100250","1980","3","6","Kentucky","21",,"Breathitt","025",,,,,,,,,,,,,"BREATHITT COUNTY",16923,43,11,0,0,8,0,0,0,6,0,0,0,0,13
"G2100270","1980","3","6","Kentucky","21",,"Breckinridge","027",,,,,,,,,,,,,"BRECKINRIDGE COUNTY",16225,611,12,0,1,0,1,1,2,1,2,1,0,0,4
"G2100290","1980","3","6","Kentucky","21","4520","Bullitt","029",,,,,,,,,,,,,"BULLITT COUNTY",43007,226,47,0,0,10,0,12,5,9,1,6,0,1,22
"G2100310","1980","3","6","Kentucky","21",,"Butler","031",,,,,,,,,,,,,"BUTLER COUNTY",10994,42,16,0,1,3,2,1,0,4,0,0,0,0,1
"G2100330","1980","3","6","Kentucky","21",,"Caldwell","033",,,,,,,,,,,,,"CALDWELL COUNTY",12617,825,17,0,0,0,3,1,0,0,0,2,0,0,8
"G2100350","1980","3","6","Kentucky","21",,"Calloway","035",,,,,,,,,,,,,"CALLOWAY COUNTY",28964,871,32,1,0,3,6,10,9,23,11,4,0,0,97
"G2100370","1980","3","6","Kentucky","21","1640","Campbell","037",,,,,,,,"21",,,,,"CAMPBELL COUNTY",82218,817,65,1,0,6,18,9,34,25,54,1,3,0,66
"G2100390","1980","3","6","Kentucky","21",,"Carlisle","039",,,,,,,,,,,,,"CARLISLE COUNTY",5434,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2100410","1980","3","6","Kentucky","21",,"Carroll","041",,,,,,,,,,,,,"CARROLL COUNTY",9084,171,9,0,0,0,0,1,0,0,0,0,0,0,5
"G2100430","1980","3","6","Kentucky","21",,"Carter","043",,,,,,,,,,,,,"CARTER COUNTY",25022,7,12,1,0,2,0,4,2,5,0,0,0,0,5
"G2100450","1980","3","6","Kentucky","21",,"Casey","045",,,,,,,,,,,,,"CASEY COUNTY",14768,22,4,0,0,2,0,2,6,2,0,0,0,0,12
"G2100470","1980","3","6","Kentucky","21","1660","Christian","047",,,,,,,,,,,,,"CHRISTIAN COUNTY",47574,17112,196,6,1,62,23,87,385,39,32,43,86,54,1178
"G2100490","1980","3","6","Kentucky","21","4280","Clark","049",,,,,,,,,,,,,"CLARK COUNTY",26489,1789,8,0,0,2,0,0,3,5,1,0,0,0,25
"G2100510","1980","3","6","Kentucky","21",,"Clay","051",,,,,,,,,,,,,"CLAY COUNTY",22357,347,8,0,0,3,8,0,6,7,0,0,0,0,16
"G2100530","1980","3","6","Kentucky","21",,"Clinton","053",,,,,,,,,,,,,"CLINTON COUNTY",9302,10,1,0,0,2,0,0,0,3,1,0,0,0,2
"G2100550","1980","3","6","Kentucky","21",,"Crittenden","055",,,,,,,,,,,,,"CRITTENDEN COUNTY",9118,75,6,0,1,0,0,2,1,0,0,0,1,0,3
"G2100570","1980","3","6","Kentucky","21",,"Cumberland","057",,,,,,,,,,,,,"CUMBERLAND COUNTY",6893,388,0,0,0,0,1,0,0,1,0,0,0,0,6
"G2100590","1980","3","6","Kentucky","21","5990","Daviess","059",,,,,,,,,,,,,"DAVIESS COUNTY",82113,3390,91,0,1,28,20,28,22,56,68,3,0,1,128
"G2100610","1980","3","6","Kentucky","21",,"Edmonson","061",,,,,,,,,,,,,"EDMONSON COUNTY",9776,163,11,0,0,2,0,0,1,9,0,0,0,0,0
"G2100630","1980","3","6","Kentucky","21",,"Elliott","063",,,,,,,,,,,,,"ELLIOTT COUNTY",6907,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"G2100650","1980","3","6","Kentucky","21",,"Estill","065",,,,,,,,,,,,,"ESTILL COUNTY",14469,13,6,2,0,0,0,0,0,3,2,0,0,0,0
"G2100670","1980","3","6","Kentucky","21","4280","Fayette","067",,,,,,,,,,,,,"FAYETTE COUNTY",174605,27121,215,5,5,137,403,119,139,350,171,26,5,10,854
"G2100690","1980","3","6","Kentucky","21",,"Fleming","069",,,,,,,,,,,,,"FLEMING COUNTY",12085,228,3,0,0,1,0,1,0,2,0,0,0,0,3
"G2100710","1980","3","6","Kentucky","21",,"Floyd","071",,,,,,,,,,,,,"FLOYD COUNTY",48463,202,22,0,0,1,1,2,0,34,0,0,0,0,39
"G2100730","1980","3","6","Kentucky","21",,"Franklin","073",,,,,,,,,,,,,"FRANKLIN COUNTY",38200,3371,26,0,0,3,10,17,9,69,32,2,0,2,89
"G2100750","1980","3","6","Kentucky","21",,"Fulton","075",,,,,,,,,,,,,"FULTON COUNTY",7454,1495,10,0,0,1,0,3,0,1,0,2,0,0,5
"G2100770","1980","3","6","Kentucky","21",,"Gallatin","077",,,,,,,,,,,,,"GALLATIN COUNTY",4709,108,18,0,0,1,0,1,0,1,0,0,0,0,4
"G2100790","1980","3","6","Kentucky","21",,"Garrard","079",,,,,,,,,,,,,"GARRARD COUNTY",10257,582,2,0,0,1,0,0,0,4,0,0,0,0,7
"G2100810","1980","3","6","Kentucky","21",,"Grant","081",,,,,,,,,,,,,"GRANT COUNTY",13253,26,14,0,0,0,1,1,1,2,1,0,1,0,8
"G2100830","1980","3","6","Kentucky","21",,"Graves","083",,,,,,,,,,,,,"GRAVES COUNTY",32456,1542,16,2,0,3,2,0,3,6,3,0,7,0,9
"G2100850","1980","3","6","Kentucky","21",,"Grayson","085",,,,,,,,,,,,,"GRAYSON COUNTY",20732,83,16,0,0,6,0,5,2,8,0,0,0,0,2
"G2100870","1980","3","6","Kentucky","21",,"Green","087",,,,,,,,,,,,,"GREEN COUNTY",10662,374,2,0,0,0,0,0,2,2,0,0,0,0,1
"G2100890","1980","3","6","Kentucky","21","3400","Greenup","089",,,,,,,,,,,,,"GREENUP COUNTY",38898,144,9,0,0,5,12,9,5,10,2,0,0,0,38
"G2100910","1980","3","6","Kentucky","21",,"Hancock","091",,,,,,,,,,,,,"HANCOCK COUNTY",7617,104,6,0,0,1,4,4,0,0,1,0,0,0,5
"G2100930","1980","3","6","Kentucky","21",,"Hardin","093",,,,,,,,,,,,,"HARDIN COUNTY",75844,9899,308,14,4,134,20,149,616,36,48,42,69,41,1693
"G2100950","1980","3","6","Kentucky","21",,"Harlan","095",,,,,,,,,,,,,"HARLAN COUNTY",39782,1927,99,0,0,2,1,11,8,25,2,1,0,0,31
"G2100970","1980","3","6","Kentucky","21",,"Harrison","097",,,,,,,,,,,,,"HARRISON COUNTY",14676,463,6,1,1,1,1,3,0,7,0,0,0,0,7
"G2100990","1980","3","6","Kentucky","21",,"Hart","099",,,,,,,,,,,,,"HART COUNTY",14161,1211,15,0,0,0,0,0,0,5,0,0,0,1,9
"G2101010","1980","3","6","Kentucky","21","2440","Henderson","101",,,,,,,,,,,,,"HENDERSON COUNTY",37706,2973,37,1,1,8,12,22,6,21,9,4,0,0,49
"G2101030","1980","3","6","Kentucky","21",,"Henry","103",,,,,,,,,,,,,"HENRY COUNTY",12044,652,6,0,0,3,0,0,0,0,6,1,2,0,26
"G2101050","1980","3","6","Kentucky","21",,"Hickman","105",,,,,,,,,,,,,"HICKMAN COUNTY",5429,630,1,0,0,0,0,0,0,0,0,0,0,0,5
"G2101070","1980","3","6","Kentucky","21",,"Hopkins","107",,,,,,,,,,,,,"HOPKINS COUNTY",42859,3169,21,0,3,5,6,14,15,30,1,0,2,0,49
"G2101090","1980","3","6","Kentucky","21",,"Jackson","109",,,,,,,,,,,,,"JACKSON COUNTY",11984,0,4,0,0,0,0,1,0,1,0,0,0,0,6
"G2101110","1980","3","6","Kentucky","21","4520","Jefferson","111",,,,,,,,,,,,,"JEFFERSON COUNTY",569606,109702,821,7,5,284,438,481,395,761,371,103,34,10,1986
"G2101130","1980","3","6","Kentucky","21","4280","Jessamine","113",,,,,,,,,,,,,"JESSAMINE COUNTY",24939,1055,20,0,0,7,13,27,9,6,19,1,1,0,49
"G2101150","1980","3","6","Kentucky","21",,"Johnson","115",,,,,,,,,,,,,"JOHNSON COUNTY",24359,20,20,0,0,5,0,12,2,4,0,2,0,0,8
"G2101170","1980","3","6","Kentucky","21","1640","Kenton","117",,,,,,,,"21",,,,,"KENTON COUNTY",132503,3767,105,5,0,44,72,103,43,51,107,9,1,0,248
"G2101190","1980","3","6","Kentucky","21",,"Knott","119",,,,,,,,,,,,,"KNOTT COUNTY",17799,128,3,0,0,0,0,0,1,1,0,0,0,0,8
"G2101210","1980","3","6","Kentucky","21",,"Knox","121",,,,,,,,,,,,,"KNOX COUNTY",29847,322,17,0,0,7,0,11,1,11,0,4,2,0,17
"G2101230","1980","3","6","Kentucky","21",,"Larue","123",,,,,,,,,,,,,"LARUE COUNTY",11357,546,11,0,0,3,0,0,0,2,0,0,0,0,3
"G2101250","1980","3","6","Kentucky","21",,"Laurel","125",,,,,,,,,,,,,"LAUREL COUNTY",38588,309,22,0,0,2,3,5,5,32,0,1,0,0,15
"G2101270","1980","3","6","Kentucky","21",,"Lawrence","127",,,,,,,,,,,,,"LAWRENCE COUNTY",14061,31,17,0,0,1,1,0,0,9,0,0,0,0,1
"G2101290","1980","3","6","Kentucky","21",,"Lee","129",,,,,,,,,,,,,"LEE COUNTY",7712,35,2,0,0,0,0,1,0,0,0,0,0,0,4
"G2101310","1980","3","6","Kentucky","21",,"Leslie","131",,,,,,,,,,,,,"LESLIE COUNTY",14858,6,12,0,0,0,0,0,0,3,0,1,0,0,2
"G2101330","1980","3","6","Kentucky","21",,"Letcher","133",,,,,,,,,,,,,"LETCHER COUNTY",30306,302,25,0,1,0,0,21,3,19,0,3,1,0,6
"G2101350","1980","3","6","Kentucky","21",,"Lewis","135",,,,,,,,,,,,,"LEWIS COUNTY",14499,29,10,0,0,0,0,0,0,3,0,0,0,0,4
"G2101370","1980","3","6","Kentucky","21",,"Lincoln","137",,,,,,,,,,,,,"LINCOLN COUNTY",18259,762,12,0,0,1,0,1,0,3,0,1,1,0,13
"G2101390","1980","3","6","Kentucky","21",,"Livingston","139",,,,,,,,,,,,,"LIVINGSTON COUNTY",9183,16,8,0,0,1,1,4,0,3,0,0,0,0,3
"G2101410","1980","3","6","Kentucky","21",,"Logan","141",,,,,,,,,,,,,"LOGAN COUNTY",21883,2195,17,2,0,1,1,0,5,14,0,1,0,0,19
"G2101430","1980","3","6","Kentucky","21",,"Lyon","143",,,,,,,,,,,,,"LYON COUNTY",6141,319,20,1,0,0,0,0,1,1,0,0,0,0,7
"G2101450","1980","3","6","Kentucky","21",,"McCracken","145",,,,,,,,,,,,,"MCCRACKEN COUNTY",54888,6083,71,1,1,24,25,13,12,19,44,10,1,2,116
"G2101470","1980","3","6","Kentucky","21",,"McCreary","147",,,,,,,,,,,,,"MCCREARY COUNTY",15366,195,62,0,0,0,0,1,0,4,0,0,0,0,6
"G2101490","1980","3","6","Kentucky","21",,"McLean","149",,,,,,,,,,,,,"MCLEAN COUNTY",10013,52,8,0,0,1,6,0,3,2,5,0,0,0,0
"G2101510","1980","3","6","Kentucky","21",,"Madison","151",,,,,,,,,,,,,"MADISON COUNTY",49712,3185,46,0,0,14,67,12,31,65,2,2,0,0,216
"G2101530","1980","3","6","Kentucky","21",,"Magoffin","153",,,,,,,,,,,,,"MAGOFFIN COUNTY",13493,1,12,0,0,0,0,0,0,5,0,0,0,0,4
"G2101550","1980","3","6","Kentucky","21",,"Marion","155",,,,,,,,,,,,,"MARION COUNTY",16478,1416,3,0,0,1,2,0,0,2,0,4,0,0,4
"G2101570","1980","3","6","Kentucky","21",,"Marshall","157",,,,,,,,,,,,,"MARSHALL COUNTY",25576,6,17,0,0,5,1,0,4,6,0,0,4,0,18
"G2101590","1980","3","6","Kentucky","21",,"Martin","159",,,,,,,,,,,,,"MARTIN COUNTY",13897,1,10,0,0,0,0,8,0,2,0,3,0,0,4
"G2101610","1980","3","6","Kentucky","21",,"Mason","161",,,,,,,,,,,,,"MASON COUNTY",16387,1348,8,0,0,2,5,4,1,2,1,0,0,1,6
"G2101630","1980","3","6","Kentucky","21",,"Meade","163",,,,,,,,,,,,,"MEADE COUNTY",20787,1466,44,0,0,38,19,15,154,7,13,14,36,5,256
"G2101650","1980","3","6","Kentucky","21",,"Menifee","165",,,,,,,,,,,,,"MENIFEE COUNTY",5050,51,2,0,0,0,0,0,0,1,7,0,0,0,6
"G2101670","1980","3","6","Kentucky","21",,"Mercer","167",,,,,,,,,,,,,"MERCER COUNTY",18141,833,4,0,0,3,0,0,1,2,0,3,0,0,24
"G2101690","1980","3","6","Kentucky","21",,"Metcalfe","169",,,,,,,,,,,,,"METCALFE COUNTY",9195,278,7,1,0,0,0,0,0,2,0,0,0,0,1
"G2101710","1980","3","6","Kentucky","21",,"Monroe","171",,,,,,,,,,,,,"MONROE COUNTY",11979,358,9,0,0,1,1,1,0,3,0,0,0,0,1
