GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G0500170","1910","Arkansas","050","Chicot","0170","Chicot",21987,14528
"G0500190","1910","Arkansas","050","Clark","0190","Clark",23686,21289
"G0500210","1910","Arkansas","050","Clay","0210","Clay",23690,15886
"G0500230","1910","Arkansas","050","Cleburne","0230","Cleburne",11903,9628
"G0500250","1910","Arkansas","050","Cleveland","0250","Cleveland",13481,11620
"G0500270","1910","Arkansas","050","Columbia","0270","Columbia",23820,20580
"G0500290","1910","Arkansas","050","Conway","0290","Conway",22729,19772
"G0500310","1910","Arkansas","050","Craighead","0310","Craighead",27627,19505
"G0500330","1910","Arkansas","050","Crawford","0330","Crawford",23942,21270
"G0500350","1910","Arkansas","050","Crittenden","0350","Crittenden",22447,14529
"G0500370","1910","Arkansas","050","Cross","0370","Cross",14042,11051
"G0500390","1910","Arkansas","050","Dallas","0390","Dallas",12621,11518
"G0500410","1910","Arkansas","050","Desha","0410","Desha",15274,11511
"G0500430","1910","Arkansas","050","Drew","0430","Drew",21960,19451
"G0500450","1910","Arkansas","050","Faulkner","0450","Faulkner",23708,20780
"G0500470","1910","Arkansas","050","Franklin","0470","Franklin",20638,17395
"G0500490","1910","Arkansas","050","Fulton","0490","Fulton",12193,12917
"G0500510","1910","Arkansas","050","Garland","0510","Garland",27271,18773
"G0500530","1910","Arkansas","050","Grant","0530","Grant",9425,7671
"G0500550","1910","Arkansas","050","Greene","0550","Greene",23852,16979
"G0500570","1910","Arkansas","050","Hempstead","0570","Hempstead",28285,24101
"G0500590","1910","Arkansas","050","Hot Spring","0590","Hot Spring",15022,12748
"G0500610","1910","Arkansas","050","Howard","0610","Howard",16898,14076
"G0500630","1910","Arkansas","050","Independence","0630","Independence",24776,22557
"G0500650","1910","Arkansas","050","Izard","0650","Izard",14561,13506
"G0500670","1910","Arkansas","050","Jackson","0670","Jackson",23501,18383
"G0500690","1910","Arkansas","050","Jefferson","0690","Jefferson",52734,40972
"G0500710","1910","Arkansas","050","Johnson","0710","Johnson",19698,17448
"G0500730","1910","Arkansas","050","Lafayette","0730","Lafayette",13741,12091
"G0500750","1910","Arkansas","050","Lawrence","0750","Lawrence",20001,16491
"G0500770","1910","Arkansas","050","Lee","0770","Lee",24252,19409
"G0500790","1910","Arkansas","050","Lincoln","0790","Lincoln",15118,13389
"G0500810","1910","Arkansas","050","Little River","0810","Little River",13597,13731
"G0500830","1910","Arkansas","050","Logan","0830","Logan",26350,21612
"G0500850","1910","Arkansas","050","Lonoke","0850","Lonoke",27983,22544
"G0500870","1910","Arkansas","050","Madison","0870","Madison",16056,19864
"G0500890","1910","Arkansas","050","Marion","0890","Marion",10203,11377
"G0500910","1910","Arkansas","050","Miller","0910","Miller",19555,17558
"G0500930","1910","Arkansas","050","Mississippi","0930","Mississippi",30468,16499
"G0500950","1910","Arkansas","050","Monroe","0950","Monroe",19907,16816
"G0500970","1910","Arkansas","050","Montgomery","0970","Montgomery",12455,9444
"G0500990","1910","Arkansas","050","Nevada","0990","Nevada",19344,16609
"G0501010","1910","Arkansas","050","Newton","1010","Newton",10612,12538
"G0501030","1910","Arkansas","050","Ouachita","1030","Ouachita",21774,20892
"G0501050","1910","Arkansas","050","Perry","1050","Perry",9402,7294
"G0501070","1910","Arkansas","050","Phillips","1070","Phillips",33535,26561
"G0501090","1910","Arkansas","050","Pike","1090","Pike",12565,10301
"G0501110","1910","Arkansas","050","Poinsett","1110","Poinsett",12791,7025
"G0501130","1910","Arkansas","050","Polk","1130","Polk",17216,18352
"G0501150","1910","Arkansas","050","Pope","1150","Pope",24527,21715
"G0501170","1910","Arkansas","050","Prairie","1170","Prairie",13853,11875
"G0501190","1910","Arkansas","050","Pulaski","1190","Pulaski",86751,63179
"G0501210","1910","Arkansas","050","Randolph","1210","Randolph",18987,17156
"G0501230","1910","Arkansas","050","St Francis","1230","St Francis",22548,17157
"G0501250","1910","Arkansas","050","Saline","1250","Saline",16657,13122
"G0501270","1910","Arkansas","050","Scott","1270","Scott",14302,12134
"G0501290","1910","Arkansas","050","Searcy","1290","Searcy",14825,11988
"G0501310","1910","Arkansas","050","Sebastian","1310","Sebastian",52278,36935
"G0501330","1910","Arkansas","050","Sevier","1330","Sevier",16616,16339
