GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G1900730","1910","Iowa","190","Greene","0730","Greene",16023,17820
"G1900750","1910","Iowa","190","Grundy","0750","Grundy",13574,13757
"G1900770","1910","Iowa","190","Guthrie","0770","Guthrie",17374,18729
"G1900790","1910","Iowa","190","Hamilton","0790","Hamilton",19242,19514
"G1900810","1910","Iowa","190","Hancock","0810","Hancock",12731,13752
"G1900830","1910","Iowa","190","Hardin","0830","Hardin",20921,22794
"G1900850","1910","Iowa","190","Harrison","0850","Harrison",23162,25597
"G1900870","1910","Iowa","190","Henry","0870","Henry",18640,20022
"G1900890","1910","Iowa","190","Howard","0890","Howard",12920,14512
"G1900910","1910","Iowa","190","Humboldt","0910","Humboldt",12182,12667
"G1900930","1910","Iowa","190","Ida","0930","Ida",11296,12327
"G1900950","1910","Iowa","190","Iowa","0950","Iowa",18409,19544
"G1900970","1910","Iowa","190","Jackson","0970","Jackson",21258,23615
"G1900990","1910","Iowa","190","Jasper","0990","Jasper",27034,26976
"G1901010","1910","Iowa","190","Jefferson","1010","Jefferson",15951,17437
"G1901030","1910","Iowa","190","Johnson","1030","Johnson",25914,24817
"G1901050","1910","Iowa","190","Jones","1050","Jones",19050,21954
"G1901070","1910","Iowa","190","Keokuk","1070","Keokuk",21160,24979
"G1901090","1910","Iowa","190","Kossuth","1090","Kossuth",21971,22720
"G1901110","1910","Iowa","190","Lee","1110","Lee",36702,39719
"G1901130","1910","Iowa","190","Linn","1130","Linn",60720,55392
"G1901150","1910","Iowa","190","Louisa","1150","Louisa",12855,13516
"G1901170","1910","Iowa","190","Lucas","1170","Lucas",13462,16126
"G1901190","1910","Iowa","190","Lyon","1190","Lyon",14624,13165
"G1901210","1910","Iowa","190","Madison","1210","Madison",15621,17710
"G1901230","1910","Iowa","190","Mahaska","1230","Mahaska",29860,34273
"G1901250","1910","Iowa","190","Marion","1250","Marion",22995,24159
"G1901270","1910","Iowa","190","Marshall","1270","Marshall",30279,29991
"G1901290","1910","Iowa","190","Mills","1290","Mills",15811,16764
"G1901310","1910","Iowa","190","Mitchell","1310","Mitchell",13435,14916
"G1901330","1910","Iowa","190","Monona","1330","Monona",16633,17980
"G1901350","1910","Iowa","190","Monroe","1350","Monroe",25429,17985
"G1901370","1910","Iowa","190","Montgomery","1370","Montgomery",16604,17803
"G1901390","1910","Iowa","190","Muscatine","1390","Muscatine",29505,28242
"G1901410","1910","Iowa","190","O Brien","1410","O Brien",17262,16985
"G1901430","1910","Iowa","190","Osceola","1430","Osceola",8956,8725
"G1901450","1910","Iowa","190","Page","1450","Page",24002,24187
"G1901470","1910","Iowa","190","Palo Alto","1470","Palo Alto",13845,14354
"G1901490","1910","Iowa","190","Plymouth","1490","Plymouth",23129,22209
"G1901510","1910","Iowa","190","Pocahontas","1510","Pocahontas",14808,15339
"G1901530","1910","Iowa","190","Polk","1530","Polk",110438,82624
"G1901550","1910","Iowa","190","Pottawattamie","1550","Pottawattamie",55832,54336
"G1901570","1910","Iowa","190","Poweshiek","1570","Poweshiek",19589,19414
"G1901590","1910","Iowa","190","Ringgold","1590","Ringgold",12904,15325
"G1901610","1910","Iowa","190","Sac","1610","Sac",16555,17639
"G1901630","1910","Iowa","190","Scott","1630","Scott",60000,51558
"G1901650","1910","Iowa","190","Shelby","1650","Shelby",16552,17932
"G1901670","1910","Iowa","190","Sioux","1670","Sioux",25248,23337
"G1901690","1910","Iowa","190","Story","1690","Story",24083,23159
"G1901710","1910","Iowa","190","Tama","1710","Tama",22156,24585
"G1901730","1910","Iowa","190","Taylor","1730","Taylor",16312,18784
"G1901750","1910","Iowa","190","Union","1750","Union",16616,19928
"G1901770","1910","Iowa","190","Van Buren","1770","Van Buren",15020,17354
"G1901790","1910","Iowa","190","Wapello","1790","Wapello",37743,35426
"G1901810","1910","Iowa","190","Warren","1810","Warren",18194,20376
"G1901830","1910","Iowa","190","Washington","1830","Washington",19925,20718
"G1901850","1910","Iowa","190","Wayne","1850","Wayne",16184,17491
"G1901870","1910","Iowa","190","Webster","1870","Webster",34629,31757
"G1901890","1910","Iowa","190","Winnebago","1890","Winnebago",11914,12725
"G1901910","1910","Iowa","190","Winneshiek","1910","Winneshiek",21729,23731
"G1901930","1910","Iowa","190","Woodbury","1930","Woodbury",67616,54610
"G1901950","1910","Iowa","190","Worth","1950","Worth",9950,10887
"G1901970","1910","Iowa","190","Wright","1970","Wright",17951,18227
"G2000010","1910","Kansas","200","Allen","0010","Allen",27640,19507
"G2000030","1910","Kansas","200","Anderson","0030","Anderson",13829,13938
"G2000050","1910","Kansas","200","Atchison","0050","Atchison",28107,28606
"G2000070","1910","Kansas","200","Barber","0070","Barber",9916,6594
"G2000090","1910","Kansas","200","Barton","0090","Barton",17876,13784
"G2000110","1910","Kansas","200","Bourbon","0110","Bourbon",24007,24712
"G2000130","1910","Kansas","200","Brown","0130","Brown",21314,22369
"G2000150","1910","Kansas","200","Butler","0150","Butler",23059,23363
"G2000170","1910","Kansas","200","Chase","0170","Chase",7527,8246
"G2000190","1910","Kansas","200","Chautauqua","0190","Chautauqua",11429,11804
"G2000210","1910","Kansas","200","Cherokee","0210","Cherokee",38162,42694
"G2000230","1910","Kansas","200","Cheyenne","0230","Cheyenne",4248,2640
"G2000250","1910","Kansas","200","Clark","0250","Clark",4093,1701
"G2000270","1910","Kansas","200","Clay","0270","Clay",15251,15833
"G2000290","1910","Kansas","200","Cloud","0290","Cloud",18388,18071
"G2000310","1910","Kansas","200","Coffey","0310","Coffey",15205,16643
"G2000330","1910","Kansas","200","Comanche","0330","Comanche",3281,1619
"G2000350","1910","Kansas","200","Cowley","0350","Cowley",31790,30156
"G2000370","1910","Kansas","200","Crawford","0370","Crawford",51178,38809
"G2000390","1910","Kansas","200","Decatur","0390","Decatur",8976,9234
"G2000410","1910","Kansas","200","Dickinson","0410","Dickinson",24361,21816
"G2000430","1910","Kansas","200","Doniphan","0430","Doniphan",14422,15079
"G2000450","1910","Kansas","200","Douglas","0450","Douglas",24724,25096
"G2000470","1910","Kansas","200","Edwards","0470","Edwards",7033,3682
"G2000490","1910","Kansas","200","Elk","0490","Elk",10128,11443
"G2000510","1910","Kansas","200","Ellis","0510","Ellis",12170,8626
"G2000530","1910","Kansas","200","Ellsworth","0530","Ellsworth",10444,9626
"G2000550","1910","Kansas","200","Finney","0550","Finney",6908,3469
"G2000570","1910","Kansas","200","Ford","0570","Ford",11393,5497
"G2000590","1910","Kansas","200","Franklin","0590","Franklin",20884,21354
"G2000610","1910","Kansas","200","Geary","0610","Geary",12681,10744
"G2000630","1910","Kansas","200","Gove","0630","Gove",6044,2441
"G2000650","1910","Kansas","200","Graham","0650","Graham",8700,5173
"G2000670","1910","Kansas","200","Grant","0670","Grant",1087,422
"G2000690","1910","Kansas","200","Gray","0690","Gray",3121,1264
"G2000710","1910","Kansas","200","Greeley","0710","Greeley",1335,493
"G2000730","1910","Kansas","200","Greenwood","0730","Greenwood",16060,16196
"G2000750","1910","Kansas","200","Hamilton","0750","Hamilton",3360,1426
"G2000770","1910","Kansas","200","Harper","0770","Harper",14748,10310
"G2000790","1910","Kansas","200","Harvey","0790","Harvey",19200,17591
"G2000810","1910","Kansas","200","Haskell","0810","Haskell",993,457
"G2000830","1910","Kansas","200","Hodgeman","0830","Hodgeman",2930,2032
"G2000850","1910","Kansas","200","Jackson","0850","Jackson",16861,17117
"G2000870","1910","Kansas","200","Jefferson","0870","Jefferson",15826,17533
"G2000890","1910","Kansas","200","Jewell","0890","Jewell",18148,19420
"G2000910","1910","Kansas","200","Johnson","0910","Johnson",18288,18104
"G2000930","1910","Kansas","200","Kearny","0930","Kearny",3206,1107
"G2000950","1910","Kansas","200","Kingman","0950","Kingman",13386,10663
"G2000970","1910","Kansas","200","Kiowa","0970","Kiowa",6174,2365
"G2000990","1910","Kansas","200","Labette","0990","Labette",31423,27387
"G2001010","1910","Kansas","200","Lane","1010","Lane",2603,1563
"G2001030","1910","Kansas","200","Leavenworth","1030","Leavenworth",41207,40940
"G2001050","1910","Kansas","200","Lincoln","1050","Lincoln",10142,9886
"G2001070","1910","Kansas","200","Linn","1070","Linn",14735,16689
"G2001090","1910","Kansas","200","Logan","1090","Logan",4240,1962
"G2001110","1910","Kansas","200","Lyon","1110","Lyon",24927,25074
"G2001130","1910","Kansas","200","McPherson","1130","Mcpherson",21521,21421
"G2001150","1910","Kansas","200","Marion","1150","Marion",22415,20676
"G2001170","1910","Kansas","200","Marshall","1170","Marshall",23880,24355
"G2001190","1910","Kansas","200","Meade","1190","Meade",5055,1581
"G2001210","1910","Kansas","200","Miami","1210","Miami",20030,21641
"G2001230","1910","Kansas","200","Mitchell","1230","Mitchell",14089,14647
"G2001250","1910","Kansas","200","Montgomery","1250","Montgomery",49474,29039
"G2001270","1910","Kansas","200","Morris","1270","Morris",12397,11967
"G2001290","1910","Kansas","200","Morton","1290","Morton",1333,304
"G2001310","1910","Kansas","200","Nemaha","1310","Nemaha",19072,20376
"G2001330","1910","Kansas","200","Neosho","1330","Neosho",23754,19254
"G2001350","1910","Kansas","200","Ness","1350","Ness",5883,4535
"G2001370","1910","Kansas","200","Norton","1370","Norton",11614,11325
"G2001390","1910","Kansas","200","Osage","1390","Osage",19905,23659
"G2001410","1910","Kansas","200","Osborne","1410","Osborne",12827,11844
"G2001430","1910","Kansas","200","Ottawa","1430","Ottawa",11811,11182
"G2001450","1910","Kansas","200","Pawnee","1450","Pawnee",8859,5084
"G2001470","1910","Kansas","200","Phillips","1470","Phillips",14150,14442
"G2001490","1910","Kansas","200","Pottawatomie","1490","Pottawatomie",17522,18470
"G2001510","1910","Kansas","200","Pratt","1510","Pratt",11156,7085
"G2001530","1910","Kansas","200","Rawlins","1530","Rawlins",6380,5241
"G2001550","1910","Kansas","200","Reno","1550","Reno",37853,29027
"G2001570","1910","Kansas","200","Republic","1570","Republic",17447,18248
"G2001590","1910","Kansas","200","Rice","1590","Rice",15106,14745
"G2001610","1910","Kansas","200","Riley","1610","Riley",15783,13828
"G2001630","1910","Kansas","200","Rooks","1630","Rooks",11282,7960
"G2001650","1910","Kansas","200","Rush","1650","Rush",7826,6134
"G2001670","1910","Kansas","200","Russell","1670","Russell",10800,8489
"G2001690","1910","Kansas","200","Saline","1690","Saline",20338,17076
"G2001710","1910","Kansas","200","Scott","1710","Scott",3047,1098
"G2001730","1910","Kansas","200","Sedgwick","1730","Sedgwick",73095,44037
"G2001750","1910","Kansas","200","Seward","1750","Seward",4091,822
"G2001770","1910","Kansas","200","Shawnee","1770","Shawnee",61874,53727
"G2001790","1910","Kansas","200","Sheridan","1790","Sheridan",5651,3819
"G2001810","1910","Kansas","200","Sherman","1810","Sherman",4549,3341
"G2001830","1910","Kansas","200","Smith","1830","Smith",15365,16384
"G2001850","1910","Kansas","200","Stafford","1850","Stafford",12510,9829
"G2001870","1910","Kansas","200","Stanton","1870","Stanton",1034,327
"G2001890","1910","Kansas","200","Stevens","1890","Stevens",2453,620
"G2001910","1910","Kansas","200","Sumner","1910","Sumner",30654,25631
"G2001930","1910","Kansas","200","Thomas","1930","Thomas",5455,4112
"G2001950","1910","Kansas","200","Trego","1950","Trego",5398,2722
"G2001970","1910","Kansas","200","Wabaunsee","1970","Wabaunsee",12721,12813
"G2001990","1910","Kansas","200","Wallace","1990","Wallace",2759,1178
"G2002010","1910","Kansas","200","Washington","2010","Washington",20229,21963
"G2002030","1910","Kansas","200","Wichita","2030","Wichita",2006,1197
"G2002050","1910","Kansas","200","Wilson","2050","Wilson",19810,15621
"G2002070","1910","Kansas","200","Woodson","2070","Woodson",9450,10022
"G2002090","1910","Kansas","200","Wyandotte","2090","Wyandotte",100068,73227
"G2100010","1910","Kentucky","210","Adair","0010","Adair",16503,14888
"G2100030","1910","Kentucky","210","Allen","0030","Allen",14882,14657
"G2100050","1910","Kentucky","210","Anderson","0050","Anderson",10146,10051
"G2100070","1910","Kentucky","210","Ballard","0070","Ballard",12690,10761
"G2100090","1910","Kentucky","210","Barren","0090","Barren",25293,23197
"G2100110","1910","Kentucky","210","Bath","0110","Bath",13988,14734
"G2100130","1910","Kentucky","210","Bell","0130","Bell",28447,15701
"G2100150","1910","Kentucky","210","Boone","0150","Boone",9420,11170
"G2100170","1910","Kentucky","210","Bourbon","0170","Bourbon",17462,18069
"G2100190","1910","Kentucky","210","Boyd","0190","Boyd",23444,18834
"G2100210","1910","Kentucky","210","Boyle","0210","Boyle",14668,13817
"G2100230","1910","Kentucky","210","Bracken","0230","Bracken",10308,12137
"G2100250","1910","Kentucky","210","Breathitt","0250","Breathitt",17540,14322
"G2100270","1910","Kentucky","210","Breckinridge","0270","Breckinridge",21034,20534
"G2100290","1910","Kentucky","210","Bullitt","0290","Bullitt",9487,9602
"G2100310","1910","Kentucky","210","Butler","0310","Butler",15805,15896
"G2100330","1910","Kentucky","210","Caldwell","0330","Caldwell",14063,14510
"G2100350","1910","Kentucky","210","Calloway","0350","Calloway",19867,17633
"G2100370","1910","Kentucky","210","Campbell","0370","Campbell",59369,54223
"G2100390","1910","Kentucky","210","Carlisle","0390","Carlisle",9048,10195
"G2100410","1910","Kentucky","210","Carroll","0410","Carroll",8110,9825
"G2100430","1910","Kentucky","210","Carter","0430","Carter",21966,20228
"G2100450","1910","Kentucky","210","Casey","0450","Casey",15479,15144
"G2100470","1910","Kentucky","210","Christian","0470","Christian",38845,37962
"G2100490","1910","Kentucky","210","Clark","0490","Clark",17987,16694
"G2100510","1910","Kentucky","210","Clay","0510","Clay",17789,15364
"G2100530","1910","Kentucky","210","Clinton","0530","Clinton",8153,7871
"G2100550","1910","Kentucky","210","Crittenden","0550","Crittenden",13296,15191
"G2100570","1910","Kentucky","210","Cumberland","0570","Cumberland",9846,8962
"G2100590","1910","Kentucky","210","Daviess","0590","Daviess",41020,38667
"G2100610","1910","Kentucky","210","Edmonson","0610","Edmonson",10469,10080
"G2100630","1910","Kentucky","210","Elliott","0630","Elliott",9814,10387
"G2100650","1910","Kentucky","210","Estill","0650","Estill",12273,11669
"G2100670","1910","Kentucky","210","Fayette","0670","Fayette",47715,42071
"G2100690","1910","Kentucky","210","Fleming","0690","Fleming",16066,17074
"G2100710","1910","Kentucky","210","Floyd","0710","Floyd",18623,15552
"G2100730","1910","Kentucky","210","Franklin","0730","Franklin",21135,20852
"G2100750","1910","Kentucky","210","Fulton","0750","Fulton",14114,11546
"G2100770","1910","Kentucky","210","Gallatin","0770","Gallatin",4697,5163
"G2100790","1910","Kentucky","210","Garrard","0790","Garrard",11894,12042
"G2100810","1910","Kentucky","210","Grant","0810","Grant",10581,13239
"G2100830","1910","Kentucky","210","Graves","0830","Graves",33539,33204
"G2100850","1910","Kentucky","210","Grayson","0850","Grayson",19958,19878
"G2100870","1910","Kentucky","210","Green","0870","Green",11871,12255
"G2100890","1910","Kentucky","210","Greenup","0890","Greenup",18475,15432
"G2100910","1910","Kentucky","210","Hancock","0910","Hancock",8512,8914
"G2100930","1910","Kentucky","210","Hardin","0930","Hardin",22696,22937
"G2100950","1910","Kentucky","210","Harlan","0950","Harlan",10566,9838
"G2100970","1910","Kentucky","210","Harrison","0970","Harrison",16873,18570
"G2100990","1910","Kentucky","210","Hart","0990","Hart",18173,18390
"G2101010","1910","Kentucky","210","Henderson","1010","Henderson",29352,32907
"G2101030","1910","Kentucky","210","Henry","1030","Henry",13716,14620
"G2101050","1910","Kentucky","210","Hickman","1050","Hickman",11750,11745
"G2101070","1910","Kentucky","210","Hopkins","1070","Hopkins",34291,30995
"G2101090","1910","Kentucky","210","Jackson","1090","Jackson",10734,10561
"G2101110","1910","Kentucky","210","Jefferson","1110","Jefferson",262920,232549
"G2101130","1910","Kentucky","210","Jessamine","1130","Jessamine",12613,11925
"G2101150","1910","Kentucky","210","Johnson","1150","Johnson",17482,13730
"G2101170","1910","Kentucky","210","Kenton","1170","Kenton",70355,63591
"G2101190","1910","Kentucky","210","Knott","1190","Knott",10791,8704
"G2101210","1910","Kentucky","210","Knox","1210","Knox",22116,17372
"G2101230","1910","Kentucky","210","Larue","1230","Larue",10701,10764
"G2101250","1910","Kentucky","210","Laurel","1250","Laurel",19872,17592
"G2101270","1910","Kentucky","210","Lawrence","1270","Lawrence",20067,19612
"G2101290","1910","Kentucky","210","Lee","1290","Lee",9531,7988
"G2101310","1910","Kentucky","210","Leslie","1310","Leslie",8976,6753
"G2101330","1910","Kentucky","210","Letcher","1330","Letcher",10623,9172
"G2101350","1910","Kentucky","210","Lewis","1350","Lewis",16887,17868
"G2101370","1910","Kentucky","210","Lincoln","1370","Lincoln",17897,17059
"G2101390","1910","Kentucky","210","Livingston","1390","Livingston",10627,11354
"G2101410","1910","Kentucky","210","Logan","1410","Logan",24977,25994
"G2101430","1910","Kentucky","210","Lyon","1430","Lyon",9423,9319
"G2101450","1910","Kentucky","210","McCracken","1450","Mccracken",35064,28733
"G2101490","1910","Kentucky","210","McLean","1490","Mclean",13241,12448
"G2101510","1910","Kentucky","210","Madison","1510","Madison",26951,25607
"G2101530","1910","Kentucky","210","Magoffin","1530","Magoffin",13654,12006
"G2101550","1910","Kentucky","210","Marion","1550","Marion",16330,16290
"G2101570","1910","Kentucky","210","Marshall","1570","Marshall",15771,13692
"G2101590","1910","Kentucky","210","Martin","1590","Martin",7291,5780
"G2101610","1910","Kentucky","210","Mason","1610","Mason",18611,20446
"G2101630","1910","Kentucky","210","Meade","1630","Meade",9783,10533
"G2101650","1910","Kentucky","210","Menifee","1650","Menifee",6153,6818
"G2101670","1910","Kentucky","210","Mercer","1670","Mercer",14063,14426
"G2101690","1910","Kentucky","210","Metcalfe","1690","Metcalfe",10453,9988
"G2101710","1910","Kentucky","210","Monroe","1710","Monroe",13663,13053
"G2101730","1910","Kentucky","210","Montgomery","1730","Montgomery",12868,12834
"G2101750","1910","Kentucky","210","Morgan","1750","Morgan",16259,12792
"G2101770","1910","Kentucky","210","Muhlenberg","1770","Muhlenberg",28598,20741
"G2101790","1910","Kentucky","210","Nelson","1790","Nelson",16830,16587
"G2101810","1910","Kentucky","210","Nicholas","1810","Nicholas",10601,11952
"G2101830","1910","Kentucky","210","Ohio","1830","Ohio",27642,27287
"G2101850","1910","Kentucky","210","Oldham","1850","Oldham",7248,7078
"G2101870","1910","Kentucky","210","Owen","1870","Owen",14248,17553
"G2101890","1910","Kentucky","210","Owsley","1890","Owsley",7979,6874
"G2101910","1910","Kentucky","210","Pendleton","1910","Pendleton",11985,14947
"G2101930","1910","Kentucky","210","Perry","1930","Perry",11255,8276
"G2101950","1910","Kentucky","210","Pike","1950","Pike",31679,22686
"G2101970","1910","Kentucky","210","Powell","1970","Powell",6268,6443
"G2101990","1910","Kentucky","210","Pulaski","1990","Pulaski",35986,31293
"G2102010","1910","Kentucky","210","Robertson","2010","Robertson",4121,4900
"G2102030","1910","Kentucky","210","Rockcastle","2030","Rockcastle",14473,12416
"G2102050","1910","Kentucky","210","Rowan","2050","Rowan",9438,8277
"G2102070","1910","Kentucky","210","Russell","2070","Russell",10861,9695
"G2102090","1910","Kentucky","210","Scott","2090","Scott",16956,18076
"G2102110","1910","Kentucky","210","Shelby","2110","Shelby",18041,18340
"G2102130","1910","Kentucky","210","Simpson","2130","Simpson",11460,11624
"G2102150","1910","Kentucky","210","Spencer","2150","Spencer",7567,7406
"G2102170","1910","Kentucky","210","Taylor","2170","Taylor",11961,11075
"G2102190","1910","Kentucky","210","Todd","2190","Todd",16488,17371
"G2102210","1910","Kentucky","210","Trigg","2210","Trigg",14539,14073
"G2102230","1910","Kentucky","210","Trimble","2230","Trimble",6512,7272
"G2102250","1910","Kentucky","210","Union","2250","Union",19886,21326
"G2102270","1910","Kentucky","210","Warren","2270","Warren",30579,29970
"G2102290","1910","Kentucky","210","Washington","2290","Washington",13940,14182
"G2102310","1910","Kentucky","210","Wayne","2310","Wayne",17518,14892
"G2102330","1910","Kentucky","210","Webster","2330","Webster",20974,20097
"G2102350","1910","Kentucky","210","Whitley","2350","Whitley",31982,25015
"G2102370","1910","Kentucky","210","Wolfe","2370","Wolfe",9864,8764
"G2102390","1910","Kentucky","210","Woodford","2390","Woodford",12571,13134
"G2200010","1910","Louisiana","220","Acadia","0010","Acadia",31847,23483
"G2200050","1910","Louisiana","220","Ascension","0050","Ascension",23887,24142
"G2200070","1910","Louisiana","220","Assumption","0070","Assumption",24128,21620
"G2200090","1910","Louisiana","220","Avoyelles","0090","Avoyelles",34102,29701
"G2200130","1910","Louisiana","220","Bienville","0130","Bienville",21776,17588
"G2200150","1910","Louisiana","220","Bossier","0150","Bossier",21738,24153
"G2200170","1910","Louisiana","220","Caddo","0170","Caddo",58200,44499
"G2200190","1910","Louisiana","220","Calcasieu","0190","Calcasieu",62767,30428
"G2200210","1910","Louisiana","220","Caldwell","0210","Caldwell",8593,6917
"G2200230","1910","Louisiana","220","Cameron","0230","Cameron",4288,3952
"G2200250","1910","Louisiana","220","Catahoula","0250","Catahoula",10415,12698
"G2200270","1910","Louisiana","220","Claiborne","0270","Claiborne",25050,23029
"G2200290","1910","Louisiana","220","Concordia","0290","Concordia",14278,13559
"G2200310","1910","Louisiana","220","De Soto","0310","De Soto",27689,25063
"G2200330","1910","Louisiana","220","East Baton Rouge","0330","East Baton Rouge",34580,31153
"G2200350","1910","Louisiana","220","East Carroll","0350","East Carroll",11637,11373
"G2200370","1910","Louisiana","220","East Feliciana","0370","East Feliciana",20055,20443
"G2200410","1910","Louisiana","220","Franklin","0410","Franklin",11989,8890
"G2200430","1910","Louisiana","220","Grant","0430","Grant",15958,12902
"G2200450","1910","Louisiana","220","Iberia","0450","Iberia",31262,29015
"G2200470","1910","Louisiana","220","Iberville","0470","Iberville",30954,27006
"G2200490","1910","Louisiana","220","Jackson","0490","Jackson",13818,9119
"G2200510","1910","Louisiana","220","Jefferson","0510","Jefferson",18247,15321
"G2200550","1910","Louisiana","220","Lafayette","0550","Lafayette",28733,22825
"G2200570","1910","Louisiana","220","Lafourche","0570","Lafourche",33111,28882
"G2200590","1910","Louisiana","220","La Salle","0590","La Salle",9402,3653
"G2200610","1910","Louisiana","220","Lincoln","0610","Lincoln",18485,15898
"G2200630","1910","Louisiana","220","Livingston","0630","Livingston",10627,8100
"G2200650","1910","Louisiana","220","Madison","0650","Madison",10676,12322
"G2200670","1910","Louisiana","220","Morehouse","0670","Morehouse",18786,16634
"G2200690","1910","Louisiana","220","Natchitoches","0690","Natchitoches",36455,33216
"G2200710","1910","Louisiana","220","Orleans","0710","Orleans",339075,287104
"G2200730","1910","Louisiana","220","Ouachita","0730","Ouachita",25830,20947
"G2200750","1910","Louisiana","220","Plaquemines","0750","Plaquemines",12524,13039
"G2200770","1910","Louisiana","220","Pointe Coupee","0770","Pointe Coupee",25289,25777
"G2200790","1910","Louisiana","220","Rapides","0790","Rapides",44545,39578
"G2200810","1910","Louisiana","220","Red River","0810","Red River",11402,11548
"G2200830","1910","Louisiana","220","Richland","0830","Richland",15769,11116
"G2200850","1910","Louisiana","220","Sabine","0850","Sabine",19874,15421
"G2200870","1910","Louisiana","220","St Bernard","0870","St Bernard",5277,5031
"G2200890","1910","Louisiana","220","St Charles","0890","St Charles",11207,9072
"G2200910","1910","Louisiana","220","St Helena","0910","St Helena",9172,8479
"G2200930","1910","Louisiana","220","St James","0930","St James",23009,20197
"G2200950","1910","Louisiana","220","St John The Baptist","0950","St John The Baptist",14338,12330
"G2200970","1910","Louisiana","220","St Landry","0970","St Landry",66661,52906
"G2200990","1910","Louisiana","220","St Martin","0990","St Martin",23070,18940
"G2201010","1910","Louisiana","220","St Mary","1010","St Mary",39368,34145
"G2201030","1910","Louisiana","220","St Tammany","1030","St Tammany",18917,13335
"G2201050","1910","Louisiana","220","Tangipahoa","1050","Tangipahoa",29160,17625
"G2201070","1910","Louisiana","220","Tensas","1070","Tensas",17060,19070
"G2201090","1910","Louisiana","220","Terrebonne","1090","Terrebonne",28320,24464
"G2201110","1910","Louisiana","220","Union","1110","Union",20451,18520
"G2201130","1910","Louisiana","220","Vermilion","1130","Vermilion",26390,20705
"G2201150","1910","Louisiana","220","Vernon","1150","Vernon",17384,10327
"G2201170","1910","Louisiana","220","Washington","1170","Washington",18886,9628
"G2201190","1910","Louisiana","220","Webster","1190","Webster",19186,15125
"G2201210","1910","Louisiana","220","West Baton Rouge","1210","West Baton Rouge",12636,10285
"G2201230","1910","Louisiana","220","West Carroll","1230","West Carroll",6249,3685
"G2201250","1910","Louisiana","220","West Feliciana","1250","West Feliciana",13449,15994
"G2201270","1910","Louisiana","220","Winn","1270","Winn",18357,9648
"G2300010","1910","Maine","230","Androscoggin","0010","Androscoggin",59822,54242
"G2300030","1910","Maine","230","Aroostook","0030","Aroostook",74664,60744
"G2300050","1910","Maine","230","Cumberland","0050","Cumberland",112014,100689
"G2300070","1910","Maine","230","Franklin","0070","Franklin",19119,18444
"G2300090","1910","Maine","230","Hancock","0090","Hancock",35575,37241
"G2300110","1910","Maine","230","Kennebec","0110","Kennebec",62863,59117
"G2300130","1910","Maine","230","Knox","0130","Knox",28981,30406
"G2300150","1910","Maine","230","Lincoln","0150","Lincoln",18216,19669
"G2300170","1910","Maine","230","Oxford","0170","Oxford",36256,32238
"G2300190","1910","Maine","230","Penobscot","0190","Penobscot",85285,76246
"G2300210","1910","Maine","230","Piscataquis","0210","Piscataquis",19887,16949
"G2300230","1910","Maine","230","Sagadahoc","0230","Sagadahoc",18574,20330
"G2300250","1910","Maine","230","Somerset","0250","Somerset",36301,33849
"G2300270","1910","Maine","230","Waldo","0270","Waldo",23383,24185
"G2300290","1910","Maine","230","Washington","0290","Washington",42905,45232
"G2300310","1910","Maine","230","York","0310","York",68526,64885
"G2400010","1910","Maryland","240","Allegany","0010","Allegany",62411,53694
"G2400030","1910","Maryland","240","Anne Arundel","0030","Anne Arundel",39553,39620
"G2400050","1910","Maryland","240","Baltimore","0050","Baltimore",122349,90755
"G2400090","1910","Maryland","240","Calvert","0090","Calvert",10325,10223
"G2400110","1910","Maryland","240","Caroline","0110","Caroline",19216,16248
"G2400130","1910","Maryland","240","Carroll","0130","Carroll",33934,33860
"G2400150","1910","Maryland","240","Cecil","0150","Cecil",23759,24662
"G2400170","1910","Maryland","240","Charles","0170","Charles",16386,17662
"G2400190","1910","Maryland","240","Dorchester","0190","Dorchester",28669,27962
"G2400210","1910","Maryland","240","Frederick","0210","Frederick",52673,51920
"G2400230","1910","Maryland","240","Garrett","0230","Garrett",20105,17701
"G2400250","1910","Maryland","240","Harford","0250","Harford",27965,28269
"G2400270","1910","Maryland","240","Howard","0270","Howard",16106,16715
"G2400290","1910","Maryland","240","Kent","0290","Kent",16957,18786
"G2400310","1910","Maryland","240","Montgomery","0310","Montgomery",32089,30451
"G2400330","1910","Maryland","240","Prince Georges","0330","Prince Georges",36147,29898
"G2400350","1910","Maryland","240","Queen Anne's","0350","Queen Anne's",16839,18364
"G2400370","1910","Maryland","240","St Mary's","0370","St Mary's",17030,17182
"G2400390","1910","Maryland","240","Somerset","0390","Somerset",26455,25923
"G2400410","1910","Maryland","240","Talbot","0410","Talbot",19620,20342
"G2400430","1910","Maryland","240","Washington","0430","Washington",49617,45133
"G2400450","1910","Maryland","240","Wicomico","0450","Wicomico",26815,22852
"G2400470","1910","Maryland","240","Worcester","0470","Worcester",21841,20865
"G2405100","1910","Maryland","240","Baltimore City","5100","Baltimore City",558485,508957
"G2500010","1910","Massachusetts","250","Barnstable","0010","Barnstable",27542,27826
"G2500030","1910","Massachusetts","250","Berkshire","0030","Berkshire",105259,95667
"G2500050","1910","Massachusetts","250","Bristol","0050","Bristol",318573,252029
"G2500070","1910","Massachusetts","250","Dukes","0070","Dukes",4504,4561
